program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
6608,12674,Paula,Findlay,CAN,4,00:22:13,00:00:49,01:03:12,00:00:21,00:34:43,1,02:01:21
6608,6150,Barbara,Riveros,CHI,10,00:22:21,00:00:50,01:02:59,00:00:18,00:34:54,2,02:01:23
6608,6783,Andrea,Hewitt,NZL,5,00:22:05,00:00:47,01:03:18,00:00:18,00:35:00,3,02:01:29
6608,5539,Carole,Peon,FRA,21,00:22:18,00:00:50,01:03:05,00:00:21,00:35:04,4,02:01:38
6608,9742,Tomoko,Sonoda,JPN,22,00:22:16,00:00:49,01:03:10,00:00:21,00:35:01,5,02:01:40
6608,5399,Laura,Bennett,USA,9,00:21:55,00:00:50,01:03:27,00:00:18,00:35:27,6,02:01:59
6608,5576,Ai,Ueda,JPN,27,00:22:45,00:00:50,01:02:39,00:00:21,00:35:25,7,02:02:02
6608,5842,Liz,Blatchford,GBR,16,00:22:00,00:00:50,01:03:22,00:00:21,00:35:56,8,02:02:32
6608,6120,Lisa,Norden,SWE,2,00:22:18,00:00:47,01:03:06,00:00:19,00:36:05,9,02:02:36
6608,5476,Lauren,Groves,CAN,60,00:22:28,00:00:48,01:02:59,00:00:17,00:36:10,10,02:02:43
6608,15483,Lisa,Mensink,CAN,30,00:22:17,00:00:49,01:03:04,00:00:16,00:36:19,11,02:02:47
6608,7795,Vicky,Holland,GBR,7,00:22:10,00:00:49,01:03:12,00:00:20,00:36:16,12,02:02:49
6608,5526,Emma,Moffatt,AUS,1,00:22:02,00:00:48,01:03:20,00:00:19,00:36:20,13,02:02:50
6608,7766,Daniela,Ryf,SUI,11,00:22:18,00:00:48,01:03:06,00:00:21,00:36:26,14,02:03:00
6608,5448,Felicity,Abram,AUS,20,00:22:35,00:00:47,01:02:55,00:00:25,00:36:20,15,02:03:05
6608,5312,Anja,Dittmer,GER,17,00:22:51,00:00:47,01:02:30,00:00:21,00:36:41,16,02:03:10
6608,5943,Maria,Czesnik,POL,38,00:22:32,00:00:53,01:02:49,00:00:21,00:36:36,17,02:03:15
6608,5398,Elizabeth,May,LUX,40,00:22:20,00:00:49,01:03:02,00:00:18,00:36:47,18,02:03:17
6608,12786,Mariko,Adachi,JPN,8,00:22:21,00:00:49,01:03:08,00:00:23,00:36:40,19,02:03:22
6608,17003,Jillian,Petersen,USA,28,00:22:46,00:00:48,01:02:42,00:00:23,00:36:48,20,02:03:30
6608,5567,Debbie,Tanner,NZL,15,00:22:30,00:00:49,01:02:53,00:00:21,00:37:03,21,02:03:37
6608,5410,Jessica,Harrison,FRA,14,00:22:10,00:00:49,01:03:12,00:00:20,00:37:06,22,02:03:40
6608,11385,Jodie,Stimpson,GBR,29,00:22:20,00:00:48,01:03:08,00:00:21,00:37:05,23,02:03:43
6608,15747,Emma,Jackson,AUS,39,00:22:28,00:00:49,01:03:00,00:00:21,00:37:07,24,02:03:48
6608,6962,Danne,Boterenbrood,NED,63,00:22:32,00:00:49,01:02:53,00:00:20,00:37:16,25,02:03:53
6608,17143,Svenja,Bazlen,GER,25,00:22:16,00:00:48,01:03:08,00:00:21,00:37:21,26,02:03:56
6608,6848,Melanie,Hauss,SUI,33,00:22:29,00:00:51,01:02:53,00:00:20,00:37:34,27,02:04:09
6608,6069,Nicky,Samuels,NZL,31,00:22:17,00:00:49,01:03:04,00:00:20,00:37:55,28,02:04:27
6608,7817,Yuliya,Yelistratova,UKR,37,00:22:57,00:00:48,01:05:07,00:00:21,00:35:14,29,02:04:30
6608,9852,Alexandra,Razarenova,RUS,46,00:22:43,00:00:47,01:02:45,00:00:19,00:37:55,30,02:04:31
6608,29097,Line,Jensen,DEN,36,00:22:41,00:00:55,01:02:36,00:00:21,00:38:02,31,02:04:36
6608,7757,Zsófia,Kovács,HUN,54,00:22:46,00:00:48,01:02:43,00:00:21,00:37:56,32,02:04:37
6608,5573,Helen,Jenkins,GBR,3,00:22:09,00:00:48,01:05:56,00:00:27,00:35:19,33,02:04:43
6608,5571,Kathy,Tremblay,CAN,52,00:22:09,00:01:03,01:02:59,00:00:19,00:38:11,34,02:04:43
6608,11141,Emmie,Charayron,FRA,23,00:22:29,00:00:48,01:02:59,00:00:20,00:38:06,35,02:04:44
6608,6224,Kerry,Lang,GBR,43,00:21:56,00:00:50,01:03:27,00:00:21,00:38:10,36,02:04:47
6608,5467,Vendula,Frintova,CZE,47,00:22:30,00:00:49,01:05:34,00:00:19,00:35:52,37,02:05:05
6608,6963,Irina,Abysova,RUS,44,00:22:23,00:00:51,01:03:07,00:00:18,00:38:25,38,02:05:07
6608,11343,Maaike,Caelers,NED,55,00:22:57,00:00:51,01:05:03,00:00:19,00:35:56,39,02:05:07
6608,7771,Charlotte,Bonin,ITA,58,00:22:12,00:00:51,01:03:16,00:00:24,00:38:34,40,02:05:18
6608,6122,Felicity,Sheedy-Ryan,AUS,45,00:23:01,00:00:46,01:05:03,00:00:17,00:36:13,41,02:05:22
6608,5530,Emma,Snowsill,AUS,12,00:22:51,00:00:47,01:05:15,00:00:20,00:36:18,42,02:05:33
6608,5517,Annabel,Luxford,AUS,41,00:22:19,00:00:49,01:03:02,00:00:21,00:39:08,43,02:05:41
6608,7646,Claudia,Rivas,MEX,42,00:22:09,00:00:51,01:03:17,00:00:19,00:39:08,44,02:05:46
6608,22171,Neiske,Becks,NED,56,00:22:10,00:01:00,01:03:00,00:00:21,00:39:32,45,02:06:07
6608,7773,Annamaria,Mazzetti,ITA,48,00:22:55,00:00:49,01:05:09,00:00:18,00:36:59,46,02:06:11
6608,18592,Yuka,Sato,JPN,51,00:22:09,00:00:48,01:03:20,00:00:19,00:39:40,47,02:06:18
6608,22170,Rachel,Klamer,NED,61,00:22:26,00:00:48,01:05:40,00:00:19,00:37:04,48,02:06:19
6608,5446,Anna,Cleaver,NZL,66,00:22:07,00:00:47,01:03:26,00:00:21,00:39:52,49,02:06:36
6608,7525,Elizabeth,Bravo,ECU,53,00:22:53,00:00:50,01:05:09,00:00:18,00:38:19,50,02:07:31
6608,18767,Sarissa,De Vries,NED,64,00:22:32,00:00:48,01:02:58,00:00:18,00:40:54,51,02:07:33
6608,5396,Carla,Moreno,BRA,49,00:22:46,00:00:52,01:05:13,00:00:21,00:38:48,52,02:08:04
6608,11018,Zsófia,Tóth,HUN,57,00:22:58,00:00:48,01:05:04,00:00:18,00:39:07,53,02:08:17
6608,5547,Kate,Roberts,RSA,6,00:22:28,00:00:50,01:05:37,00:00:20,00:39:40,54,02:08:56
6608,31943,Flavia,Fernandes,BRA,62,00:22:42,00:00:49,01:05:23,00:00:19,00:42:04,55,02:11:18
6608,21486,Pamella,Oliveira,BRA,59,00:22:05,00:00:49,01:09:04,00:00:26,00:41:22,56,02:13:47
