program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
6783,6783,Andrea,Hewitt,NZL,,1165,40,3777,34,00:34:52,1,7106
6783,5573,Helen,Jenkins,GBR,,1151,41,3792,41,00:34:57,2,7120
6783,6848,Melanie,Hauss,SUI,,1159,40,3786,37,00:35:18,3,7138
6783,6120,Lisa,Norden,SWE,,1155,38,3790,36,00:35:24,4,7140
6783,5399,Laura,Bennett,USA,,1152,39,3793,34,00:35:27,5,7142
6783,8739,Kate,Mcilroy,NZL,,1154,40,3790,38,00:35:24,6,7144
6783,5410,Jessica,Harrison,FRA,,1155,41,3786,37,00:35:31,7,7149
6783,5842,Liz,Blatchford,GBR,,1150,40,3796,36,00:36:29,8,7211
6783,7776,Flora,Duffy,BER,,1157,40,3788,41,00:36:40,9,7224
6783,6246,Sarah,True,USA,,1151,41,3793,35,00:36:58,10,7237
6783,5526,Emma,Moffatt,AUS,,1162,41,3915,38,00:34:48,11,7242
6783,15747,Emma,Jackson,AUS,,1178,38,3903,36,00:34:50,12,7243
6783,5448,Felicity,Abram,AUS,,1194,39,3890,37,00:34:48,13,7248
6783,5376,Ainhoa,Murua Zubizarreta,ESP,,1167,40,3911,36,00:35:07,14,7259
6783,39683,Alice,Betto,ITA,,1157,41,3788,39,00:37:20,15,7263
6783,22170,Rachel,Klamer,NED,,1162,41,3915,35,00:35:21,16,7273
6783,5530,Emma,Snowsill,AUS,,1181,40,3903,37,00:35:24,17,7283
6783,21978,Aileen,Reid,IRL,,1183,45,3889,38,00:35:38,18,7292
6783,5560,Mateja,Šimic,SLO,,1192,41,3887,39,00:35:40,19,7298
6783,5372,Nicola,Spirig,SUI,,1175,39,3902,37,00:35:50,20,7300
6783,9742,Tomoko,Sonoda,JPN,,1159,40,3785,38,00:38:04,21,7305
6783,17143,Svenja,Bazlen,GER,,1165,40,3913,38,00:36:01,22,7316
6783,12785,Juri,Ide,JPN,,1167,40,3914,38,00:36:06,23,7324
6783,5398,Elizabeth,May,LUX,,1196,40,3882,38,00:36:12,24,7326
6783,5567,Debbie,Tanner,NZL,,1153,39,3793,35,00:38:31,25,7328
6783,12786,Mariko,Adachi,JPN,,1162,41,3918,39,00:36:18,26,7337
6783,5369,Kiyomi,Niwata,JPN,,1200,43,3878,38,00:36:22,27,7339
6783,5452,Marina,Damlaimcourt,ESP,,1184,41,3898,38,00:36:29,28,7349
6783,7646,Claudia,Rivas,MEX,,1172,41,3911,36,00:36:43,29,7360
6783,6963,Irina,Abysova,RUS,,1156,43,3924,38,00:36:44,30,7364
6783,5571,Kathy,Tremblay,CAN,,1197,40,3883,37,00:36:53,31,7368
6783,23837,Akane,Tsuchihashi,JPN,,1157,43,3922,40,00:36:52,32,7371
6783,6069,Nicky,Samuels,NZL,,1199,41,3882,38,00:36:58,33,7375
6783,11385,Jodie,Stimpson,GBR,,1165,43,3914,39,00:36:58,34,7378
6783,5548,Zuriñe,Rodriguez Sanchez,ESP,,1195,40,3883,41,00:37:08,35,7386
6783,18592,Yuka,Sato,JPN,,1161,43,3919,36,00:37:08,36,7387
6783,14196,Mariya,Shorets,RUS,,1190,41,3890,38,00:37:21,37,7399
6783,6706,Kathrin,Muller,GER,,1168,40,3912,38,00:37:34,38,7409
6783,6224,Kerry,Lang,GBR,,1150,48,3922,39,00:37:49,39,7426
6783,11141,Emmie,Charayron,FRA,,1204,41,4055,38,00:34:52,40,7429
6783,7773,Annamaria,Mazzetti,ITA,,1208,39,4054,35,00:35:21,41,7456
6783,5547,Kate,Roberts,RSA,,1161,38,3922,41,00:39:04,42,7504
6783,15515,Anne,Haug,GER,,1242,41,4034,35,00:35:54,43,7507
6783,6150,Barbara,Riveros,CHI,,1197,38,3883,40,00:39:19,44,7516
6783,9345,Gillian,Sanders,RSA,,1206,40,4057,36,00:36:25,45,7522
6783,5943,Maria,Czesnik,POL,,1201,41,4057,41,00:36:29,46,7529
6783,9852,Alexandra,Razarenova,RUS,,1194,38,4069,37,00:36:41,47,7538
6783,7771,Charlotte,Bonin,ITA,,1167,43,3909,37,00:40:00,48,7554
6783,5312,Anja,Dittmer,GER,,1215,39,4046,40,00:37:04,49,7562
6783,5576,Ai,Ueda,JPN,,1242,41,4035,36,00:36:59,50,7573
6783,6962,Danne,Boterenbrood,NED,,1206,41,4046,40,00:37:46,51,7597
6783,30295,Katrien,Verstuyft,BEL,,1204,41,4058,35,00:37:55,52,7612
6783,18767,Sarissa,De Vries,NED,,1193,41,4069,38,00:37:58,53,7617
6783,11879,Lisa,Perterer,AUT,,1204,40,4057,38,00:38:15,54,7633
6783,17003,Jillian,Petersen,USA,,1201,40,4057,38,00:38:43,55,7658
6783,10916,Yi,Wang,CHN,,1207,39,4058,39,00:38:54,56,7677
6783,7795,Vicky,Holland,GBR,,1157,40,4110,37,00:39:27,57,7707
6783,6357,Hideko,Kikuchi,JPN,,1209,41,4057,43,00:43:07,58,7934
