program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
6784,7788,Alistair,Brownlee,GBR,,1031,35,3599,34,00:29:49,1,6487
6784,5320,Sven,Riederer,SUI,,1048,37,3579,36,00:29:55,2,6494
6784,11378,Jonathan,Brownlee,GBR,,1031,37,3597,34,00:29:59,3,6497
6784,7747,Dmitry,Polyanskiy,RUS,,1035,35,3599,35,00:29:58,4,6500
6784,5662,Laurent,Vidal,FRA,,1043,37,3587,34,00:30:03,5,6504
6784,5695,Javier,Gomez Noya,ESP,,1047,35,3586,34,00:30:06,6,6507
6784,5718,David,Hauss,FRA,,1041,39,3589,38,00:30:11,7,6515
6784,11143,Vincent,Luis,FRA,,1035,36,3596,35,00:30:23,8,6524
6784,5332,Maik,Petzold,GER,,1034,36,3595,34,00:30:29,9,6526
6784,5306,Ivan,Raña Fuentes,ESP,,1046,37,3582,32,00:30:34,10,6530
6784,7778,Jonathan,Zipf,GER,,1058,37,3573,36,00:30:36,11,6537
6784,7743,Alexander,Bryukhankov,RUS,,1032,39,3596,34,00:30:53,12,6552
6784,5302,Simon,Whitfield,CAN,,1039,36,3593,34,00:30:55,13,6558
6784,11818,Ryan,Sissons,NZL,,1045,36,3589,35,00:30:59,14,6562
6784,6560,William,Clarke,GBR,,1043,36,3590,36,00:31:04,15,6568
6784,5321,Frederic,Belaubre,FRA,,1038,37,3596,34,00:31:07,16,6569
6784,11060,Alessandro,Fabian,ITA,,1037,35,3595,33,00:31:12,17,6571
6784,5742,Yuichi,Hosoda,JPN,,1044,35,3591,32,00:31:29,18,6588
6784,5297,Bevan,Docherty,NZL,,1044,36,3587,34,00:31:36,19,6597
6784,5747,Steffen,Justus,GER,,1060,34,3573,36,00:31:38,20,6600
6784,5881,Duarte Silva,Marques,POR,,1035,35,3602,36,00:31:35,21,6602
6784,5651,Ivan,Vasiliev,RUS,,1032,37,3602,41,00:31:36,22,6606
6784,7744,Ivan,Tutukin,RUS,,1056,37,3579,38,00:31:58,23,6625
6784,5824,Christian,Prochnow,GER,,1076,37,3623,32,00:31:01,24,6627
6784,10434,Matt,Chrabot,USA,,1053,34,3583,38,00:32:02,25,6628
6784,5942,Gavin,Noble,IRL,,1046,35,3591,35,00:32:06,26,6632
6784,10539,Joao,Silva,POR,,1042,35,3596,37,00:32:04,27,6633
6784,5327,Hirokatsu,Tayama,JPN,,1035,38,3596,35,00:32:10,28,6633
6784,5296,Kris,Gemmell,NZL,,1042,35,3589,37,00:32:16,29,6638
6784,16392,Richard,Murray,RSA,,1094,35,3607,31,00:31:14,30,6639
6784,5814,Chris,Mccormack,AUS,,1094,34,3607,32,00:31:20,31,6646
6784,11803,Todd,Leckie,GBR,,1070,36,3633,35,00:31:18,32,6649
6784,6707,Jan,Celustka,CZE,,1052,38,3582,36,00:32:27,33,6653
6784,10536,Joao,Pereira,POR,,1068,37,3633,41,00:31:20,34,6658
6784,5657,Ruedi,Wild,SUI,,1075,37,3626,41,00:31:25,35,6663
6784,5654,Ryosuke,Yamamoto,JPN,,1076,37,3627,38,00:31:30,36,6666
6784,6236,Premysl,Svarc,CZE,,1071,39,3626,38,00:31:45,37,6677
6784,5348,Brent,Mcmahon,CAN,,1039,35,3594,37,00:33:15,38,6698
6784,5823,Bruno,Pais,POR,,1073,33,3628,33,00:32:21,39,6705
6784,32470,Adam,Bowden,GBR,,1045,54,3641,35,00:32:16,40,6709
6784,7745,Artem,Parienko,RUS,,1088,36,3614,41,00:32:16,41,6714
6784,5958,Dan,Alterman,ISR,,1053,36,3583,37,00:33:35,42,6723
6784,5756,Valentin,Mechsheryakov,KAZ,,1045,37,3586,46,00:33:30,43,6724
6784,5851,Tony,Moulai,FRA,,1056,38,3643,36,00:32:31,44,6725
6784,10575,Jan,Van Berkel,SUI,,1080,35,3622,37,00:32:54,45,6747
6784,11402,Mario,Mola,ESP,,1079,35,3624,35,00:33:53,46,6804
6784,5931,Andreas,Giglmayr,AUT,,1069,48,3621,39,00:34:07,47,6822
6784,5331,Danylo,Sapunov,UKR,,1044,39,3614,39,00:34:52,48,6826
6784,6227,Francisco,Serrano,MEX,,1097,35,3603,47,00:34:29,49,6849
6784,5750,Marek,Jaskolka,POL,,1086,36,3816,37,00:32:22,50,6915
6784,11162,Rostislav,Pevtsov,AZE,,1084,41,3812,36,00:32:31,51,6924
6784,6899,Ákos,Vanek,HUN,,1037,35,3867,36,00:33:00,52,6953
6784,5310,Reto,Hug,SUI,,1113,33,3792,41,00:33:15,53,6972
6784,5624,Peter,Croes,BEL,,1097,36,3807,37,00:33:32,54,6987
6784,23719,Fabio,Carvalho,BRA,,1094,37,3808,33,00:33:50,55,7002
6784,5959,Ran,Alterman,ISR,78.0,1091,35,3816,33,00:34:03,56,7016
6784,5707,Arturo,Garza,MEX,,1080,36,3823,41,00:33:57,57,7018
6784,6086,Martin,Van Barneveld,NZL,,1072,38,3831,35,00:35:52,58,7125
6784,16884,Faquan,Bai,CHN,,1073,40,3829,50,00:35:54,59,7145
