program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
6662,6150,Barbara,Riveros,CHI,1,0,0,0,0,00:16:34,1,3515
6662,15747,Emma,Jackson,AUS,7,615,30,1845,28,00:16:36,2,3515
6662,6783,Andrea,Hewitt,NZL,2,612,29,1848,28,00:16:38,3,3517
6662,5573,Helen,Jenkins,GBR,3,587,31,1873,25,00:16:42,4,3520
6662,15744,Ashleigh,Gentle,AUS,28,638,33,1820,27,00:16:42,5,3522
6662,40887,Gwen,Jorgensen,USA,18,616,37,1841,32,00:16:54,6,3542
6662,6246,Sarah,True,USA,5,610,33,1848,28,00:17:05,7,3546
6662,6120,Lisa,Norden,SWE,17,609,32,1850,32,00:17:02,8,3547
6662,11141,Emmie,Charayron,FRA,11,618,31,1840,28,00:17:09,9,3549
6662,5448,Felicity,Abram,AUS,24,641,32,1821,30,00:17:05,10,3549
6662,7773,Annamaria,Mazzetti,ITA,36,640,33,1816,26,00:17:21,11,3558
6662,5312,Anja,Dittmer,GER,9,614,33,1842,28,00:17:21,12,3560
6662,22170,Rachel,Klamer,NED,25,615,33,1844,27,00:17:20,13,3561
6662,17143,Svenja,Bazlen,GER,6,611,31,1847,29,00:17:22,14,3563
6662,7781,Rebecca,Robisch,GER,45,630,30,1831,28,00:17:25,15,3565
6662,5372,Nicola,Spirig,SUI,20,635,30,1823,27,00:17:33,16,3570
6662,5376,Ainhoa,Murua Zubizarreta,ESP,10,614,33,1843,30,00:17:37,17,3579
6662,11385,Jodie,Stimpson,GBR,12,615,31,1843,36,00:17:40,18,3587
6662,7795,Vicky,Holland,GBR,22,617,31,1842,28,00:17:59,19,3600
6662,6357,Hideko,Kikuchi,JPN,42,621,31,1843,28,00:17:57,20,3602
6662,6848,Melanie,Hauss,SUI,19,616,32,1842,27,00:18:05,21,3605
6662,6069,Nicky,Samuels,NZL,27,624,33,1835,27,00:18:08,22,3608
6662,5560,Mateja,Šimic,SLO,39,642,33,1816,32,00:18:08,23,3614
6662,5526,Emma,Moffatt,AUS,4,607,34,1847,30,00:18:17,24,3618
6662,6962,Danne,Boterenbrood,NED,14,619,33,1840,31,00:18:20,25,3624
6662,12801,Fabienne,St Louis,MRI,48,638,32,1821,30,00:18:34,26,3637
6662,14196,Mariya,Shorets,RUS,52,621,32,1839,32,00:18:33,27,3640
6662,6706,Kathrin,Muller,GER,21,616,33,1840,30,00:18:50,28,3651
6662,11879,Lisa,Perterer,AUT,29,624,30,1837,36,00:18:52,29,3661
6662,10930,Sarah,Fladung,GER,33,633,33,1856,28,00:18:29,30,3661
6662,7771,Charlotte,Bonin,ITA,35,624,35,1835,31,00:19:04,31,3670
6662,18721,Lucy,Hall,GBR,37,578,32,1883,30,00:19:08,32,3672
6662,6122,Felicity,Sheedy-Ryan,AUS,43,629,32,1951,26,00:17:15,33,3674
6662,15515,Anne,Haug,GER,32,650,31,1931,27,00:17:31,34,3692
6662,39876,Lois,Rosindale,GBR,63,653,31,1928,27,00:17:58,35,3719
6662,7757,Zsófia,Kovács,HUN,30,653,32,1927,27,00:18:05,36,3727
6662,15483,Lisa,Mensink,CAN,23,710,0,0,0,00:19:03,37,3735
6662,72291,Marta,Jimenez Jimenez,ESP,58,637,33,1943,29,00:18:14,38,3737
6662,6338,Chie,Nakashima,JPN,46,609,32,1852,29,00:20:25,39,3749
6662,25560,Manon,Letourneau,CAN,55,650,32,1931,25,00:18:44,40,3763
6662,11281,Monika,Orazem,SLO,75,618,33,1841,31,00:20:48,41,3773
6662,7013,Evgenia,Sukhoruchenkova,RUS,50,643,36,1934,30,00:18:51,42,3776
6662,17670,Sara,Vilic,AUT,70,622,32,1958,28,00:18:55,43,3777
6662,6336,Keiko,Tanaka,JPN,38,624,34,1955,30,00:19:01,44,3785
6662,26478,Petra,Kurikova,CZE,72,641,34,1940,27,00:19:19,45,3803
6662,18592,Yuka,Sato,JPN,31,623,33,1959,31,00:19:26,46,3814
6662,22243,Charlotte,Deldaele,BEL,69,637,34,1941,25,00:19:41,47,3819
6662,11424,Chantell,Widney,CAN,49,651,34,2024,25,00:18:13,48,3829
6662,11316,Celine,Schaerer,SUI,78,622,34,1956,31,00:19:55,49,3840
6662,25176,Cecilia,Perez,MEX,60,611,35,1969,28,00:20:15,50,3859
6662,12804,Carlyn,Fischer,RSA,57,651,32,2024,27,00:18:47,51,3863
6662,40842,Lauren,Goss,USA,54,631,34,2047,30,00:19:06,52,3889
6662,21851,Rebecca,Kingsford,NZL,47,651,32,2025,28,00:19:20,53,3897
6662,16708,Daria,Pletikapa,CRO,61,630,30,1953,27,00:21:02,54,3904
6662,5319,Machiko,Nakanishi,JPN,56,646,36,2027,33,00:19:35,55,3919
6662,12728,Andrea,Barraza,MEX,59,628,36,2044,32,00:19:42,56,3924
6662,17356,Won-Jung,Choi,KOR,68,654,34,2021,31,00:19:45,57,3926
6662,47221,Amy,Wolfe,IRL,73,637,38,2034,26,00:19:54,58,3930
6662,21171,Asa,Annerstedt,SWE,74,660,33,2093,29,00:18:54,59,3950
6662,15346,Romina,Palacio Balena,ARG,51,652,33,2210,33,00:20:13,60,4142
6662,9925,Favia,Diaz,CHI,53,689,33,2174,38,00:20:38,61,4173
