program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
6663,11378,Jonathan,Brownlee,GBR,5,554,29,1670,22,00:14:24,1,3143
6663,5695,Javier,Gomez Noya,ESP,1,557,26,1671,22,00:14:27,2,3147
6663,7788,Alistair,Brownlee,GBR,2,553,27,1672,24,00:14:37,3,3158
6663,5718,David,Hauss,FRA,6,557,29,1668,24,00:14:42,4,3161
6663,7743,Alexander,Bryukhankov,RUS,3,552,29,1674,24,00:14:42,5,3162
6663,5662,Laurent,Vidal,FRA,9,569,29,1654,24,00:14:43,6,3163
6663,7778,Jonathan,Zipf,GER,17,576,29,1648,24,00:14:41,7,3164
6663,10539,Joao,Silva,POR,10,576,27,1648,22,00:14:54,8,3172
6663,5824,Christian,Prochnow,GER,25,571,32,1650,24,00:14:54,9,3175
6663,5851,Tony,Moulai,FRA,22,568,34,1650,24,00:15:02,10,3182
6663,5711,Brad,Kahlefeldt,AUS,7,569,29,1656,22,00:15:04,11,3184
6663,5305,Tim,Don,GBR,14,572,27,1651,22,00:15:05,12,3184
6663,11060,Alessandro,Fabian,ITA,21,552,29,1672,22,00:15:07,13,3185
6663,5320,Sven,Riederer,SUI,4,561,29,1662,22,00:15:09,14,3188
6663,11818,Ryan,Sissons,NZL,20,572,31,1650,24,00:15:09,15,3189
6663,5657,Ruedi,Wild,SUI,24,581,29,1643,24,00:15:12,16,3191
6663,5332,Maik,Petzold,GER,12,553,29,1671,24,00:15:15,17,3194
6663,11143,Vincent,Luis,FRA,19,0,0,0,0,00:15:17,18,3198
6663,15944,Brendan,Sexton,AUS,16,572,34,1647,24,00:15:19,19,3201
6663,29442,Fernando,Alarza,ESP,72,569,31,1655,24,00:15:23,20,3207
6663,11508,Andrew,Yorke,CAN,61,579,31,1646,24,00:15:27,21,3210
6663,6236,Premysl,Svarc,CZE,35,569,31,1655,29,00:15:27,22,3214
6663,18719,Thomas,Bishop,GBR,73,560,31,1664,24,00:15:34,23,3216
6663,5879,Daniel,Hofer,ITA,57,584,27,1642,22,00:15:41,24,3220
6663,5683,Clark,Ellice,NZL,31,580,29,1646,24,00:15:49,25,3230
6663,5747,Steffen,Justus,GER,11,568,31,1656,24,00:15:53,26,3235
6663,5321,Frederic,Belaubre,FRA,27,556,29,1668,26,00:15:57,27,3239
6663,16392,Richard,Murray,RSA,46,591,27,1688,24,00:15:05,28,3240
6663,7501,Leonardo,Saucedo,MEX,50,565,29,1660,26,00:15:58,29,3243
6663,10141,Aaron,Royle,AUS,43,565,29,1660,26,00:16:03,30,3248
6663,11803,Todd,Leckie,GBR,37,576,31,1647,31,00:16:00,31,3251
6663,12814,Tony,Dodds,NZL,38,557,29,1666,24,00:16:12,32,3255
6663,10767,Jason,Wilson,BAR,54,580,29,1647,24,00:16:13,33,3257
6663,16030,Abrahm,Louw,NAM,58,557,29,1669,27,00:16:17,34,3265
6663,11162,Rostislav,Pevtsov,AZE,49,595,29,1691,26,00:15:25,35,3271
6663,10858,Gregor,Buchholz,GER,32,584,31,1699,24,00:15:34,36,3277
6663,5776,Hiroki,Sugimoto,JPN,55,558,31,1670,26,00:16:29,37,3278
6663,10575,Jan,Van Berkel,SUI,34,595,29,1690,22,00:15:44,38,3282
6663,10017,Cameron,Good,AUS,44,588,29,1698,24,00:15:43,39,3285
6663,6087,James,Elvery,NZL,33,568,29,1657,24,00:16:43,40,3285
6663,5624,Peter,Croes,BEL,39,592,29,1695,22,00:15:46,41,3288
6663,10100,Drew,Box,AUS,45,579,29,1648,24,00:16:50,42,3293
6663,7745,Artem,Parienko,RUS,28,594,31,1682,26,00:15:58,43,3294
6663,11315,Andrea,Salvisberg,SUI,70,554,29,1669,22,00:16:57,44,3296
6663,15371,Gonzalo Raul,Tellechea,ARG,59,595,29,1684,26,00:15:59,45,3297
6663,40452,Conor,Murphy,IRL,78,577,31,1706,22,00:15:58,46,3298
6663,10955,Ron,Darmon,ISR,65,591,29,1697,26,00:15:58,47,3302
6663,6777,Min Ho,Heo,KOR,64,572,27,1656,26,00:17:00,48,3304
6663,13363,Sylwester,Kuster,POL,69,587,29,1701,27,00:15:58,49,3306
6663,5551,Bryan,Keane,IRL,52,588,37,1683,27,00:16:09,50,3307
6663,11499,Andrew,Russell,CAN,40,573,31,1711,22,00:16:12,51,3312
6663,11402,Mario,Mola,ESP,23,587,29,1699,24,00:16:12,52,3315
6663,10938,Hervé,Banti,MON,53,585,31,1700,29,00:16:12,53,3321
6663,5651,Ivan,Vasiliev,RUS,29,554,31,1671,26,00:17:17,54,3324
6663,6086,Martin,Van Barneveld,NZL,36,568,31,1657,26,00:17:20,55,3324
6663,10166,Simon,De Cuyper,BEL,60,595,29,1691,24,00:16:41,56,3344
6663,15981,Mehdi,Essadiq,MAR,51,575,31,1709,26,00:16:41,57,3348
6663,30458,Florin,Salvisberg,SUI,76,557,27,1669,24,00:18:08,58,3369
6663,39824,Tatsuki,Endo,JPN,77,568,27,1718,22,00:17:20,59,3382
6663,5310,Reto,Hug,SUI,26,595,29,1823,26,00:15:29,60,3404
6663,5633,Vladimir,Turbayevskiy,RUS,30,562,31,1780,27,00:16:44,61,3410
6663,11871,Rudolf,Naude,RSA,66,583,31,1703,26,00:17:47,62,3414
6663,6488,Barrett,Brandon,USA,56,580,31,1702,29,00:18:00,63,3426
6663,29903,Per,Wangel,SWE,74,592,31,1823,26,00:17:22,64,3521
6663,10943,David,Plese,SLO,75,642,32,1823,31,00:17:17,65,3569
