program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
6653,5526,Emma,Moffatt,AUS,3,1138,48,3610,25,00:33:18,1,6817
6653,15747,Emma,Jackson,AUS,30,1138,47,3619,26,00:33:16,2,6824
6653,5530,Emma,Snowsill,AUS,27,1115,56,3632,26,00:33:16,3,6824
6653,6783,Andrea,Hewitt,NZL,2,1143,46,3608,25,00:33:40,4,6839
6653,6150,Barbara,Riveros,CHI,1,1119,40,3637,24,00:34:13,5,6872
6653,5376,Ainhoa,Murua Zubizarreta,ESP,12,1132,49,3616,24,00:34:15,6,6873
6653,5454,Erin,Densham,AUS,15,1119,42,3635,25,00:34:24,7,6883
6653,6962,Danne,Boterenbrood,NED,16,1131,44,3624,25,00:34:28,8,6889
6653,11385,Jodie,Stimpson,GBR,10,1133,47,3616,27,00:34:29,9,6890
6653,17143,Svenja,Bazlen,GER,5,1135,50,3612,28,00:34:29,10,6892
6653,5369,Kiyomi,Niwata,JPN,34,1143,44,3617,24,00:34:31,11,6897
6653,5372,Nicola,Spirig,SUI,40,1117,44,3635,26,00:34:46,12,6906
6653,6246,Sarah,True,USA,4,1117,48,3635,26,00:35:01,13,6926
6653,6848,Melanie,Hauss,SUI,11,1121,43,3637,31,00:34:59,14,6929
6653,11879,Lisa,Perterer,AUT,55,1138,47,3619,27,00:35:02,15,6931
6653,5448,Felicity,Abram,AUS,23,1121,47,3631,28,00:35:08,16,6933
6653,12786,Mariko,Adachi,JPN,20,1113,49,3639,27,00:35:08,17,6934
6653,5452,Marina,Damlaimcourt,ESP,38,1133,48,3623,25,00:35:10,18,6937
6653,39683,Alice,Betto,ITA,59,1134,48,3619,34,00:35:10,19,6943
6653,5410,Jessica,Harrison,FRA,7,1139,44,3615,25,00:35:29,20,6949
6653,18767,Sarissa,De Vries,NED,31,1119,44,3642,26,00:35:22,21,6950
6653,5398,Elizabeth,May,LUX,22,1131,45,3621,27,00:35:38,22,6959
6653,6522,Radka,Vodickova,CZE,44,1111,43,3645,27,00:35:42,23,6966
6653,7825,Kirsten,Sweetland,CAN,54,1135,49,3619,28,00:35:42,24,6971
6653,5567,Debbie,Tanner,NZL,19,1129,48,3621,26,00:35:54,25,6976
6653,6706,Kathrin,Muller,GER,14,1135,47,3616,28,00:36:07,26,6991
6653,40887,Gwen,Jorgensen,USA,43,1133,63,3746,28,00:33:44,27,6992
6653,11141,Emmie,Charayron,FRA,8,1148,53,3736,28,00:33:54,28,6997
6653,18592,Yuka,Sato,JPN,32,1115,50,3640,29,00:36:11,29,7004
6653,10930,Sarah,Fladung,GER,35,1134,46,3626,25,00:36:31,30,7020
6653,29097,Line,Jensen,DEN,37,1110,50,3641,32,00:36:32,31,7023
6653,23837,Akane,Tsuchihashi,JPN,28,1117,54,3634,28,00:36:36,32,7028
6653,15515,Anne,Haug,GER,29,1156,52,3730,24,00:34:43,33,7043
6653,21978,Aileen,Reid,IRL,41,1136,50,3754,23,00:34:45,34,7047
6653,22170,Rachel,Klamer,NED,17,1151,48,3741,25,00:34:47,35,7050
6653,15483,Lisa,Mensink,CAN,9,1135,46,3756,25,00:35:06,36,7065
6653,18721,Lucy,Hall,GBR,58,1101,41,3662,26,00:37:29,37,7077
6653,6336,Keiko,Tanaka,JPN,60,1145,45,3612,24,00:37:44,38,7089
6653,5560,Mateja,Šimic,SLO,45,1146,51,3742,25,00:35:31,39,7094
6653,5547,Kate,Roberts,RSA,26,1144,45,3747,26,00:35:48,40,7108
6653,7776,Flora,Duffy,BER,50,1136,43,3625,32,00:38:01,41,7114
6653,11133,Agnieszka,Jerzyk,POL,33,1156,45,3738,25,00:36:07,42,7129
6653,9852,Alexandra,Razarenova,RUS,36,1145,48,3744,27,00:36:25,43,7147
6653,5943,Maria,Czesnik,POL,25,1137,50,3756,28,00:36:30,44,7159
6653,9345,Gillian,Sanders,RSA,48,1153,42,3749,28,00:37:01,45,7191
6653,5548,Zuriñe,Rodriguez Sanchez,ESP,18,1149,42,3748,28,00:37:34,46,7219
6653,6357,Hideko,Kikuchi,JPN,42,1148,43,3754,30,00:37:34,47,7226
6653,17003,Jillian,Petersen,USA,21,1149,57,3731,31,00:37:54,48,7240
6653,5486,Anastasiya,Polyanskaya Yatsenko,RUS,47,1139,47,3753,26,00:38:37,49,7280
6653,110113,Inna,Tutukina,RUS,51,1136,46,3760,27,00:39:24,50,7331
6653,6338,Chie,Nakashima,JPN,49,1113,48,3644,25,00:42:47,51,7394
