time,player1,player2,result
46,15515,40887,1
46,15515,6150,1
46,15515,6120,1
46,15515,11385,1
46,15515,22170,1
46,15515,6783,1
46,15515,8739,1
46,15515,6246,1
46,15515,12785,1
46,15515,5376,1
46,15515,94438,1
46,15515,7776,1
46,15515,5576,1
46,15515,21486,1
46,15515,5410,1
46,15515,5467,1
46,15515,5448,1
46,15515,18592,1
46,15515,17143,1
46,15515,5476,1
46,15515,7781,1
46,15515,39683,1
46,15515,17285,1
46,15515,7773,1
46,15515,15744,1
46,15515,6962,1
46,15515,5567,1
46,15515,6069,1
46,15515,6122,1
46,15515,9742,1
46,15515,9345,1
46,15515,5943,1
46,40887,6150,1
46,40887,6120,1
46,40887,11385,1
46,40887,22170,1
46,40887,6783,1
46,40887,8739,1
46,40887,6246,1
46,40887,12785,1
46,40887,5376,1
46,40887,94438,1
46,40887,7776,1
46,40887,5576,1
46,40887,21486,1
46,40887,5410,1
46,40887,5467,1
46,40887,5448,1
46,40887,18592,1
46,40887,17143,1
46,40887,5476,1
46,40887,7781,1
46,40887,39683,1
46,40887,17285,1
46,40887,7773,1
46,40887,15744,1
46,40887,6962,1
46,40887,5567,1
46,40887,6069,1
46,40887,6122,1
46,40887,9742,1
46,40887,9345,1
46,40887,5943,1
46,6150,6120,1
46,6150,11385,1
46,6150,22170,1
46,6150,6783,1
46,6150,8739,1
46,6150,6246,1
46,6150,12785,1
46,6150,5376,1
46,6150,94438,1
46,6150,7776,1
46,6150,5576,1
46,6150,21486,1
46,6150,5410,1
46,6150,5467,1
46,6150,5448,1
46,6150,18592,1
46,6150,17143,1
46,6150,5476,1
46,6150,7781,1
46,6150,39683,1
46,6150,17285,1
46,6150,7773,1
46,6150,15744,1
46,6150,6962,1
46,6150,5567,1
46,6150,6069,1
46,6150,6122,1
46,6150,9742,1
46,6150,9345,1
46,6150,5943,1
46,6120,11385,1
46,6120,22170,1
46,6120,6783,1
46,6120,8739,1
46,6120,6246,1
46,6120,12785,1
46,6120,5376,1
46,6120,94438,1
46,6120,7776,1
46,6120,5576,1
46,6120,21486,1
46,6120,5410,1
46,6120,5467,1
46,6120,5448,1
46,6120,18592,1
46,6120,17143,1
46,6120,5476,1
46,6120,7781,1
46,6120,39683,1
46,6120,17285,1
46,6120,7773,1
46,6120,15744,1
46,6120,6962,1
46,6120,5567,1
46,6120,6069,1
46,6120,6122,1
46,6120,9742,1
46,6120,9345,1
46,6120,5943,1
46,11385,22170,1
46,11385,6783,1
46,11385,8739,1
46,11385,6246,1
46,11385,12785,1
46,11385,5376,1
46,11385,94438,1
46,11385,7776,1
46,11385,5576,1
46,11385,21486,1
46,11385,5410,1
46,11385,5467,1
46,11385,5448,1
46,11385,18592,1
46,11385,17143,1
46,11385,5476,1
46,11385,7781,1
46,11385,39683,1
46,11385,17285,1
46,11385,7773,1
46,11385,15744,1
46,11385,6962,1
46,11385,5567,1
46,11385,6069,1
46,11385,6122,1
46,11385,9742,1
46,11385,9345,1
46,11385,5943,1
46,22170,6783,1
46,22170,8739,1
46,22170,6246,1
46,22170,12785,1
46,22170,5376,1
46,22170,94438,1
46,22170,7776,1
46,22170,5576,1
46,22170,21486,1
46,22170,5410,1
46,22170,5467,1
46,22170,5448,1
46,22170,18592,1
46,22170,17143,1
46,22170,5476,1
46,22170,7781,1
46,22170,39683,1
46,22170,17285,1
46,22170,7773,1
46,22170,15744,1
46,22170,6962,1
46,22170,5567,1
46,22170,6069,1
46,22170,6122,1
46,22170,9742,1
46,22170,9345,1
46,22170,5943,1
46,6783,8739,1
46,6783,6246,1
46,6783,12785,1
46,6783,5376,1
46,6783,94438,1
46,6783,7776,1
46,6783,5576,1
46,6783,21486,1
46,6783,5410,1
46,6783,5467,1
46,6783,5448,1
46,6783,18592,1
46,6783,17143,1
46,6783,5476,1
46,6783,7781,1
46,6783,39683,1
46,6783,17285,1
46,6783,7773,1
46,6783,15744,1
46,6783,6962,1
46,6783,5567,1
46,6783,6069,1
46,6783,6122,1
46,6783,9742,1
46,6783,9345,1
46,6783,5943,1
46,8739,6246,1
46,8739,12785,1
46,8739,5376,1
46,8739,94438,1
46,8739,7776,1
46,8739,5576,1
46,8739,21486,1
46,8739,5410,1
46,8739,5467,1
46,8739,5448,1
46,8739,18592,1
46,8739,17143,1
46,8739,5476,1
46,8739,7781,1
46,8739,39683,1
