time,player1,player2,result
40,5573,5454,1
40,5573,5399,1
40,5573,5410,1
40,5573,7795,1
40,5573,7776,1
40,5573,15515,1
40,5573,6210,1
40,5573,5526,1
40,5573,15744,1
40,5573,11343,1
40,5573,22170,1
40,5573,12785,1
40,5573,15747,1
40,5573,6246,1
40,5573,5842,1
40,5573,5530,1
40,5573,5467,1
40,5573,11503,1
40,5573,6963,1
40,5573,31438,1
40,5573,5547,1
40,5573,7646,1
40,5573,10930,1
40,5573,5476,1
40,5573,5452,1
40,5573,5943,1
40,5573,21486,1
40,5573,12786,1
40,5573,39876,1
40,5573,5398,1
40,5573,5448,1
40,5573,6848,1
40,5573,9345,1
40,5573,18592,1
40,5573,5539,1
40,5573,10843,1
40,5573,10761,1
40,5573,6069,1
40,5573,7817,1
40,5573,39420,1
40,5573,11424,1
40,5573,18767,1
40,5573,11879,1
40,5573,11385,1
40,5573,9742,1
40,5573,30295,1
40,5573,44045,1
40,5573,6522,1
40,5573,12804,1
40,5573,40887,1
40,5573,7525,1
40,5573,6435,1
40,5573,15346,1
40,5573,17003,1
40,5573,16889,1
40,5573,29391,1
40,5573,7773,1
40,5573,30090,1
40,5573,11321,1
40,5573,7766,1
40,5573,5576,1
40,5573,29097,1
40,5573,74384,1
40,5573,46333,1
40,5573,15483,1
40,5573,12801,1
40,5573,5567,1
40,5573,5571,1
40,5573,10916,1
40,5454,5399,1
40,5454,5410,1
40,5454,7795,1
40,5454,7776,1
40,5454,15515,1
40,5454,6210,1
40,5454,5526,1
40,5454,15744,1
40,5454,11343,1
40,5454,22170,1
40,5454,12785,1
40,5454,15747,1
40,5454,6246,1
40,5454,5842,1
40,5454,5530,1
40,5454,5467,1
40,5454,11503,1
40,5454,6963,1
40,5454,31438,1
40,5454,5547,1
40,5454,7646,1
40,5454,10930,1
40,5454,5476,1
40,5454,5452,1
40,5454,5943,1
40,5454,21486,1
40,5454,12786,1
40,5454,39876,1
40,5454,5398,1
40,5454,5448,1
40,5454,6848,1
40,5454,9345,1
40,5454,18592,1
40,5454,5539,1
40,5454,10843,1
40,5454,10761,1
40,5454,6069,1
40,5454,7817,1
40,5454,39420,1
40,5454,11424,1
40,5454,18767,1
40,5454,11879,1
40,5454,11385,1
40,5454,9742,1
40,5454,30295,1
40,5454,44045,1
40,5454,6522,1
40,5454,12804,1
40,5454,40887,1
40,5454,7525,1
40,5454,6435,1
40,5454,15346,1
40,5454,17003,1
