time,player1,player2,result
42,5372,6120,1
42,5372,6783,1
42,5372,6150,1
42,5372,5410,1
42,5372,6069,1
42,5372,6246,1
42,5372,8739,1
42,5372,5312,1
42,5372,15744,1
42,5372,40887,1
42,5372,6122,1
42,5372,9852,1
42,5372,21978,1
42,5372,94438,1
42,5372,14196,1
42,5372,5567,1
42,5372,6848,1
42,5372,11879,1
42,5372,7525,1
42,5372,9819,1
42,5372,18592,1
42,5372,17285,1
42,5372,39420,1
42,5372,5548,1
42,5372,10843,1
42,5372,21841,1
42,5372,10761,1
42,5372,5576,1
42,5372,45756,1
42,5372,5448,1
42,5372,11385,1
42,5372,5539,1
42,5372,17143,1
42,5372,39683,1
42,5372,30335,1
42,5372,7795,1
42,5372,5319,1
42,5372,7817,1
42,6120,6783,1
42,6120,6150,1
42,6120,5410,1
42,6120,6069,1
42,6120,6246,1
42,6120,8739,1
42,6120,5312,1
42,6120,15744,1
42,6120,40887,1
42,6120,6122,1
42,6120,9852,1
42,6120,21978,1
42,6120,94438,1
42,6120,14196,1
42,6120,5567,1
42,6120,6848,1
42,6120,11879,1
42,6120,7525,1
42,6120,9819,1
42,6120,18592,1
42,6120,17285,1
42,6120,39420,1
42,6120,5548,1
42,6120,10843,1
42,6120,21841,1
42,6120,10761,1
42,6120,5576,1
42,6120,45756,1
42,6120,5448,1
42,6120,11385,1
42,6120,5539,1
42,6120,17143,1
42,6120,39683,1
42,6120,30335,1
42,6120,7795,1
42,6120,5319,1
42,6120,7817,1
42,6783,6150,1
42,6783,5410,1
42,6783,6069,1
42,6783,6246,1
42,6783,8739,1
42,6783,5312,1
42,6783,15744,1
42,6783,40887,1
42,6783,6122,1
42,6783,9852,1
42,6783,21978,1
42,6783,94438,1
42,6783,14196,1
42,6783,5567,1
42,6783,6848,1
42,6783,11879,1
42,6783,7525,1
42,6783,9819,1
42,6783,18592,1
42,6783,17285,1
42,6783,39420,1
42,6783,5548,1
42,6783,10843,1
42,6783,21841,1
42,6783,10761,1
42,6783,5576,1
42,6783,45756,1
42,6783,5448,1
42,6783,11385,1
42,6783,5539,1
42,6783,17143,1
42,6783,39683,1
42,6783,30335,1
42,6783,7795,1
42,6783,5319,1
42,6783,7817,1
42,6150,5410,1
42,6150,6069,1
42,6150,6246,1
42,6150,8739,1
42,6150,5312,1
42,6150,15744,1
42,6150,40887,1
42,6150,6122,1
42,6150,9852,1
42,6150,21978,1
42,6150,94438,1
42,6150,14196,1
42,6150,5567,1
42,6150,6848,1
42,6150,11879,1
42,6150,7525,1
42,6150,9819,1
42,6150,18592,1
42,6150,17285,1
42,6150,39420,1
42,6150,5548,1
42,6150,10843,1
42,6150,21841,1
42,6150,10761,1
42,6150,5576,1
42,6150,45756,1
42,6150,5448,1
42,6150,11385,1
42,6150,5539,1
42,6150,17143,1
42,6150,39683,1
42,6150,30335,1
42,6150,7795,1
42,6150,5319,1
42,6150,7817,1
42,5410,6069,1
42,5410,6246,1
42,5410,8739,1
42,5410,5312,1
42,5410,15744,1
42,5410,40887,1
42,5410,6122,1
42,5410,9852,1
42,5410,21978,1
42,5410,94438,1
42,5410,14196,1
42,5410,5567,1
42,5410,6848,1
42,5410,11879,1
42,5410,7525,1
42,5410,9819,1
42,5410,18592,1
42,5410,17285,1
42,5410,39420,1
42,5410,5548,1
42,5410,10843,1
42,5410,21841,1
42,5410,10761,1
42,5410,5576,1
42,5410,45756,1
42,5410,5448,1
42,5410,11385,1
42,5410,5539,1
42,5410,17143,1
42,5410,39683,1
42,5410,30335,1
42,5410,7795,1
42,5410,5319,1
42,5410,7817,1
42,6069,6246,1
42,6069,8739,1
42,6069,5312,1
42,6069,15744,1
42,6069,40887,1
42,6069,6122,1
42,6069,9852,1
42,6069,21978,1
42,6069,94438,1
42,6069,14196,1
42,6069,5567,1
42,6069,6848,1
42,6069,11879,1
42,6069,7525,1
42,6069,9819,1
42,6069,18592,1
42,6069,17285,1
42,6069,39420,1
42,6069,5548,1
42,6069,10843,1
42,6069,21841,1
42,6069,10761,1
42,6069,5576,1
42,6069,45756,1
42,6069,5448,1
42,6069,11385,1
42,6069,5539,1
42,6069,17143,1
42,6069,39683,1
42,6069,30335,1
42,6069,7795,1
42,6069,5319,1
42,6069,7817,1
42,6246,8739,1
42,6246,5312,1
42,6246,15744,1
42,6246,40887,1
42,6246,6122,1
42,6246,9852,1
42,6246,21978,1
42,6246,94438,1
42,6246,14196,1
42,6246,5567,1
42,6246,6848,1
42,6246,11879,1
42,6246,7525,1
42,6246,9819,1
42,6246,18592,1
42,6246,17285,1
42,6246,39420,1
42,6246,5548,1
42,6246,10843,1
42,6246,21841,1
42,6246,10761,1
42,6246,5576,1
42,6246,45756,1
42,6246,5448,1
42,6246,11385,1
42,6246,5539,1
42,6246,17143,1
42,6246,39683,1
42,6246,30335,1
42,6246,7795,1
42,6246,5319,1
42,6246,7817,1
42,8739,5312,1
42,8739,15744,1
42,8739,40887,1
42,8739,6122,1
42,8739,9852,1
42,8739,21978,1
42,8739,94438,1
42,8739,14196,1
42,8739,5567,1
42,8739,6848,1
