time,player1,player2,result
41,5372,21978,1
41,5372,6150,1
41,5372,15515,1
41,5372,22170,1
41,5372,5376,1
41,5372,7795,1
41,5372,9852,1
41,5372,6783,1
41,5372,5842,1
41,5372,5410,1
41,5372,17143,1
41,5372,11385,1
41,5372,5539,1
41,5372,6069,1
41,5372,12785,1
41,5372,11141,1
41,5372,6963,1
41,5372,11879,1
41,5372,12786,1
41,5372,10843,1
41,5372,6848,1
41,5372,6357,1
41,5372,30295,1
41,5372,14196,1
41,5372,5407,1
41,5372,45907,1
41,5372,5448,1
41,5372,9742,1
41,5372,18592,1
41,5372,5548,1
41,5372,6962,1
41,5372,6706,1
41,5372,6522,1
41,5372,39683,1
41,5372,5560,1
41,5372,6122,1
41,5372,9345,1
41,5372,7766,1
41,5372,7757,1
41,5372,11424,1
41,5372,12804,1
41,5372,11503,1
41,5372,11321,1
41,5372,5369,1
41,5372,10930,1
41,5372,72291,1
41,5372,5467,1
41,5372,9819,1
41,5372,15346,1
41,5372,12801,1
41,5372,39687,1
41,5372,10916,1
41,5372,11343,1
41,5372,31827,1
41,5372,11175,1
41,5372,16889,1
41,5372,11084,1
41,5372,15747,1
41,5372,5452,1
41,5372,5476,1
41,5372,18767,1
41,5372,6224,1
41,21978,6150,1
41,21978,15515,1
41,21978,22170,1
41,21978,5376,1
41,21978,7795,1
41,21978,9852,1
41,21978,6783,1
41,21978,5842,1
41,21978,5410,1
41,21978,17143,1
41,21978,11385,1
41,21978,5539,1
41,21978,6069,1
41,21978,12785,1
41,21978,11141,1
41,21978,6963,1
41,21978,11879,1
41,21978,12786,1
41,21978,10843,1
41,21978,6848,1
41,21978,6357,1
41,21978,30295,1
41,21978,14196,1
41,21978,5407,1
41,21978,45907,1
41,21978,5448,1
41,21978,9742,1
41,21978,18592,1
41,21978,5548,1
41,21978,6962,1
41,21978,6706,1
41,21978,6522,1
41,21978,39683,1
41,21978,5560,1
41,21978,6122,1
41,21978,9345,1
41,21978,7766,1
41,21978,7757,1
41,21978,11424,1
41,21978,12804,1
41,21978,11503,1
41,21978,11321,1
41,21978,5369,1
41,21978,10930,1
41,21978,72291,1
41,21978,5467,1
41,21978,9819,1
41,21978,15346,1
41,21978,12801,1
41,21978,39687,1
41,21978,10916,1
41,21978,11343,1
41,21978,31827,1
41,21978,11175,1
41,21978,16889,1
41,21978,11084,1
41,21978,15747,1
41,21978,5452,1
41,21978,5476,1
41,21978,18767,1
41,21978,6224,1
