time,player1,player2,result
39,5454,5573,1
39,5454,6783,1
39,5454,40887,1
39,5454,5372,1
39,5454,5376,1
39,5454,15515,1
39,5454,5571,1
39,5454,12786,1
39,5454,15744,1
39,5454,31438,1
39,5454,6069,1
39,5454,5526,1
39,5454,5530,1
39,5454,5399,1
39,5454,6122,1
39,5454,6120,1
39,5454,5842,1
39,5454,5567,1
39,5454,5312,1
39,5454,18592,1
39,5454,12785,1
39,5454,21486,1
39,5454,5476,1
39,5454,22170,1
39,5454,17143,1
39,5454,8739,1
39,5454,21978,1
39,5454,5560,1
39,5454,9939,1
39,5454,5369,1
39,5454,7773,1
39,5454,15747,1
39,5454,5398,1
39,5454,9345,1
39,5454,5943,1
39,5454,6357,1
39,5454,7795,1
39,5454,45907,1
39,5454,5407,1
39,5454,7646,1
39,5454,21841,1
39,5454,6246,1
39,5454,6706,1
39,5454,11385,1
39,5454,5547,1
39,5454,18767,1
39,5454,7776,1
39,5454,9742,1
39,5454,15483,1
39,5454,17003,1
39,5454,28197,1
39,5454,21851,1
39,5454,5576,1
39,5454,5467,1
39,5454,7757,1
39,5454,11343,1
39,5454,5448,1
39,5454,10077,1
39,5454,12804,1
39,5454,6848,1
39,5454,6962,1
39,5454,11503,1
39,5454,6224,1
39,5454,5548,1
39,5454,7013,1
39,5454,6150,1
39,5454,7766,1
39,5573,6783,1
39,5573,40887,1
39,5573,5372,1
39,5573,5376,1
39,5573,15515,1
39,5573,5571,1
39,5573,12786,1
39,5573,15744,1
39,5573,31438,1
39,5573,6069,1
39,5573,5526,1
39,5573,5530,1
39,5573,5399,1
39,5573,6122,1
39,5573,6120,1
39,5573,5842,1
39,5573,5567,1
39,5573,5312,1
39,5573,18592,1
39,5573,12785,1
39,5573,21486,1
39,5573,5476,1
39,5573,22170,1
39,5573,17143,1
39,5573,8739,1
39,5573,21978,1
39,5573,5560,1
39,5573,9939,1
39,5573,5369,1
39,5573,7773,1
39,5573,15747,1
39,5573,5398,1
39,5573,9345,1
39,5573,5943,1
39,5573,6357,1
39,5573,7795,1
39,5573,45907,1
39,5573,5407,1
39,5573,7646,1
39,5573,21841,1
39,5573,6246,1
39,5573,6706,1
39,5573,11385,1
39,5573,5547,1
39,5573,18767,1
39,5573,7776,1
39,5573,9742,1
39,5573,15483,1
39,5573,17003,1
39,5573,28197,1
39,5573,21851,1
39,5573,5576,1
39,5573,5467,1
39,5573,7757,1
39,5573,11343,1
39,5573,5448,1
39,5573,10077,1
39,5573,12804,1
39,5573,6848,1
39,5573,6962,1
39,5573,11503,1
39,5573,6224,1
39,5573,5548,1
39,5573,7013,1
39,5573,6150,1
39,5573,7766,1
39,6783,40887,1
39,6783,5372,1
39,6783,5376,1
39,6783,15515,1
39,6783,5571,1
39,6783,12786,1
39,6783,15744,1
39,6783,31438,1
39,6783,6069,1
39,6783,5526,1
39,6783,5530,1
39,6783,5399,1
39,6783,6122,1
39,6783,6120,1
39,6783,5842,1
39,6783,5567,1
39,6783,5312,1
39,6783,18592,1
39,6783,12785,1
39,6783,21486,1
39,6783,5476,1
39,6783,22170,1
39,6783,17143,1
39,6783,8739,1
39,6783,21978,1
39,6783,5560,1
39,6783,9939,1
39,6783,5369,1
39,6783,7773,1
39,6783,15747,1
39,6783,5398,1
39,6783,9345,1
39,6783,5943,1
39,6783,6357,1
39,6783,7795,1
39,6783,45907,1
39,6783,5407,1
39,6783,7646,1
39,6783,21841,1
39,6783,6246,1
39,6783,6706,1
39,6783,11385,1
39,6783,5547,1
39,6783,18767,1
39,6783,7776,1
39,6783,9742,1
39,6783,15483,1
39,6783,17003,1
39,6783,28197,1
39,6783,21851,1
39,6783,5576,1
39,6783,5467,1
39,6783,7757,1
39,6783,11343,1
39,6783,5448,1
39,6783,10077,1
39,6783,12804,1
39,6783,6848,1
39,6783,6962,1
39,6783,11503,1
39,6783,6224,1
39,6783,5548,1
39,6783,7013,1
39,6783,6150,1
39,6783,7766,1
39,40887,5372,1
39,40887,5376,1
39,40887,15515,1
39,40887,5571,1
39,40887,12786,1
39,40887,15744,1
39,40887,31438,1
39,40887,6069,1
39,40887,5526,1
39,40887,5530,1
39,40887,5399,1
39,40887,6122,1
39,40887,6120,1
39,40887,5842,1
39,40887,5567,1
39,40887,5312,1
39,40887,18592,1
39,40887,12785,1
39,40887,21486,1
39,40887,5476,1
39,40887,22170,1
39,40887,17143,1
39,40887,8739,1
39,40887,21978,1
39,40887,5560,1
39,40887,9939,1
39,40887,5369,1
39,40887,7773,1
39,40887,15747,1
39,40887,5398,1
39,40887,9345,1
39,40887,5943,1
39,40887,6357,1
39,40887,7795,1
39,40887,45907,1
39,40887,5407,1
39,40887,7646,1
39,40887,21841,1
39,40887,6246,1
39,40887,6706,1
39,40887,11385,1
39,40887,5547,1
39,40887,18767,1
39,40887,7776,1
39,40887,9742,1
39,40887,15483,1
39,40887,17003,1
39,40887,28197,1
39,40887,21851,1
39,40887,5576,1
39,40887,5467,1
39,40887,7757,1
39,40887,11343,1
39,40887,5448,1
39,40887,10077,1
