program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
7806,11378,Jonathan,Brownlee,GBR,,00:17:37,00:01:00,00:59:47,00:00:21,00:30:00,1,01:48:47
7806,5320,Sven,Riederer,SUI,,00:17:55,00:00:58,00:59:31,00:00:24,00:30:03,2,01:48:52
7806,16392,Richard,Murray,RSA,,00:18:24,00:00:30,00:59:32,00:00:24,00:30:16,3,01:49:01
7806,11402,Mario,Mola,ESP,,00:18:22,00:00:56,00:59:16,00:00:20,00:30:14,4,01:49:09
7806,5325,Hunter,Kemper,USA,,00:17:50,00:01:00,00:59:39,00:00:23,00:30:27,5,01:49:18
7806,11818,Ryan,Sissons,NZL,,00:18:23,00:00:58,00:59:09,00:00:23,00:30:29,6,01:49:22
7806,5305,Tim,Don,GBR,,00:18:22,00:01:02,00:59:03,00:00:21,00:30:39,7,01:49:25
7806,5297,Bevan,Docherty,NZL,,00:17:53,00:00:57,00:59:37,00:00:23,00:30:41,8,01:49:29
7806,5864,Manuel,Huerta,PUR,,00:18:17,00:01:00,00:59:09,00:00:21,00:30:44,9,01:49:31
7806,5296,Kris,Gemmell,NZL,,00:17:42,00:01:00,00:59:42,00:00:20,00:30:57,10,01:49:40
7806,5302,Simon,Whitfield,CAN,,00:17:47,00:00:57,00:59:46,00:00:24,00:30:52,11,01:49:44
7806,6202,Kyle,Jones,CAN,,00:18:02,00:00:57,00:59:29,00:00:20,00:30:57,12,01:49:46
7806,5591,Courtney,Atkinson,AUS,,00:17:40,00:01:00,00:59:47,00:00:21,00:31:01,13,01:49:48
7806,5851,Tony,Moulai,FRA,,00:17:51,00:00:58,00:59:39,00:00:20,00:31:00,14,01:49:49
7806,12721,Gregory,Billington,USA,,00:18:21,00:01:00,00:59:09,00:00:20,00:30:59,15,01:49:50
7806,10166,Simon,De Cuyper,BEL,,00:18:21,00:00:58,00:59:11,00:00:20,00:31:04,16,01:49:55
7806,5620,Leonardo,Chacon,CRC,,00:17:55,00:01:00,00:59:30,00:00:24,00:31:12,17,01:50:00
7806,7503,Crisanto,Grajales,MEX,,00:17:53,00:00:58,00:59:34,00:00:21,00:31:20,18,01:50:05
7806,5633,Vladimir,Turbayevskiy,RUS,,00:17:42,00:01:00,00:59:49,00:00:21,00:31:14,19,01:50:06
7806,6560,William,Clarke,GBR,,00:17:57,00:01:00,00:59:33,00:00:26,00:31:12,20,01:50:07
7806,5683,Clark,Ellice,NZL,,00:17:57,00:01:00,00:59:37,00:00:24,00:31:10,21,01:50:08
7806,7786,Jose Miguel,Perez,ESP,,00:17:57,00:01:00,00:59:34,00:00:23,00:31:15,22,01:50:09
7806,12431,David,Mcnamee,GBR,,00:18:03,00:01:00,00:59:30,00:00:24,00:31:15,23,01:50:10
7806,6442,Jarrod,Shoemaker,USA,,00:17:55,00:01:00,00:59:39,00:00:26,00:31:12,24,01:50:10
7806,7702,Aurelien,Raphael,FRA,,00:17:38,00:00:57,00:59:53,00:00:20,00:31:29,25,01:50:16
7806,5711,Brad,Kahlefeldt,AUS,,00:17:56,00:00:58,00:59:32,00:00:20,00:31:32,26,01:50:19
7806,18332,Carlos Javier,Quinchara Forero,COL,,00:18:03,00:00:58,00:59:33,00:00:21,00:31:25,27,01:50:20
7806,5306,Ivan,Raña Fuentes,ESP,,00:17:42,00:00:57,00:59:43,00:00:20,00:31:41,28,01:50:22
7806,5348,Brent,Mcmahon,CAN,,00:17:55,00:00:56,00:59:33,00:00:21,00:31:38,29,01:50:23
7806,5814,Chris,Mccormack,AUS,,00:18:25,00:00:57,00:59:03,00:00:26,00:31:35,30,01:50:25
7806,11060,Alessandro,Fabian,ITA,,00:17:49,00:00:54,00:59:43,00:00:28,00:31:33,31,01:50:25
7806,10871,Ethan,Brown,USA,,00:17:56,00:01:04,00:59:34,00:00:21,00:31:30,32,01:50:27
7806,10858,Gregor,Buchholz,GER,,00:18:23,00:01:00,00:59:11,00:00:28,00:31:29,33,01:50:30
7806,10434,Matt,Chrabot,USA,,00:17:40,00:00:56,00:59:52,00:00:21,00:31:42,34,01:50:33
7806,5823,Bruno,Pais,POR,,00:18:23,00:00:57,00:59:12,00:00:28,00:31:36,35,01:50:36
7806,5651,Ivan,Vasiliev,RUS,,00:17:37,00:00:58,00:59:54,00:00:24,00:31:48,36,01:50:40
7806,32470,Adam,Bowden,GBR,,00:18:14,00:01:00,00:59:16,00:00:24,00:31:56,37,01:50:49
7806,6707,Jan,Celustka,CZE,,00:17:59,00:01:04,00:59:27,00:00:24,00:32:10,38,01:51:03
7806,7145,Bruno,Matheus,BRA,,00:17:59,00:00:56,00:59:37,00:00:23,00:32:10,39,01:51:05
7806,5654,Ryosuke,Yamamoto,JPN,,00:18:15,00:01:03,00:59:09,00:00:24,00:32:19,40,01:51:10
7806,5756,Valentin,Mechsheryakov,KAZ,,00:17:48,00:00:58,00:59:46,00:00:26,00:32:24,41,01:51:22
7806,29442,Fernando,Alarza,ESP,,00:18:00,00:00:57,01:00:28,00:00:28,00:31:35,42,01:51:28
7806,5327,Hirokatsu,Tayama,JPN,,00:17:43,00:00:56,00:59:52,00:00:26,00:32:37,43,01:51:32
7806,10141,Aaron,Royle,AUS,,00:17:38,00:00:57,00:59:53,00:00:20,00:32:50,44,01:51:36
7806,5624,Peter,Croes,BEL,,00:18:24,00:01:00,00:59:05,00:00:21,00:32:54,45,01:51:44
