program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
7809,11378,Jonathan,Brownlee,GBR,,00:17:49,00:01:04,01:01:39,00:00:20,00:30:57,1,01:51:49
7809,7743,Alexander,Bryukhankov,RUS,,00:17:55,00:01:00,01:01:38,00:00:23,00:31:35,2,01:52:28
7809,7747,Dmitry,Polyanskiy,RUS,,00:17:51,00:01:00,01:01:43,00:00:20,00:32:01,3,01:52:54
7809,5651,Ivan,Vasiliev,RUS,,00:17:57,00:01:04,01:01:31,00:00:20,00:32:25,4,01:53:17
7809,11060,Alessandro,Fabian,ITA,,00:17:56,00:01:00,01:01:36,00:01:09,00:31:43,5,01:53:24
7809,5332,Maik,Petzold,GER,,00:17:48,00:01:03,01:01:43,00:00:20,00:32:39,6,01:53:33
7809,5327,Hirokatsu,Tayama,JPN,,00:17:52,00:01:02,01:01:40,00:00:23,00:32:39,7,01:53:35
7809,7702,Aurelien,Raphael,FRA,,00:17:46,00:01:04,01:01:44,00:00:21,00:32:59,8,01:53:53
7809,11402,Mario,Mola,ESP,,00:19:23,00:00:58,01:02:46,00:00:20,00:30:55,9,01:54:23
7809,18332,Carlos Javier,Quinchara Forero,COL,,00:18:31,00:01:08,01:03:27,00:00:23,00:31:06,10,01:54:34
7809,5662,Laurent,Vidal,FRA,,00:18:34,00:01:03,01:03:23,00:00:20,00:31:17,11,01:54:35
7809,7778,Jonathan,Zipf,GER,,00:18:40,00:01:03,01:03:20,00:00:21,00:31:22,12,01:54:44
7809,5320,Sven,Riederer,SUI,,00:18:24,00:00:58,01:03:39,00:00:23,00:31:25,13,01:54:49
7809,5824,Christian,Prochnow,GER,,00:18:00,00:01:03,01:04:00,00:00:21,00:31:27,14,01:54:50
7809,11095,Franz,Loeschke,GER,,00:18:27,00:01:02,01:03:34,00:00:20,00:31:29,15,01:54:50
7809,15371,Gonzalo Raul,Tellechea,ARG,,00:19:28,00:01:02,01:02:32,00:00:20,00:31:51,16,01:55:11
7809,12431,David,Mcnamee,GBR,,00:18:34,00:01:04,01:03:21,00:00:20,00:31:53,17,01:55:15
7809,6442,Jarrod,Shoemaker,USA,,00:18:04,00:01:04,01:03:56,00:00:26,00:31:51,18,01:55:20
7809,29395,Davide,Uccellari,ITA,,00:19:01,00:01:10,01:02:57,00:00:26,00:31:49,19,01:55:20
7809,5310,Reto,Hug,SUI,,00:19:13,00:01:00,01:02:50,00:00:21,00:31:59,20,01:55:23
7809,29442,Fernando,Alarza,ESP,,00:18:00,00:01:02,01:04:02,00:00:21,00:31:58,21,01:55:25
7809,11092,Richard,Varga,SVK,,00:17:45,00:01:06,01:01:43,00:00:20,00:34:36,22,01:55:27
7809,17584,Aaron,Harris,GBR,,00:18:31,00:01:04,01:03:09,00:00:21,00:32:24,23,01:55:29
7809,5348,Brent,Mcmahon,CAN,,00:18:37,00:00:58,01:03:25,00:00:21,00:32:19,24,01:55:39
7809,5345,Tyler,Butterfield,BER,,00:19:28,00:01:04,01:02:30,00:00:20,00:32:20,25,01:55:40
7809,7786,Jose Miguel,Perez,ESP,,00:18:22,00:01:04,01:03:38,00:00:23,00:32:19,26,01:55:44
7809,5657,Ruedi,Wild,SUI,,00:19:29,00:01:04,01:02:32,00:00:21,00:32:24,27,01:55:49
7809,10536,Joao,Pereira,POR,,00:18:51,00:00:57,01:03:12,00:00:20,00:32:45,28,01:56:05
7809,5654,Ryosuke,Yamamoto,JPN,,00:18:52,00:01:07,01:03:01,00:00:27,00:32:46,29,01:56:12
7809,6236,Premysl,Svarc,CZE,,00:18:21,00:01:07,01:03:37,00:00:21,00:32:56,30,01:56:20
7809,15944,Brendan,Sexton,AUS,,00:19:26,00:01:03,01:02:35,00:00:20,00:33:02,31,01:56:25
7809,5756,Valentin,Mechsheryakov,KAZ,,00:18:03,00:01:02,01:03:57,00:00:26,00:33:00,32,01:56:28
7809,10141,Aaron,Royle,AUS,,00:17:53,00:01:09,01:03:58,00:00:20,00:33:09,33,01:56:30
7809,7145,Bruno,Matheus,BRA,,00:18:36,00:01:02,01:03:26,00:00:21,00:33:07,34,01:56:31
7809,6707,Jan,Celustka,CZE,,00:18:28,00:01:03,01:03:32,00:00:23,00:33:09,35,01:56:34
7809,10100,Drew,Box,AUS,,00:18:33,00:01:04,01:03:28,00:00:20,00:33:12,36,01:56:37
7809,5851,Tony,Moulai,FRA,,00:18:19,00:01:04,01:03:37,00:00:21,00:33:30,37,01:56:50
7809,28500,Ryan,Bailie,AUS,,00:19:23,00:01:06,01:02:35,00:00:20,00:33:47,38,01:57:12
7809,16884,Faquan,Bai,CHN,,00:18:53,00:01:04,01:03:12,00:00:25,00:33:47,39,01:57:19
7809,5336,Dmitriy,Gaag,KAZ,,00:18:55,00:01:08,01:03:01,00:00:21,00:33:59,40,01:57:25
7809,10858,Gregor,Buchholz,GER,,00:19:26,00:01:04,01:03:01,00:00:21,00:33:47,41,01:57:38
7809,39525,Tommy,Zaferes,USA,,00:17:49,00:01:03,01:04:15,00:00:18,00:34:20,42,01:57:43
7809,5624,Peter,Croes,BEL,,00:18:38,00:01:02,01:03:24,00:00:21,00:34:23,43,01:57:47
7809,5306,Ivan,Raña Fuentes,ESP,,00:18:02,00:01:00,01:03:57,00:00:18,00:34:39,44,01:57:56
7809,5879,Daniel,Hofer,ITA,,00:19:23,00:01:02,01:02:42,00:00:20,00:34:37,45,01:58:02
7809,15981,Mehdi,Essadiq,MAR,,00:18:05,00:01:04,01:03:56,00:00:20,00:34:44,46,01:58:09
7809,5359,Stuart,Hayes,GBR,,00:17:57,00:01:03,01:03:43,00:00:20,00:35:07,47,01:58:13
7809,5883,Csaba,Rendes,HUN,,00:19:26,00:01:00,01:02:36,00:00:20,00:35:06,48,01:58:29
7809,10767,Jason,Wilson,BAR,,00:18:38,00:01:02,01:03:26,00:00:21,00:35:09,49,01:58:34
7809,5958,Dan,Alterman,ISR,,00:18:36,00:01:04,01:03:25,00:00:24,00:35:12,50,01:58:41
7809,5644,Felipe,Van De Wyngard,CHI,,00:18:55,00:01:07,01:03:27,00:00:24,00:35:24,51,01:59:15
7809,17069,Luciano,Taccone,ARG,,00:19:29,00:01:03,01:03:19,00:00:36,00:35:40,52,02:00:05
7809,6777,Min Ho,Heo,KOR,,00:18:48,00:01:02,01:03:15,00:00:20,00:37:32,53,02:00:57
7809,22570,Kohei,Shimomura,JPN,,00:19:23,00:01:08,01:02:36,00:00:23,00:38:51,54,02:02:18
7809,5718,David,Hauss,FRA,,00:17:53,00:01:06,01:04:05,00:00:21,00:00:00,DNF,00:00:00
7809,6560,William,Clarke,GBR,,00:18:00,00:01:02,01:03:42,00:00:21,00:00:00,DNF,00:00:00
7809,5305,Tim,Don,GBR,,00:18:34,00:01:04,01:03:24,00:00:20,00:00:00,DNF,00:00:00
7809,5942,Gavin,Noble,IRL,,00:18:57,00:01:04,01:03:05,00:00:20,00:00:00,DNF,00:00:00
7809,5349,Juraci,Moreira,BRA,,00:18:46,00:01:09,00:00:00,00:00:00,00:00:00,DNF,00:00:00
7809,23719,Fabio,Carvalho,BRA,,00:19:30,00:01:07,00:00:00,00:00:00,00:00:00,DNF,00:00:00
7809,6137,Erhard,Wolfaardt,RSA,,00:18:50,00:01:06,00:00:00,00:00:00,00:00:00,DNF,00:00:00
7809,14181,Igor,Polyanskiy,RUS,,00:17:57,00:01:04,00:00:00,00:00:00,00:00:00,DNF,00:00:00
7809,5776,Hiroki,Sugimoto,JPN,,00:18:00,00:01:04,00:00:00,00:00:00,00:00:00,DNF,00:00:00
7809,5823,Bruno,Pais,POR,,00:19:25,00:01:03,00:00:00,00:00:00,00:00:00,DNF,00:00:00
7809,5829,Harunobu,Sato,JPN,,00:18:38,00:01:03,00:00:00,00:00:00,00:00:00,DNF,00:00:00
