program_id,athlete_id,athlete_name,nationality,start_number,swim,t1,bike,after_b,t2,run,total_time,athlete_first,athlete_last,position
7899,15515,Anne Haug,GER,4,1217,70,4417,5704,30,2113,7848,Anne,Haug,1
7899,40887,Gwen Jorgensen,USA,14,1156,78,4540,5774,34,2050,7860,Gwen,Jorgensen,2
7899,6150,Barbara Riveros,CHI,6,1156,72,4477,5705,32,2122,7861,Barbara,Riveros,3
7899,6120,Lisa Norden,SWE,2,1149,78,4477,5704,34,2124,7863,Lisa,Norden,4
7899,11385,Jodie Stimpson,GBR,29,1158,74,4471,5703,36,2124,7863,Jodie,Stimpson,5
7899,22170,Rachel Klamer,NED,16,1141,78,4485,5704,32,2131,7869,Rachel,Klamer,6
7899,6783,Andrea Hewitt,NZL,3,1152,76,4477,5705,40,2122,7870,Andrea,Hewitt,7
7899,8739,Kate Mcilroy,NZL,9,1150,75,4480,5705,34,2131,7872,Kate,Mcilroy,8
7899,6246,Sarah True,USA,7,1146,77,4486,5709,36,2133,7880,Sarah,True,9
7899,12785,Juri Ide,JPN,19,1148,77,4480,5705,32,2143,7881,Juri,Ide,10
7899,5376,Ainhoa Murua Zubizarreta,ESP,8,1151,74,4479,5704,40,2158,7904,Ainhoa,Murua Zubizarreta,11
7899,94438,Anja Knapp,GER,33,1149,71,4482,5702,28,2192,7924,Anja,Knapp,12
7899,7776,Flora Duffy,BER,26,1151,78,4473,5702,33,2203,7940,Flora,Duffy,13
7899,5576,Ai Ueda,JPN,36,1216,75,4486,5777,32,2142,7953,Ai,Ueda,14
7899,21486,Pamella Oliveira,BRA,30,1148,79,4481,5708,35,2212,7956,Pamella,Oliveira,15
7899,5410,Jessica Harrison,FRA,10,1146,72,4488,5706,33,2221,7962,Jessica,Harrison,16
7899,5467,Vendula Frintova,CZE,42,1186,73,4518,5777,31,2155,7965,Vendula,Frintova,17
7899,5448,Felicity Abram,AUS,47,1154,77,4476,5707,35,2221,7965,Felicity,Abram,18
7899,18592,Yuka Sato,JPN,31,1156,78,4471,5705,36,2226,7969,Yuka,Sato,19
7899,17143,Svenja Bazlen,GER,32,1153,81,4540,5774,35,2162,7973,Svenja,Bazlen,20
7899,5476,Lauren Groves,CAN,39,1184,77,4517,5778,35,2162,7975,Lauren,Groves,21
7899,7781,Rebecca Robisch,GER,37,1197,75,4503,5775,34,2176,7986,Rebecca,Robisch,22
7899,39683,Alice Betto,ITA,34,1150,74,4481,5705,37,2251,7996,Alice,Betto,23
7899,17285,Yuko Takahashi,JPN,21,1174,74,4527,5775,30,2203,8010,Yuko,Takahashi,24
7899,7773,Annamaria Mazzetti,ITA,28,1185,72,4521,5778,37,2236,8053,Annamaria,Mazzetti,25
7899,15744,Ashleigh Gentle,AUS,11,1212,74,4589,5875,38,2145,8060,Ashleigh,Gentle,26
7899,6962,Danne Boterenbrood,NED,48,1161,75,4540,5776,37,2258,8073,Danne,Boterenbrood,27
7899,5567,Debbie Tanner,NZL,46,1157,73,4476,5706,34,2358,8100,Debbie,Tanner,28
7899,6069,Nicky Samuels,NZL,15,1152,75,4479,5706,35,2378,8121,Nicky,Samuels,29
7899,6122,Felicity Sheedy-Ryan,AUS,23,1198,77,4726,6001,34,2091,8129,Felicity,Sheedy-Ryan,30
7899,9742,Tomoko Sonoda,JPN,41,1155,80,4541,5776,40,2519,8336,Tomoko,Sonoda,31
7899,9345,Gillian Sanders,RSA,22,1198,77,4727,6002,34,2351,8388,Gillian,Sanders,32
7899,5943,Maria Czesnik,POL,25,1183,79,4920,6182,37,2372,8593,Maria,Czesnik,33
