program_id,athlete_id,athlete_name,nationality,start_number,swim,t1,bike,after_b,t2,run,total_time,athlete_first,athlete_last,position
7900,5695,Javier Gomez Noya,ESP,2,1064,64,4236,5364,31,1834,7229,Javier,Gomez Noya,1
7900,11378,Jonathan Brownlee,GBR,1,1020,71,4271,5362,33,1834,7231,Jonathan,Brownlee,2
7900,5320,Sven Riederer,SUI,7,1065,70,4228,5363,33,1880,7278,Sven,Riederer,3
7900,5747,Steffen Justus,GER,8,1063,66,4236,5365,35,1899,7300,Steffen,Justus,4
7900,10858,Gregor Buchholz,GER,32,1099,67,4220,5386,32,1886,7306,Gregor,Buchholz,5
7900,6202,Kyle Jones,CAN,24,1062,71,4233,5366,32,1908,7308,Kyle,Jones,6
7900,7747,Dmitry Polyanskiy,RUS,4,1059,68,4240,5367,38,1903,7310,Dmitry,Polyanskiy,7
7900,5306,Ivan Raña Fuentes,ESP,37,1061,72,4230,5363,32,1919,7316,Ivan,Raña Fuentes,8
7900,16392,Richard Murray,RSA,5,1098,62,4226,5386,35,1896,7320,Richard,Murray,9
7900,12431,David Mcnamee,GBR,21,1058,67,4262,5387,32,1906,7326,David,Mcnamee,10
7900,11818,Ryan Sissons,NZL,20,1092,67,4229,5388,35,1910,7335,Ryan,Sissons,11
7900,5824,Christian Prochnow,GER,27,1065,67,4255,5387,31,1922,7341,Christian,Prochnow,12
7900,11060,Alessandro Fabian,ITA,14,1060,69,4235,5364,35,1949,7350,Alessandro,Fabian,13
7900,5297,Bevan Docherty,NZL,15,1066,69,4228,5363,34,1970,7370,Bevan,Docherty,14
7900,5327,Hirokatsu Tayama,JPN,26,1056,72,4238,5366,36,1983,7388,Hirokatsu,Tayama,15
7900,11092,Richard Varga,SVK,25,1018,67,4281,5366,35,1992,7395,Richard,Varga,16
7900,5332,Maik Petzold,GER,18,1054,78,4256,5388,33,1984,7407,Maik,Petzold,17
7900,11508,Andrew Yorke,CAN,39,1089,68,4232,5389,32,1986,7408,Andrew,Yorke,18
7900,5683,Clark Ellice,NZL,29,1090,68,4232,5390,32,1986,7412,Clark,Ellice,19
7900,5296,Kris Gemmell,NZL,16,1056,68,4179,5303,32,2111,7448,Kris,Gemmell,20
7900,10539,Joao Silva,POR,10,1058,80,4343,5481,39,1949,7471,Joao,Silva,21
7900,5851,Tony Moulai,FRA,12,1093,69,4314,5476,33,1971,7482,Tony,Moulai,22
7900,5651,Ivan Vasiliev,RUS,11,1057,71,4350,5478,38,2001,7518,Ivan,Vasiliev,23
7900,11402,Mario Mola,ESP,17,1065,68,4345,5478,32,2006,7520,Mario,Mola,24
7900,39206,Benjamin Shaw,IRL,44,1060,70,4236,5366,31,2149,7548,Benjamin,Shaw,25
7900,6707,Jan Celustka,CZE,34,1065,71,4341,5477,33,2046,7558,Jan,Celustka,26
7900,7145,Bruno Matheus,BRA,41,1098,67,4296,5461,38,2078,7579,Bruno,Matheus,27
7900,17584,Aaron Harris,GBR,31,1067,69,4452,5588,35,1965,7591,Aaron,Harris,28
7900,39875,Mark Buckingham,GBR,43,1095,69,4425,5589,38,2015,7645,Mark,Buckingham,29
7900,15944,Brendan Sexton,AUS,35,1094,72,4423,5589,33,2024,7649,Brendan,Sexton,30
7900,5662,Laurent Vidal,FRA,6,1062,71,4346,5479,34,2164,7679,Laurent,Vidal,31
7900,22570,Kohei Shimomura,JPN,42,1167,74,4345,5586,39,2067,7694,Kohei,Shimomura,32
7900,32470,Adam Bowden,GBR,19,1060,75,4562,5697,37,2000,7737,Adam,Bowden,33
7900,5718,David Hauss,FRA,9,1093,67,4253,5413,43,2341,7800,David,Hauss,34
7900,5776,Hiroki Sugimoto,JPN,40,1100,68,4578,5746,38,2024,7809,Hiroki,Sugimoto,35
7900,5742,Yuichi Hosoda,JPN,30,1096,72,4580,5748,36,2043,7828,Yuichi,Hosoda,36
7900,16884,Faquan Bai,CHN,45,1081,77,4591,5749,38,2110,7899,Faquan,Bai,37
7900,6899,Ákos Vanek,HUN,33,1057,69,4620,5746,38,2140,7926,Ákos,Vanek,38
7900,7702,Aurelien Raphael,FRA,23,1058,68,4611,5737,46,2223,8008,Aurelien,Raphael,39
