program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
7812,7788,Alistair,Brownlee,GBR,32,1086,44,3675,19,00:29:51,1,6613
7812,11378,Jonathan,Brownlee,GBR,3,1084,46,3678,20,00:30:37,2,6662
7812,5695,Javier,Gomez Noya,ESP,31,1094,53,3659,22,00:30:51,3,6678
7812,7743,Alexander,Bryukhankov,RUS,1,1091,47,3671,22,00:30:59,4,6687
7812,7747,Dmitry,Polyanskiy,RUS,2,1084,44,3682,21,00:31:12,5,6701
7812,5747,Steffen,Justus,GER,11,1105,46,3654,25,00:31:34,6,6721
7812,5662,Laurent,Vidal,FRA,8,1104,46,3657,22,00:31:40,7,6726
7812,5851,Tony,Moulai,FRA,20,1102,48,3658,20,00:31:42,8,6727
7812,12431,David,Mcnamee,GBR,17,1105,48,3656,20,00:31:43,9,6730
7812,12814,Tony,Dodds,NZL,34,1094,47,3669,20,00:31:51,10,6739
7812,5718,David,Hauss,FRA,14,1100,49,3658,19,00:32:02,11,6746
7812,5651,Ivan,Vasiliev,RUS,6,1086,47,3675,23,00:32:06,12,6754
7812,5320,Sven,Riederer,SUI,5,1094,47,3664,20,00:32:17,13,6760
7812,5332,Maik,Petzold,GER,15,1090,52,3666,20,00:32:16,14,6762
7812,5683,Clark,Ellice,NZL,22,1095,48,3666,22,00:32:17,15,6766
7812,5692,Jan,Frodeno,GER,37,1093,48,3665,20,00:32:45,16,6789
7812,14181,Igor,Polyanskiy,RUS,29,1082,49,3680,23,00:32:46,17,6796
7812,5824,Christian,Prochnow,GER,19,1097,48,3663,20,00:32:58,18,6805
7812,17584,Aaron,Harris,GBR,26,1106,47,3656,23,00:33:00,19,6809
7812,5742,Yuichi,Hosoda,JPN,18,1098,47,3664,20,00:33:13,20,6820
7812,10141,Aaron,Royle,AUS,30,1088,46,3675,20,00:33:36,21,6842
7812,5297,Bevan,Docherty,NZL,10,1101,53,3654,21,00:33:48,22,6854
7812,5620,Leonardo,Chacon,CRC,25,1104,46,3660,21,00:33:51,23,6860
7812,11293,Denis,Vasiliev,RUS,49,1093,54,3661,28,00:33:53,24,6867
7812,21959,Bryce,Mcmaster,AUS,45,1096,46,3669,21,00:33:57,25,6867
7812,11143,Vincent,Luis,FRA,36,1088,46,3675,19,00:34:12,26,6878
7812,21622,Alois,Knabl,AUT,50,1088,45,3676,19,00:34:24,27,6891
7812,11315,Andrea,Salvisberg,SUI,51,1092,47,3670,20,00:34:23,28,6891
7812,5359,Stuart,Hayes,GBR,46,1090,46,3684,23,00:34:28,29,6909
7812,15981,Mehdi,Essadiq,MAR,41,1101,47,3662,22,00:35:36,30,6965
7812,31439,Philip,Wolfe,GBR,55,1093,51,3695,20,00:35:17,31,6973
7812,29115,Lukas,Verzbicas,USA,43,1136,45,3961,20,00:30:35,32,6996
7812,5931,Andreas,Giglmayr,AUT,28,1128,45,3875,20,00:32:54,33,7041
7812,5929,Reinaldo,Colucci,BRA,35,1120,48,3883,19,00:33:18,34,7065
7812,11402,Mario,Mola,ESP,7,1127,48,3874,21,00:33:42,35,7089
7812,39875,Mark,Buckingham,GBR,40,1183,46,3911,22,00:32:19,36,7098
7812,11169,Ritchie,Nicholls,GBR,48,1178,48,3916,23,00:32:23,37,7106
7812,17525,Rodrigo,Nogueras,ARG,44,1183,47,3911,22,00:32:36,38,7116
7812,30328,Martin,Bader,AUT,58,1090,45,3676,23,00:38:13,39,7124
7812,5878,Attila,Fecskovics,HUN,53,1138,48,3956,22,00:32:59,40,7140
7812,6976,Paul,Reitmayr,AUT,56,1108,48,3893,21,00:34:59,41,7168
7812,29903,Per,Wangel,SWE,54,1127,48,3874,20,00:35:12,42,7179
7812,11508,Andrew,Yorke,CAN,42,1110,46,3895,22,00:35:19,43,7190
7812,10966,Christopher,Felgate,ZIM,39,1096,48,3908,22,00:35:50,44,7222
7812,15838,Lukas,Hollaus,AUT,52,1136,50,3955,22,00:34:36,45,7236
7812,7745,Artem,Parienko,RUS,47,1145,47,3951,24,00:36:02,46,7327
