program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
7809,11378,Jonathan,Brownlee,GBR,,1069,64,3699,20,00:30:57,1,6709
7809,7743,Alexander,Bryukhankov,RUS,,1075,60,3698,23,00:31:35,2,6748
7809,7747,Dmitry,Polyanskiy,RUS,,1071,60,3703,20,00:32:01,3,6774
7809,5651,Ivan,Vasiliev,RUS,,1077,64,3691,20,00:32:25,4,6797
7809,11060,Alessandro,Fabian,ITA,,1076,60,3696,69,00:31:43,5,6804
7809,5332,Maik,Petzold,GER,,1068,63,3703,20,00:32:39,6,6813
7809,5327,Hirokatsu,Tayama,JPN,,1072,62,3700,23,00:32:39,7,6815
7809,7702,Aurelien,Raphael,FRA,,1066,64,3704,21,00:32:59,8,6833
7809,11402,Mario,Mola,ESP,,1163,58,3766,20,00:30:55,9,6863
7809,18332,Carlos Javier,Quinchara Forero,COL,,1111,68,3807,23,00:31:06,10,6874
7809,5662,Laurent,Vidal,FRA,,1114,63,3803,20,00:31:17,11,6875
7809,7778,Jonathan,Zipf,GER,,1120,63,3800,21,00:31:22,12,6884
7809,5320,Sven,Riederer,SUI,,1104,58,3819,23,00:31:25,13,6889
7809,5824,Christian,Prochnow,GER,,1080,63,3840,21,00:31:27,14,6890
7809,11095,Franz,Loeschke,GER,,1107,62,3814,20,00:31:29,15,6890
7809,15371,Gonzalo Raul,Tellechea,ARG,,1168,62,3752,20,00:31:51,16,6911
7809,12431,David,Mcnamee,GBR,,1114,64,3801,20,00:31:53,17,6915
7809,6442,Jarrod,Shoemaker,USA,,1084,64,3836,26,00:31:51,18,6920
7809,29395,Davide,Uccellari,ITA,,1141,70,3777,26,00:31:49,19,6920
7809,5310,Reto,Hug,SUI,,1153,60,3770,21,00:31:59,20,6923
7809,29442,Fernando,Alarza,ESP,,1080,62,3842,21,00:31:58,21,6925
7809,11092,Richard,Varga,SVK,,1065,66,3703,20,00:34:36,22,6927
7809,17584,Aaron,Harris,GBR,,1111,64,3789,21,00:32:24,23,6929
7809,5348,Brent,Mcmahon,CAN,,1117,58,3805,21,00:32:19,24,6939
7809,5345,Tyler,Butterfield,BER,,1168,64,3750,20,00:32:20,25,6940
7809,7786,Jose Miguel,Perez,ESP,,1102,64,3818,23,00:32:19,26,6944
7809,5657,Ruedi,Wild,SUI,,1169,64,3752,21,00:32:24,27,6949
7809,10536,Joao,Pereira,POR,,1131,57,3792,20,00:32:45,28,6965
7809,5654,Ryosuke,Yamamoto,JPN,,1132,67,3781,27,00:32:46,29,6972
7809,6236,Premysl,Svarc,CZE,,1101,67,3817,21,00:32:56,30,6980
7809,15944,Brendan,Sexton,AUS,,1166,63,3755,20,00:33:02,31,6985
7809,5756,Valentin,Mechsheryakov,KAZ,,1083,62,3837,26,00:33:00,32,6988
7809,10141,Aaron,Royle,AUS,,1073,69,3838,20,00:33:09,33,6990
7809,7145,Bruno,Matheus,BRA,,1116,62,3806,21,00:33:07,34,6991
7809,6707,Jan,Celustka,CZE,,1108,63,3812,23,00:33:09,35,6994
7809,10100,Drew,Box,AUS,,1113,64,3808,20,00:33:12,36,6997
7809,5851,Tony,Moulai,FRA,,1099,64,3817,21,00:33:30,37,7010
7809,28500,Ryan,Bailie,AUS,,1163,66,3755,20,00:33:47,38,7032
7809,16884,Faquan,Bai,CHN,,1133,64,3792,25,00:33:47,39,7039
7809,5336,Dmitriy,Gaag,KAZ,,1135,68,3781,21,00:33:59,40,7045
7809,10858,Gregor,Buchholz,GER,,1166,64,3781,21,00:33:47,41,7058
7809,39525,Tommy,Zaferes,USA,,1069,63,3855,18,00:34:20,42,7063
7809,5624,Peter,Croes,BEL,,1118,62,3804,21,00:34:23,43,7067
7809,5306,Ivan,Raña Fuentes,ESP,,1082,60,3837,18,00:34:39,44,7076
7809,5879,Daniel,Hofer,ITA,,1163,62,3762,20,00:34:37,45,7082
7809,15981,Mehdi,Essadiq,MAR,,1085,64,3836,20,00:34:44,46,7089
7809,5359,Stuart,Hayes,GBR,,1077,63,3823,20,00:35:07,47,7093
7809,5883,Csaba,Rendes,HUN,,1166,60,3756,20,00:35:06,48,7109
7809,10767,Jason,Wilson,BAR,,1118,62,3806,21,00:35:09,49,7114
7809,5958,Dan,Alterman,ISR,,1116,64,3805,24,00:35:12,50,7121
7809,5644,Felipe,Van De Wyngard,CHI,,1135,67,3807,24,00:35:24,51,7155
7809,17069,Luciano,Taccone,ARG,,1169,63,3799,36,00:35:40,52,7205
7809,6777,Min Ho,Heo,KOR,,1128,62,3795,20,00:37:32,53,7257
7809,22570,Kohei,Shimomura,JPN,,1163,68,3756,23,00:38:51,54,7338
