program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
274629,6120,Lisa,Norden,SWE,4,606,68,1970,29,00:16:03,1,3636
274629,11343,Maaike,Caelers,NED,22,636,68,1947,33,00:16:04,2,3645
274629,6150,Barbara,Riveros,CHI,9,619,68,1959,29,00:16:22,3,3655
274629,15515,Anne,Haug,GER,2,635,66,1948,27,00:16:25,4,3659
274629,5454,Erin,Densham,AUS,1,606,68,1974,29,00:16:29,5,3664
274629,31438,Non,Stanford,GBR,21,628,73,1950,33,00:16:33,6,3674
274629,5376,Ainhoa,Murua Zubizarreta,ESP,7,615,72,1960,34,00:16:38,7,3677
274629,17285,Yuko,Takahashi,JPN,33,624,73,1954,29,00:16:43,8,3680
274629,39683,Alice,Betto,ITA,36,622,73,1954,29,00:16:52,9,3688
274629,7781,Rebecca,Robisch,GER,52,618,72,1958,28,00:16:59,10,3693
274629,5539,Carole,Peon,FRA,19,613,68,1969,31,00:16:58,11,3697
274629,94438,Anja,Knapp,GER,32,609,66,1972,28,00:17:07,12,3699
274629,6522,Radka,Vodickova,CZE,37,623,70,1954,35,00:17:02,13,3702
274629,11084,Margit,Vanek,HUN,45,615,74,1977,29,00:17:03,14,3717
274629,6848,Melanie,Hauss,SUI,31,617,67,1971,31,00:17:20,15,3724
274629,6069,Nicky,Samuels,NZL,10,629,70,1949,32,00:17:27,16,3726
274629,11316,Celine,Schaerer,SUI,64,625,74,1948,28,00:17:33,17,3727
274629,7795,Vicky,Holland,GBR,8,627,65,1959,31,00:17:31,18,3732
274629,6962,Danne,Boterenbrood,NED,39,631,74,1949,31,00:17:32,19,3735
274629,6706,Kathrin,Muller,GER,34,619,70,1976,32,00:17:23,20,3738
274629,5448,Felicity,Abram,AUS,41,628,73,1954,32,00:17:38,21,3743
274629,9345,Gillian,Sanders,RSA,20,638,68,1950,34,00:17:41,22,3749
274629,5312,Anja,Dittmer,GER,12,622,75,1954,35,00:18:02,23,3767
274629,5526,Emma,Moffatt,AUS,3,605,74,2076,28,00:16:29,24,3771
274629,6122,Felicity,Sheedy-Ryan,AUS,14,643,75,2030,31,00:16:35,25,3773
274629,5476,Lauren,Groves,CAN,35,637,83,2029,35,00:16:34,26,3776
274629,18592,Yuka,Sato,JPN,24,622,76,1970,33,00:17:58,27,3776
274629,11141,Emmie,Charayron,FRA,30,635,65,2054,32,00:16:48,28,3792
274629,39687,Carolina,Routier,ESP,48,605,69,2024,32,00:17:46,29,3794
274629,5571,Kathy,Tremblay,CAN,27,634,76,2036,31,00:17:00,30,3796
274629,45907,Natalie,Van Coevorden,AUS,38,612,71,2016,30,00:17:50,31,3797
274629,5467,Vendula,Frintova,CZE,23,638,73,2037,30,00:17:05,32,3801
274629,15747,Emma,Jackson,AUS,11,625,75,2057,32,00:16:56,33,3802
274629,30295,Katrien,Verstuyft,BEL,29,636,76,2040,29,00:17:09,34,3808
274629,10077,Charlotte,McShane,AUS,50,629,73,2047,30,00:17:12,35,3809
274629,7773,Annamaria,Mazzetti,ITA,25,640,72,2037,31,00:17:13,36,3810
274629,39876,Lois,Rosindale,GBR,40,644,72,2040,30,00:17:16,37,3821
274629,7016,Inna,Ryzhykh,UKR,55,612,74,2064,30,00:17:28,38,3825
274629,29235,Joanna,Brown,CAN,53,633,75,2047,32,00:17:26,39,3830
274629,7757,Zsófia,Kovács,HUN,42,631,74,2052,30,00:17:32,40,3837
274629,25560,Manon,Letourneau,CAN,46,637,81,2037,30,00:17:40,41,3842
274629,10930,Sarah,Fladung,GER,44,630,69,2057,29,00:17:45,42,3848
274629,18767,Sarissa,De Vries,NED,47,616,71,1968,33,00:19:31,43,3857
274629,21171,Asa,Annerstedt,SWE,60,637,72,2041,28,00:18:08,44,3863
274629,50312,Line,Thams,DEN,61,624,75,2049,30,00:18:35,45,3891
274629,10761,Lydia,Waldmüller,AUT,43,636,75,2036,31,00:18:54,46,3911
274629,7817,Yuliya,Yelistratova,UKR,49,628,74,2143,29,00:18:02,47,3955
274629,12804,Carlyn,Fischer,RSA,51,641,66,2138,30,00:18:21,48,3974
274629,17670,Sara,Vilic,AUT,56,626,78,2167,33,00:18:37,49,4019
274629,11292,Sofie,Hooghe,BEL,59,630,76,2163,29,00:19:00,50,4037
274629,72291,Marta,Jimenez Jimenez,ESP,54,642,79,2237,42,00:18:38,51,4117
