program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
7599,5747,Steffen,Justus,GER,33,1084,80,3627,21,00:30:50,1,6664
7599,16392,Richard,Murray,RSA,37,1103,75,3615,21,00:30:53,2,6673
7599,5662,Laurent,Vidal,FRA,28,1077,81,3634,21,00:30:58,3,6675
7599,5718,David,Hauss,FRA,29,1071,78,3644,25,00:31:08,4,6690
7599,7743,Alexander,Bryukhankov,RUS,1,1070,76,3646,21,00:31:16,5,6691
7599,5651,Ivan,Vasiliev,RUS,16,1066,80,3576,26,00:32:24,6,6694
7599,5296,Kris,Gemmell,NZL,36,1078,80,3633,21,00:31:26,7,6702
7599,6560,William,Clarke,GBR,31,1083,79,3634,21,00:31:21,8,6703
7599,7747,Dmitry,Polyanskiy,RUS,2,1064,77,3653,21,00:31:29,9,6709
7599,6442,Jarrod,Shoemaker,USA,19,1093,81,3626,25,00:31:22,10,6711
7599,5305,Tim,Don,GBR,6,1099,86,3609,25,00:31:41,11,6722
7599,5297,Bevan,Docherty,NZL,39,1082,82,3628,23,00:31:43,12,6723
7599,6202,Kyle,Jones,CAN,32,1075,82,3638,24,00:31:41,13,6723
7599,7786,Jose Miguel,Perez,ESP,14,1078,82,3638,27,00:31:42,14,6730
7599,7778,Jonathan,Zipf,GER,47,1084,81,3634,26,00:31:43,15,6732
7599,5756,Valentin,Mechsheryakov,KAZ,60,1079,83,3637,24,00:31:47,16,6733
7599,29395,Davide,Uccellari,ITA,71,1106,86,3613,21,00:31:48,17,6737
7599,5302,Simon,Whitfield,CAN,3,1079,79,3634,21,00:32:04,18,6740
7599,7503,Crisanto,Grajales,MEX,35,1101,79,3615,28,00:31:54,19,6741
7599,5348,Brent,Mcmahon,CAN,7,1100,76,3617,21,00:32:04,20,6742
7599,10858,Gregor,Buchholz,GER,67,1079,81,3639,20,00:32:08,21,6751
7599,9917,Diogo,Sclebin,BRA,40,1100,79,3619,25,00:32:04,22,6751
7599,5742,Yuichi,Hosoda,JPN,8,1084,80,3628,21,00:32:14,23,6751
7599,10536,Joao,Pereira,POR,12,1093,74,3631,23,00:32:09,24,6754
7599,5310,Reto,Hug,SUI,66,1094,78,3625,23,00:32:17,25,6759
7599,5683,Clark,Ellice,NZL,50,1098,79,3622,23,00:32:19,26,6763
7599,6226,Sebastian,Rank,GER,43,1075,78,3641,21,00:32:27,27,6765
7599,5345,Tyler,Butterfield,BER,53,1116,83,3601,28,00:32:17,28,6769
7599,5824,Christian,Prochnow,GER,57,1070,80,3649,21,00:32:33,29,6774
7599,14181,Igor,Polyanskiy,RUS,51,1072,78,3641,24,00:32:42,30,6780
7599,5654,Ryosuke,Yamamoto,JPN,26,1088,80,3628,25,00:32:38,31,6784
7599,5823,Bruno,Pais,POR,55,1099,77,3623,21,00:32:42,32,6786
7599,5750,Marek,Jaskolka,POL,62,1080,77,3645,20,00:32:44,33,6788
7599,5814,Chris,Mccormack,AUS,25,1114,76,3601,21,00:32:56,34,6792
7599,5942,Gavin,Noble,IRL,59,1080,81,3641,21,00:32:59,35,6806
7599,6086,Martin,Van Barneveld,NZL,49,1097,77,3620,23,00:33:06,36,6808
7599,7744,Ivan,Tutukin,RUS,27,1098,79,3615,23,00:33:12,37,6811
7599,5332,Maik,Petzold,GER,34,1069,78,3646,24,00:33:13,38,6814
7599,6236,Premysl,Svarc,CZE,20,1079,83,3635,28,00:33:13,39,6822
7599,7453,Peter,Kerr,AUS,46,1102,82,3615,23,00:33:20,40,6827
7599,7145,Bruno,Matheus,BRA,23,1097,80,3622,21,00:33:26,41,6830
7599,5864,Manuel,Huerta,PUR,44,1090,80,3628,26,00:33:32,42,6838
7599,12814,Tony,Dodds,NZL,41,1078,86,3634,21,00:33:39,43,6842
7599,5620,Leonardo,Chacon,CRC,48,1077,82,3637,23,00:33:43,44,6843
7599,28500,Ryan,Bailie,AUS,45,1091,84,3624,28,00:33:44,45,6855
7599,28201,Ryan,Fisher,AUS,56,1087,83,3627,21,00:34:00,46,6862
7599,10141,Aaron,Royle,AUS,38,1076,79,3640,23,00:34:08,47,6869
7599,10434,Matt,Chrabot,USA,4,1076,80,3640,26,00:34:23,48,6888
7599,6087,James,Elvery,NZL,58,1074,81,3568,23,00:35:50,49,6899
7599,22570,Kohei,Shimomura,JPN,18,1109,81,3608,26,00:34:39,50,6906
7599,5881,Duarte Silva,Marques,POR,68,1074,79,3648,23,00:34:57,51,6925
7599,10575,Jan,Van Berkel,SUI,24,1109,82,3603,23,00:35:33,52,6953
7599,21959,Bryce,Mcmaster,AUS,69,1071,77,3655,21,00:35:31,53,6960
7599,15981,Mehdi,Essadiq,MAR,63,1080,83,3638,21,00:36:04,54,6989
7599,5633,Vladimir,Turbayevskiy,RUS,54,1068,93,3634,24,00:36:39,55,7021
7599,5359,Stuart,Hayes,GBR,61,1075,84,3642,27,00:36:37,56,7030
7599,6559,Harry,Wiltshire,GBR,65,1068,78,3658,20,00:39:27,57,7194
