time,player1,player2,result
52,7788,16392,1
52,7788,10539,1
52,7788,5747,1
52,7788,11402,1
52,7788,32470,1
52,7788,7747,1
52,7788,5695,1
52,7788,5320,1
52,7788,12431,1
52,7788,29442,1
52,7788,5683,1
52,7788,5651,1
52,7788,10434,1
52,7788,5662,1
52,7788,11146,1
52,7788,5306,1
52,7788,7702,1
52,7788,7145,1
52,7788,143997,1
52,7788,11818,1
52,7788,10166,1
52,7788,5620,1
52,7788,39875,1
52,7788,5325,1
52,7788,30282,1
52,7788,14181,1
52,7788,7503,1
52,7788,23719,1
52,7788,5929,1
52,7788,21959,1
52,7788,39525,1
52,7788,39206,1
52,7788,11293,1
52,7788,10141,1
52,7788,14190,1
52,7788,6226,1
52,7788,11508,1
52,7788,22327,1
52,7788,10858,1
52,7788,18332,1
52,7788,30433,1
52,7788,6236,1
52,7788,6484,1
52,7788,39742,1
52,7788,7822,1
52,7788,6202,1
52,7788,7743,1
52,7788,6442,1
52,7788,5851,1
52,7788,11092,1
52,7788,5692,1
52,7788,11095,1
52,7788,5823,1
52,7788,13363,1
52,16392,10539,1
52,16392,5747,1
52,16392,11402,1
52,16392,32470,1
52,16392,7747,1
52,16392,5695,1
52,16392,5320,1
52,16392,12431,1
52,16392,29442,1
52,16392,5683,1
52,16392,5651,1
52,16392,10434,1
52,16392,5662,1
52,16392,11146,1
52,16392,5306,1
52,16392,7702,1
52,16392,7145,1
52,16392,143997,1
52,16392,11818,1
52,16392,10166,1
52,16392,5620,1
52,16392,39875,1
52,16392,5325,1
52,16392,30282,1
52,16392,14181,1
52,16392,7503,1
52,16392,23719,1
52,16392,5929,1
52,16392,21959,1
52,16392,39525,1
52,16392,39206,1
52,16392,11293,1
52,16392,10141,1
52,16392,14190,1
52,16392,6226,1
52,16392,11508,1
52,16392,22327,1
52,16392,10858,1
52,16392,18332,1
52,16392,30433,1
52,16392,6236,1
52,16392,6484,1
52,16392,39742,1
52,16392,7822,1
52,16392,6202,1
52,16392,7743,1
52,16392,6442,1
52,16392,5851,1
52,16392,11092,1
52,16392,5692,1
52,16392,11095,1
52,16392,5823,1
52,16392,13363,1
52,10539,5747,1
52,10539,11402,1
52,10539,32470,1
52,10539,7747,1
52,10539,5695,1
52,10539,5320,1
52,10539,12431,1
52,10539,29442,1
52,10539,5683,1
52,10539,5651,1
52,10539,10434,1
52,10539,5662,1
52,10539,11146,1
52,10539,5306,1
52,10539,7702,1
52,10539,7145,1
52,10539,143997,1
52,10539,11818,1
52,10539,10166,1
52,10539,5620,1
52,10539,39875,1
52,10539,5325,1
52,10539,30282,1
52,10539,14181,1
52,10539,7503,1
52,10539,23719,1
52,10539,5929,1
52,10539,21959,1
52,10539,39525,1
52,10539,39206,1
52,10539,11293,1
52,10539,10141,1
52,10539,14190,1
52,10539,6226,1
52,10539,11508,1
52,10539,22327,1
52,10539,10858,1
52,10539,18332,1
52,10539,30433,1
52,10539,6236,1
52,10539,6484,1
52,10539,39742,1
52,10539,7822,1
52,10539,6202,1
52,10539,7743,1
52,10539,6442,1
52,10539,5851,1
52,10539,11092,1
52,10539,5692,1
52,10539,11095,1
52,10539,5823,1
52,10539,13363,1
52,5747,11402,1
52,5747,32470,1
52,5747,7747,1
52,5747,5695,1
52,5747,5320,1
52,5747,12431,1
52,5747,29442,1
52,5747,5683,1
52,5747,5651,1
52,5747,10434,1
52,5747,5662,1
52,5747,11146,1
52,5747,5306,1
52,5747,7702,1
52,5747,7145,1
52,5747,143997,1
52,5747,11818,1
52,5747,10166,1
52,5747,5620,1
52,5747,39875,1
52,5747,5325,1
52,5747,30282,1
52,5747,14181,1
52,5747,7503,1
52,5747,23719,1
52,5747,5929,1
52,5747,21959,1
52,5747,39525,1
52,5747,39206,1
52,5747,11293,1
52,5747,10141,1
52,5747,14190,1
52,5747,6226,1
52,5747,11508,1
52,5747,22327,1
52,5747,10858,1
52,5747,18332,1
52,5747,30433,1
52,5747,6236,1
52,5747,6484,1
52,5747,39742,1
52,5747,7822,1
52,5747,6202,1
52,5747,7743,1
52,5747,6442,1
52,5747,5851,1
52,5747,11092,1
52,5747,5692,1
52,5747,11095,1
52,5747,5823,1
52,5747,13363,1
52,11402,32470,1
52,11402,7747,1
52,11402,5695,1
52,11402,5320,1
52,11402,12431,1
52,11402,29442,1
52,11402,5683,1
52,11402,5651,1
52,11402,10434,1
52,11402,5662,1
52,11402,11146,1
52,11402,5306,1
52,11402,7702,1
52,11402,7145,1
52,11402,143997,1
52,11402,11818,1
52,11402,10166,1
52,11402,5620,1
52,11402,39875,1
52,11402,5325,1
52,11402,30282,1
52,11402,14181,1
52,11402,7503,1
52,11402,23719,1
52,11402,5929,1
52,11402,21959,1
