program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
259951,5695,Javier,Gomez Noya,ESP,3,00:17:23,00:00:41,01:00:11,00:00:29,00:29:34,1,01:48:16
259951,11378,Jonathan,Brownlee,GBR,2,00:17:10,00:00:46,01:00:20,00:00:28,00:29:36,2,01:48:17
259951,11402,Mario,Mola,ESP,4,00:18:05,00:00:48,01:00:03,00:00:29,00:29:46,3,01:49:10
259951,7747,Dmitry,Polyanskiy,RUS,18,00:17:17,00:00:42,01:00:17,00:00:28,00:30:38,4,01:49:21
259951,11143,Vincent,Luis,FRA,16,00:17:24,00:00:43,01:00:09,00:00:30,00:30:41,5,01:49:24
259951,5662,Laurent,Vidal,FRA,8,00:18:03,00:00:50,01:00:02,00:00:29,00:30:05,6,01:49:28
259951,10141,Aaron,Royle,AUS,19,00:17:07,00:00:41,01:00:27,00:00:28,00:30:48,7,01:49:30
259951,7503,Crisanto,Grajales,MEX,46,00:18:30,00:00:42,00:59:43,00:00:28,00:30:11,8,01:49:32
259951,5929,Reinaldo,Colucci,BRA,47,00:18:31,00:00:44,00:59:43,00:00:29,00:30:09,9,01:49:34
259951,10536,Joao,Pereira,POR,24,00:17:59,00:00:45,01:00:13,00:00:29,00:30:10,10,01:49:34
259951,11095,Franz,Loeschke,GER,27,00:18:18,00:00:42,00:59:55,00:00:28,00:30:13,11,01:49:34
259951,5718,David,Hauss,FRA,60,00:17:39,00:00:42,01:00:36,00:00:28,00:30:14,12,01:49:37
259951,5320,Sven,Riederer,SUI,7,00:18:09,00:00:52,00:59:54,00:00:31,00:30:20,13,01:49:43
259951,16392,Richard,Murray,RSA,5,00:18:11,00:00:42,01:00:02,00:00:33,00:30:22,14,01:49:48
259951,10166,Simon,De Cuyper,BEL,44,00:18:15,00:00:43,00:59:58,00:00:33,00:30:30,15,01:49:57
259951,10539,Joao,Silva,POR,6,00:18:10,00:00:49,00:59:58,00:00:30,00:30:37,16,01:50:03
259951,11060,Alessandro,Fabian,ITA,20,00:17:15,00:00:48,01:00:13,00:00:28,00:31:21,17,01:50:03
259951,6084,Dan,Wilson,AUS,37,00:17:32,00:00:43,01:00:39,00:00:27,00:30:45,18,01:50:05
259951,6202,Kyle,Jones,CAN,41,00:17:57,00:00:43,01:00:19,00:00:27,00:30:42,19,01:50:06
259951,7778,Jonathan,Zipf,GER,28,00:18:05,00:00:49,01:00:04,00:00:29,00:30:44,20,01:50:08
259951,10017,Cameron,Good,AUS,21,00:18:02,00:00:49,01:00:04,00:00:31,00:30:49,21,01:50:14
259951,11818,Ryan,Sissons,NZL,11,00:18:24,00:00:42,00:59:50,00:00:30,00:30:55,22,01:50:19
259951,12157,Matthew,Sharp,GBR,30,00:17:51,00:00:43,01:00:24,00:00:29,00:31:02,23,01:50:26
259951,7742,Miguel,Arraiolos,POR,66,00:18:25,00:00:37,00:59:57,00:00:30,00:31:03,24,01:50:30
259951,12431,David,Mcnamee,GBR,14,00:18:06,00:00:44,01:00:07,00:00:30,00:31:09,25,01:50:33
259951,17584,Aaron,Harris,GBR,53,00:17:56,00:00:42,01:00:17,00:00:32,00:31:10,26,01:50:34
259951,5551,Bryan,Keane,IRL,39,00:18:28,00:00:42,00:59:49,00:00:30,00:31:09,27,01:50:36
259951,28500,Ryan,Bailie,AUS,17,00:17:22,00:00:41,01:00:13,00:00:29,00:31:56,28,01:50:40
259951,5747,Steffen,Justus,GER,23,00:17:30,00:00:40,01:00:46,00:00:27,00:31:23,29,01:50:43
259951,7796,Francesc,Godoy Contreras,ESP,65,00:18:01,00:00:44,01:00:11,00:00:26,00:31:25,30,01:50:45
259951,11092,Richard,Varga,SVK,15,00:17:04,00:00:44,01:00:26,00:00:27,00:32:06,31,01:50:46
259951,5742,Yuichi,Hosoda,JPN,57,00:18:28,00:00:46,00:59:45,00:00:29,00:31:30,32,01:50:55
259951,7702,Aurelien,Raphael,FRA,12,00:17:19,00:00:44,01:00:14,00:00:32,00:32:11,33,01:50:58
259951,14181,Igor,Polyanskiy,RUS,32,00:17:27,00:00:48,01:00:44,00:00:30,00:31:31,34,01:50:58
259951,6236,Premysl,Svarc,CZE,50,00:18:00,00:00:44,01:00:16,00:00:28,00:31:34,35,01:51:02
259951,39175,Joe,Maloy,USA,43,00:17:25,00:00:54,01:00:39,00:00:29,00:31:43,36,01:51:08
259951,12814,Tony,Dodds,NZL,29,00:17:16,00:00:41,01:00:44,00:00:30,00:32:08,37,01:51:16
259951,14190,Andrey,Bryukhankov,RUS,26,00:17:42,00:00:46,01:00:26,00:00:30,00:31:58,38,01:51:19
259951,9917,Diogo,Sclebin,BRA,40,00:18:27,00:00:48,00:59:44,00:00:33,00:31:52,39,01:51:22
259951,5327,Hirokatsu,Tayama,JPN,51,00:17:12,00:00:47,01:00:17,00:00:27,00:32:42,40,01:51:24
259951,10767,Jason,Wilson,BAR,31,00:17:32,00:00:43,01:00:44,00:00:25,00:32:13,41,01:51:36
259951,11508,Andrew,Yorke,CAN,35,00:18:24,00:00:44,00:59:49,00:00:30,00:32:21,42,01:51:46
259951,5651,Ivan,Vasiliev,RUS,9,00:18:09,00:00:45,01:00:03,00:00:31,00:32:40,43,01:52:05
259951,9919,Danilo,Pimentel,BRA,63,00:18:13,00:00:45,01:00:01,00:00:33,00:32:38,44,01:52:08
259951,30433,Henri,Schoeman,RSA,10,00:17:13,00:00:44,01:00:19,00:00:29,00:33:31,45,01:52:14
259951,11293,Denis,Vasiliev,RUS,33,00:18:04,00:00:48,01:00:08,00:00:32,00:33:23,46,01:52:53
259951,12721,Gregory,Billington,USA,48,00:18:23,00:00:44,00:59:51,00:00:29,00:33:35,47,01:52:59
259951,41276,Marco,Van Der Stel,NED,36,00:17:36,00:00:41,01:00:38,00:00:29,00:34:03,48,01:53:27
259951,18173,Ju Seok,Kim,KOR,69,00:18:11,00:00:41,01:00:09,00:00:27,00:34:15,49,01:53:40
259951,6186,Irving,Perez,MEX,59,00:18:15,00:00:43,00:59:59,00:00:29,00:34:53,50,01:54:18
259951,10842,Lawrence,Fanous,JOR,70,00:18:27,00:00:44,00:59:49,00:00:30,00:34:57,51,01:54:23
259951,7788,Alistair,Brownlee,GBR,1,00:17:11,00:00:48,01:00:15,00:00:29,00:36:21,52,01:55:03
259951,10858,Gregor,Buchholz,GER,25,00:18:46,00:00:42,01:04:16,00:00:30,00:31:03,53,01:55:15
259951,32470,Adam,Bowden,GBR,22,00:18:31,00:00:47,01:04:27,00:00:30,00:31:03,54,01:55:16
259951,7822,Andrew,Mccartney,CAN,34,00:17:17,00:00:46,01:02:48,00:00:33,00:34:16,55,01:55:37
