program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
258904,15515,Anne,Haug,GER,1,00:20:04,00:00:49,01:13:11,00:00:27,00:33:47,1,02:08:20
258904,11343,Maaike,Caelers,NED,7,00:19:31,00:00:53,01:13:40,00:00:30,00:33:46,2,02:08:23
258904,5448,Felicity,Abram,AUS,24,00:19:36,00:00:51,01:13:39,00:00:31,00:33:52,3,02:08:33
258904,8739,Kate,Mcilroy,NZL,5,00:19:31,00:00:54,01:13:38,00:00:28,00:34:09,4,02:08:43
258904,6069,Nicky,Samuels,NZL,11,00:19:20,00:00:55,01:13:47,00:00:29,00:34:50,5,02:09:25
258904,18592,Yuka,Sato,JPN,18,00:19:17,00:00:59,01:13:49,00:00:28,00:35:07,6,02:09:43
258904,5410,Jessica,Harrison,FRA,6,00:19:26,00:00:52,01:13:47,00:00:28,00:35:11,7,02:09:46
258904,12785,Juri,Ide,JPN,9,00:19:29,00:00:54,01:13:43,00:00:29,00:35:19,8,02:09:57
258904,10077,Charlotte,McShane,AUS,26,00:19:23,00:00:52,01:13:50,00:00:31,00:35:34,9,02:10:13
258904,45907,Natalie,Van Coevorden,AUS,25,00:19:22,00:00:55,01:13:48,00:00:31,00:35:36,10,02:10:15
258904,39683,Alice,Betto,ITA,21,00:19:27,00:00:54,01:13:43,00:00:31,00:35:45,11,02:10:23
258904,21978,Aileen,Reid,IRL,8,00:19:20,00:00:57,01:13:47,00:00:31,00:36:17,12,02:10:55
258904,6150,Barbara,Riveros,CHI,3,00:20:07,00:00:53,01:14:08,00:00:33,00:35:13,13,02:10:56
258904,17285,Yuko,Takahashi,JPN,12,00:19:26,00:00:53,01:14:49,00:00:27,00:35:41,14,02:11:18
258904,6783,Andrea,Hewitt,NZL,2,00:19:37,00:00:52,01:14:39,00:00:29,00:36:00,15,02:11:40
258904,5547,Kate,Roberts,RSA,19,00:19:28,00:00:52,01:14:49,00:00:34,00:35:58,16,02:11:43
258904,7773,Annamaria,Mazzetti,ITA,20,00:19:31,00:00:51,01:14:48,00:00:29,00:36:25,17,02:12:06
258904,5371,Samantha,Warriner,NZL,32,00:20:14,00:00:56,01:14:00,00:00:32,00:36:46,18,02:12:31
258904,94438,Anja,Knapp,GER,14,00:19:21,00:00:54,01:13:48,00:00:26,00:38:08,19,02:12:39
258904,5312,Anja,Dittmer,GER,16,00:19:56,00:00:56,01:14:17,00:00:31,00:37:07,20,02:12:49
258904,5467,Vendula,Frintova,CZE,22,00:19:24,00:00:52,01:14:52,00:00:28,00:37:12,21,02:12:51
258904,6522,Radka,Vodickova,CZE,23,00:19:35,00:00:55,01:14:39,00:00:32,00:38:16,22,02:14:00
258904,5576,Ai,Ueda,JPN,17,00:21:03,00:00:57,01:17:07,00:00:32,00:35:49,23,02:15:30
258904,39490,Mikayla,Nielsen,NZL,31,00:20:09,00:00:50,01:19:47,00:00:35,00:37:33,24,02:18:56
258904,40887,Gwen,Jorgensen,USA,4,00:20:03,00:00:57,00:00:00,00:00:00,00:00:00,DNF,00:00:00
258904,11385,Jodie,Stimpson,GBR,10,00:19:37,00:00:55,00:00:00,00:00:00,00:00:00,DNF,00:00:00
258904,15747,Emma,Jackson,AUS,15,00:19:29,00:00:53,00:00:00,00:00:00,00:00:00,DNF,00:00:00
258904,21841,Simone,Ackermann,RSA,30,00:19:25,00:00:55,00:00:00,00:00:00,00:00:00,DNF,00:00:00
258904,21851,Rebecca,Kingsford,NZL,28,00:19:38,00:00:53,00:00:00,00:00:00,00:00:00,DNF,00:00:00
258904,17348,Yun-Jung,Jang,KOR,29,00:19:27,00:00:58,00:00:00,00:00:00,00:00:00,DNF,00:00:00
258904,39688,Katie,Hewison,GBR,27,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00
