program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
258929,40887,Gwen,Jorgensen,USA,20,00:18:02,00:01:12,01:07:10,00:00:27,00:33:10,1,01:59:59
258929,31438,Non,Stanford,GBR,28,00:18:04,00:01:15,01:07:02,00:00:23,00:33:20,2,02:00:03
258929,5526,Emma,Moffatt,AUS,19,00:17:27,00:01:20,01:06:31,00:00:26,00:34:21,3,02:00:03
258929,15515,Anne,Haug,GER,1,00:18:29,00:01:11,01:06:41,00:00:21,00:33:26,4,02:00:06
258929,11385,Jodie,Stimpson,GBR,22,00:18:22,00:01:14,01:06:46,00:00:24,00:33:47,5,02:00:31
258929,6783,Andrea,Hewitt,NZL,8,00:18:04,00:01:16,01:07:04,00:00:26,00:34:34,6,02:01:22
258929,6246,Sarah,True,USA,17,00:17:29,00:01:08,01:06:42,00:00:25,00:35:46,7,02:01:27
258929,6150,Barbara,Riveros,CHI,6,00:18:32,00:01:17,01:06:32,00:00:26,00:34:56,8,02:01:41
258929,15744,Ashleigh,Gentle,AUS,18,00:18:32,00:01:19,01:06:32,00:00:26,00:34:59,9,02:01:46
258929,12785,Juri,Ide,JPN,4,00:18:20,00:01:16,01:06:45,00:00:26,00:35:10,10,02:01:56
258929,6962,Danne,Boterenbrood,NED,32,00:18:30,00:01:13,01:06:36,00:00:25,00:35:18,11,02:02:00
258929,11879,Lisa,Perterer,AUT,26,00:18:32,00:01:15,01:06:37,00:00:27,00:35:14,12,02:02:03
258929,5410,Jessica,Harrison,FRA,3,00:18:07,00:01:13,01:07:01,00:00:24,00:35:35,13,02:02:17
258929,5467,Vendula,Frintova,CZE,14,00:18:28,00:01:15,01:06:41,00:00:23,00:35:34,14,02:02:18
258929,5448,Felicity,Abram,AUS,2,00:18:25,00:01:14,01:06:42,00:00:25,00:35:46,15,02:02:30
258929,5312,Anja,Dittmer,GER,12,00:18:34,00:01:14,01:06:36,00:00:26,00:35:46,16,02:02:33
258929,21978,Aileen,Reid,IRL,5,00:18:08,00:01:35,01:06:44,00:00:26,00:35:45,17,02:02:35
258929,29235,Joanna,Brown,CAN,33,00:18:07,00:01:19,01:06:58,00:00:26,00:35:50,18,02:02:39
258929,39687,Carolina,Routier,ESP,37,00:17:25,00:01:13,01:06:42,00:00:27,00:37:01,19,02:02:46
258929,7773,Annamaria,Mazzetti,ITA,10,00:18:28,00:01:13,01:06:44,00:00:25,00:36:17,20,02:03:05
258929,22170,Rachel,Klamer,NED,21,00:17:40,00:01:23,01:07:20,00:00:24,00:36:22,21,02:03:07
258929,30295,Katrien,Verstuyft,BEL,30,00:18:15,00:01:20,01:06:52,00:00:22,00:36:28,22,02:03:15
258929,5402,Julie,Ertel,USA,43,00:18:11,00:01:20,01:06:56,00:00:26,00:36:34,23,02:03:25
258929,17285,Yuko,Takahashi,JPN,7,00:18:06,00:01:19,01:06:59,00:00:27,00:36:51,24,02:03:40
258929,39371,Ellen,Pennock,CAN,36,00:17:43,00:01:24,01:07:18,00:00:34,00:36:54,25,02:03:50
258929,6848,Melanie,Hauss,SUI,27,00:18:07,00:01:14,01:07:05,00:00:24,00:37:10,26,02:03:58
258929,94438,Anja,Knapp,GER,11,00:18:02,00:01:15,01:07:04,00:00:23,00:37:23,27,02:04:04
258929,21486,Pamella,Oliveira,BRA,23,00:17:27,00:01:14,01:06:39,00:00:26,00:38:26,28,02:04:10
258929,39688,Katie,Hewison,GBR,38,00:18:29,00:01:16,01:06:38,00:00:26,00:38:01,29,02:04:48
258929,68698,Katie,Zaferes,USA,42,00:18:01,00:01:16,01:07:13,00:00:35,00:38:08,30,02:05:11
258929,5576,Ai,Ueda,JPN,16,00:18:33,00:01:17,01:11:32,00:00:27,00:36:04,31,02:07:52
258929,5547,Kate,Roberts,RSA,9,00:18:34,00:01:20,01:11:26,00:00:23,00:36:36,32,02:08:18
258929,7817,Yuliya,Yelistratova,UKR,29,00:18:56,00:01:19,01:11:07,00:00:31,00:37:54,33,02:09:44
258929,25560,Manon,Letourneau,CAN,34,00:18:33,00:01:39,01:11:12,00:00:26,00:39:37,34,02:11:24
258929,44045,Kaitlin,Donner,USA,31,00:18:10,00:01:17,01:11:55,00:00:28,00:40:10,35,02:11:58
258929,46037,Brianna,Baird,USA,41,00:18:28,00:01:18,01:11:35,00:00:26,00:41:54,36,02:13:39
258929,54967,Anna,Battiata,USA,40,00:18:07,00:01:22,00:00:00,00:00:00,00:00:00,DNF,DNF
258929,9345,Gillian,Sanders,RSA,24,00:18:31,00:01:15,00:00:00,00:00:00,00:00:00,DNF,DNF
258929,6522,Radka,Vodickova,CZE,15,00:18:26,00:01:27,01:11:29,00:00:26,00:00:00,DNF,DNF
258929,12674,Paula,Findlay,CAN,35,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNF,DNF
