program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
258904,15515,Anne,Haug,GER,1,1204,49,4391,27,00:33:47,1,7700
258904,11343,Maaike,Caelers,NED,7,1171,53,4420,30,00:33:46,2,7703
258904,5448,Felicity,Abram,AUS,24,1176,51,4419,31,00:33:52,3,7713
258904,8739,Kate,Mcilroy,NZL,5,1171,54,4418,28,00:34:09,4,7723
258904,6069,Nicky,Samuels,NZL,11,1160,55,4427,29,00:34:50,5,7765
258904,18592,Yuka,Sato,JPN,18,1157,59,4429,28,00:35:07,6,7783
258904,5410,Jessica,Harrison,FRA,6,1166,52,4427,28,00:35:11,7,7786
258904,12785,Juri,Ide,JPN,9,1169,54,4423,29,00:35:19,8,7797
258904,10077,Charlotte,McShane,AUS,26,1163,52,4430,31,00:35:34,9,7813
258904,45907,Natalie,Van Coevorden,AUS,25,1162,55,4428,31,00:35:36,10,7815
258904,39683,Alice,Betto,ITA,21,1167,54,4423,31,00:35:45,11,7823
258904,21978,Aileen,Reid,IRL,8,1160,57,4427,31,00:36:17,12,7855
258904,6150,Barbara,Riveros,CHI,3,1207,53,4448,33,00:35:13,13,7856
258904,17285,Yuko,Takahashi,JPN,12,1166,53,4489,27,00:35:41,14,7878
258904,6783,Andrea,Hewitt,NZL,2,1177,52,4479,29,00:36:00,15,7900
258904,5547,Kate,Roberts,RSA,19,1168,52,4489,34,00:35:58,16,7903
258904,7773,Annamaria,Mazzetti,ITA,20,1171,51,4488,29,00:36:25,17,7926
258904,5371,Samantha,Warriner,NZL,32,1214,56,4440,32,00:36:46,18,7951
258904,94438,Anja,Knapp,GER,14,1161,54,4428,26,00:38:08,19,7959
258904,5312,Anja,Dittmer,GER,16,1196,56,4457,31,00:37:07,20,7969
258904,5467,Vendula,Frintova,CZE,22,1164,52,4492,28,00:37:12,21,7971
258904,6522,Radka,Vodickova,CZE,23,1175,55,4479,32,00:38:16,22,8040
258904,5576,Ai,Ueda,JPN,17,1263,57,4627,32,00:35:49,23,8130
258904,39490,Mikayla,Nielsen,NZL,31,1209,50,4787,35,00:37:33,24,8336
