program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
258929,40887,Gwen,Jorgensen,USA,20,1082,72,4030,27,00:33:10,1,7199
258929,31438,Non,Stanford,GBR,28,1084,75,4022,23,00:33:20,2,7203
258929,5526,Emma,Moffatt,AUS,19,1047,80,3991,26,00:34:21,3,7203
258929,15515,Anne,Haug,GER,1,1109,71,4001,21,00:33:26,4,7206
258929,11385,Jodie,Stimpson,GBR,22,1102,74,4006,24,00:33:47,5,7231
258929,6783,Andrea,Hewitt,NZL,8,1084,76,4024,26,00:34:34,6,7282
258929,6246,Sarah,True,USA,17,1049,68,4002,25,00:35:46,7,7287
258929,6150,Barbara,Riveros,CHI,6,1112,77,3992,26,00:34:56,8,7301
258929,15744,Ashleigh,Gentle,AUS,18,1112,79,3992,26,00:34:59,9,7306
258929,12785,Juri,Ide,JPN,4,1100,76,4005,26,00:35:10,10,7316
258929,6962,Danne,Boterenbrood,NED,32,1110,73,3996,25,00:35:18,11,7320
258929,11879,Lisa,Perterer,AUT,26,1112,75,3997,27,00:35:14,12,7323
258929,5410,Jessica,Harrison,FRA,3,1087,73,4021,24,00:35:35,13,7337
258929,5467,Vendula,Frintova,CZE,14,1108,75,4001,23,00:35:34,14,7338
258929,5448,Felicity,Abram,AUS,2,1105,74,4002,25,00:35:46,15,7350
258929,5312,Anja,Dittmer,GER,12,1114,74,3996,26,00:35:46,16,7353
258929,21978,Aileen,Reid,IRL,5,1088,95,4004,26,00:35:45,17,7355
258929,29235,Joanna,Brown,CAN,33,1087,79,4018,26,00:35:50,18,7359
258929,39687,Carolina,Routier,ESP,37,1045,73,4002,27,00:37:01,19,7366
258929,7773,Annamaria,Mazzetti,ITA,10,1108,73,4004,25,00:36:17,20,7385
258929,22170,Rachel,Klamer,NED,21,1060,83,4040,24,00:36:22,21,7387
258929,30295,Katrien,Verstuyft,BEL,30,1095,80,4012,22,00:36:28,22,7395
258929,5402,Julie,Ertel,USA,43,1091,80,4016,26,00:36:34,23,7405
258929,17285,Yuko,Takahashi,JPN,7,1086,79,4019,27,00:36:51,24,7420
258929,39371,Ellen,Pennock,CAN,36,1063,84,4038,34,00:36:54,25,7430
258929,6848,Melanie,Hauss,SUI,27,1087,74,4025,24,00:37:10,26,7438
258929,94438,Anja,Knapp,GER,11,1082,75,4024,23,00:37:23,27,7444
258929,21486,Pamella,Oliveira,BRA,23,1047,74,3999,26,00:38:26,28,7450
258929,39688,Katie,Hewison,GBR,38,1109,76,3998,26,00:38:01,29,7488
258929,68698,Katie,Zaferes,USA,42,1081,76,4033,35,00:38:08,30,7511
258929,5576,Ai,Ueda,JPN,16,1113,77,4292,27,00:36:04,31,7672
258929,5547,Kate,Roberts,RSA,9,1114,80,4286,23,00:36:36,32,7698
258929,7817,Yuliya,Yelistratova,UKR,29,1136,79,4267,31,00:37:54,33,7784
258929,25560,Manon,Letourneau,CAN,34,1113,99,4272,26,00:39:37,34,7884
258929,44045,Kaitlin,Donner,USA,31,1090,77,4315,28,00:40:10,35,7918
258929,46037,Brianna,Baird,USA,41,1108,78,4295,26,00:41:54,36,8019
