program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
258930,7788,Alistair,Brownlee,GBR,29,966,71,3607,24,00:29:30,1,6436
258930,16392,Richard,Murray,RSA,28,1013,67,3565,25,00:29:50,2,6458
258930,10539,Joao,Silva,POR,3,1007,70,3572,23,00:30:03,3,6472
258930,5747,Steffen,Justus,GER,19,1011,64,3571,23,00:30:27,4,6494
258930,11402,Mario,Mola,ESP,2,1008,69,3572,25,00:30:27,5,6498
258930,32470,Adam,Bowden,GBR,33,1007,71,3571,24,00:30:31,6,6502
258930,7747,Dmitry,Polyanskiy,RUS,25,987,70,3591,24,00:30:39,7,6508
258930,5695,Javier,Gomez Noya,ESP,1,971,65,3611,25,00:30:48,8,6518
258930,5320,Sven,Riederer,SUI,26,1001,71,3573,24,00:30:59,9,6527
258930,12431,David,Mcnamee,GBR,30,1012,67,3568,25,00:31:04,10,6534
258930,29442,Fernando,Alarza,ESP,35,973,65,3612,24,00:31:05,11,6537
258930,5683,Clark,Ellice,NZL,8,1000,70,3565,25,00:31:29,12,6548
258930,5651,Ivan,Vasiliev,RUS,18,972,67,3610,24,00:31:21,13,6553
258930,10434,Matt,Chrabot,USA,9,1014,67,3567,25,00:31:31,14,6563
258930,5662,Laurent,Vidal,FRA,4,1004,73,3571,25,00:31:37,15,6567
258930,11146,Jesus,Gomar,GEO,51,995,74,3558,26,00:32:00,16,6570
258930,5306,Ivan,Raña Fuentes,ESP,36,1012,71,3562,23,00:31:47,17,6572
258930,7702,Aurelien,Raphael,FRA,32,969,64,3614,24,00:31:45,18,6574
258930,7145,Bruno,Matheus,BRA,48,1015,68,3566,23,00:31:44,19,6575
258930,143997,Joe,Maloy,USA,49,977,68,3606,23,00:31:45,20,6576
258930,11818,Ryan,Sissons,NZL,11,1021,65,3611,25,00:30:57,21,6577
258930,10166,Simon,De Cuyper,BEL,37,1020,68,3608,22,00:31:03,22,6580
258930,5620,Leonardo,Chacon,CRC,39,1009,72,3569,25,00:31:51,23,6583
258930,39875,Mark,Buckingham,GBR,50,1022,68,3604,26,00:31:11,24,6589
258930,5325,Hunter,Kemper,USA,43,1027,74,3595,26,00:31:17,25,6596
258930,30282,Uxio,Abuin Ares,ESP,47,995,72,3579,24,00:32:16,26,6602
258930,14181,Igor,Polyanskiy,RUS,21,978,75,3593,24,00:32:40,27,6629
258930,7503,Crisanto,Grajales,MEX,34,1021,72,3602,24,00:31:56,28,6633
258930,23719,Fabio,Carvalho,BRA,54,1026,70,3601,26,00:31:56,29,6637
258930,5929,Reinaldo,Colucci,BRA,40,1024,76,3599,23,00:32:09,30,6649
258930,21959,Bryce,Mcmaster,AUS,20,995,74,3579,26,00:33:05,31,6657
258930,39525,Tommy,Zaferes,USA,46,963,65,3621,24,00:33:22,32,6673
258930,39206,Benjamin,Shaw,IRL,17,981,71,3596,24,00:33:35,33,6685
258930,11293,Denis,Vasiliev,RUS,24,977,74,3572,25,00:34:04,34,6689
258930,10141,Aaron,Royle,AUS,6,969,68,3660,23,00:33:07,35,6705
258930,14190,Andrey,Bryukhankov,RUS,22,1007,72,3546,29,00:34:19,36,6710
258930,6226,Sebastian,Rank,GER,56,1012,70,3616,22,00:33:20,37,6718
258930,11508,Andrew,Yorke,CAN,14,1015,70,3614,24,00:34:06,38,6767
258930,22327,Matthew,Sharpe,CAN,42,984,73,3593,23,00:35:27,39,6798
258930,10858,Gregor,Buchholz,GER,12,1016,65,3896,25,00:31:23,40,6884
258930,18332,Carlos Javier,Quinchara Forero,COL,38,1026,72,3602,24,00:36:31,41,6913
258930,30433,Henri,Schoeman,RSA,52,969,70,3612,23,00:38:24,42,6976
258930,6236,Premysl,Svarc,CZE,41,1001,75,3624,30,00:37:35,43,6983
258930,6484,John,Dahlz,USA,57,1024,67,3902,26,00:33:45,44,7042
258930,39742,William,Huffman,USA,55,1016,66,3910,26,00:34:43,45,7099
258930,7822,Andrew,Mccartney,CAN,53,985,73,3935,24,00:36:15,46,7191
