program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
259526,11385,Jodie,Stimpson,GBR,3,591,38,2507,39,00:10:30,1,3802
259526,15747,Emma,Jackson,AUS,35,596,40,2543,47,00:10:36,2,3861
259526,15515,Anne,Haug,GER,2,608,35,2537,44,00:10:52,3,3874
259526,6783,Andrea,Hewitt,NZL,15,595,37,2565,42,00:10:44,4,3881
259526,6069,Nicky,Samuels,NZL,17,587,39,2552,47,00:11:11,5,3894
259526,7825,Kirsten,Sweetland,CAN,26,595,38,2550,48,00:11:13,6,3902
259526,39688,Katie,Hewison,GBR,23,627,40,2565,42,00:10:33,7,3905
259526,11133,Agnieszka,Jerzyk,POL,29,605,36,2604,46,00:10:59,8,3948
259526,15744,Ashleigh,Gentle,AUS,10,618,37,2603,48,00:11:09,9,3973
259526,22170,Rachel,Klamer,NED,27,593,37,2609,52,00:11:37,10,3986
259526,8739,Kate,Mcilroy,NZL,11,591,41,2631,50,00:11:17,11,3988
259526,7781,Rebecca,Robisch,GER,32,596,37,2636,44,00:11:22,12,3992
259526,6150,Barbara,Riveros,CHI,16,608,36,2638,51,00:11:08,13,3999
259526,11343,Maaike,Caelers,NED,8,632,38,2623,46,00:11:04,14,4002
259526,10843,Vanessa,Raw,GBR,31,611,40,2601,52,00:11:50,15,4011
259526,31438,Non,Stanford,GBR,5,593,38,2695,42,00:11:12,16,4037
259526,21978,Aileen,Reid,IRL,7,588,41,2693,47,00:11:20,17,4047
259526,40887,Gwen,Jorgensen,USA,1,599,38,2761,45,00:10:12,18,4054
259526,5526,Emma,Moffatt,AUS,6,590,38,2721,42,00:11:15,19,4064
259526,5576,Ai,Ueda,JPN,20,613,39,2718,58,00:11:13,20,4099
259526,6962,Danne,Boterenbrood,NED,18,601,39,2723,54,00:11:38,21,4112
259526,58399,Natalie,Milne,GBR,39,578,37,2775,48,00:11:40,22,4136
259526,94438,Anja,Knapp,GER,19,604,37,2758,43,00:11:39,23,4139
259526,7771,Charlotte,Bonin,ITA,28,598,41,2754,44,00:11:45,24,4141
259526,22340,Michelle,Flipo,MEX,25,608,37,2849,46,00:11:46,25,4244
259526,5410,Jessica,Harrison,FRA,9,594,38,2906,46,00:11:50,26,4292
259526,6848,Melanie,Hauss,SUI,30,593,41,2895,55,00:12:05,27,4307
259526,5467,Vendula,Frintova,CZE,14,627,37,2862,67,00:12:08,28,4318
259526,5485,Olga,Zausaylova,RUS,38,630,39,2827,65,00:12:45,29,4323
259526,11879,Lisa,Perterer,AUT,22,609,94,0,0,00:00:00,30,4326
259526,6246,Sarah,True,USA,12,588,42,2968,48,00:11:39,31,4343
259526,7757,Zsófia,Kovács,HUN,36,610,39,2959,57,00:11:34,32,4357
259526,5943,Maria,Czesnik,POL,34,611,43,2856,71,00:13:18,33,4377
259526,5448,Felicity,Abram,AUS,4,606,38,2938,58,00:12:29,34,4386
259526,17670,Sara,Vilic,AUT,24,597,37,3006,48,00:12:07,35,4413
259526,10761,Lydia,Waldmüller,AUT,37,604,40,3130,62,00:14:02,36,4676
259526,7646,Claudia,Rivas,MEX,33,606,39,3144,71,00:14:28,37,4727
259526,6223,Florence,Chretien,USA,40,641,45,3228,65,00:12:55,38,4751
