program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
259339,31438,Non,Stanford,GBR,14,1167,66,4155,24,00:34:29,1,7479
259339,15515,Anne,Haug,GER,2,1235,63,4089,21,00:34:59,2,7505
259339,11385,Jodie,Stimpson,GBR,3,1163,68,4156,23,00:35:05,3,7514
259339,40887,Gwen,Jorgensen,USA,1,1171,68,4207,25,00:34:36,4,7544
259339,5448,Felicity,Abram,AUS,7,1178,70,4141,25,00:35:42,5,7554
259339,12785,Juri,Ide,JPN,4,1166,67,4158,26,00:36:00,6,7576
259339,6246,Sarah,True,USA,18,1139,72,4182,23,00:36:12,7,7586
259339,94438,Anja,Knapp,GER,26,1163,68,4157,20,00:36:26,8,7592
259339,6962,Danne,Boterenbrood,NED,23,1188,69,4130,23,00:36:28,9,7595
259339,5410,Jessica,Harrison,FRA,10,1160,71,4159,24,00:36:31,10,7602
259339,17670,Sara,Vilic,AUT,46,1168,71,4150,22,00:36:55,11,7625
259339,21978,Aileen,Reid,IRL,6,1184,73,4134,31,00:36:47,12,7627
259339,22340,Michelle,Flipo,MEX,47,1188,73,4129,24,00:36:57,13,7628
259339,5576,Ai,Ueda,JPN,20,1222,72,4150,24,00:36:03,14,7629
259339,6069,Nicky,Samuels,NZL,16,1144,69,4175,24,00:37:05,15,7635
259339,17285,Yuko,Takahashi,JPN,15,1172,69,4148,21,00:37:14,16,7642
259339,39683,Alice,Betto,ITA,22,1142,69,4179,24,00:37:23,17,7655
259339,10077,Charlotte,McShane,AUS,9,1197,69,4180,25,00:36:44,18,7672
259339,11879,Lisa,Perterer,AUT,25,1204,69,4172,29,00:36:43,19,7675
259339,21486,Pamella,Oliveira,BRA,32,1138,70,4185,25,00:37:42,20,7678
259339,7771,Charlotte,Bonin,ITA,45,1181,73,4137,22,00:37:51,21,7683
259339,11133,Agnieszka,Jerzyk,POL,37,1248,68,4268,23,00:34:43,22,7688
259339,18592,Yuka,Sato,JPN,8,1170,71,4150,25,00:38:26,23,7720
259339,5376,Ainhoa,Murua Zubizarreta,ESP,33,1165,71,4153,22,00:38:36,24,7725
259339,12786,Mariko,Adachi,JPN,27,1186,74,4184,22,00:37:48,25,7732
259339,9852,Alexandra,Razarenova,RUS,40,1212,67,4166,22,00:37:58,26,7743
259339,10843,Vanessa,Raw,GBR,48,1181,77,4134,26,00:39:14,27,7769
259339,39874,Elena Maria,Petrini,ITA,51,1195,71,4178,22,00:38:52,28,7797
259339,6783,Andrea,Hewitt,NZL,11,1185,75,4325,28,00:36:40,29,7810
259339,39687,Carolina,Routier,ESP,28,1136,75,4182,22,00:39:59,30,7812
259339,6150,Barbara,Riveros,CHI,12,1232,71,4279,24,00:37:16,31,7840
259339,11141,Emmie,Charayron,FRA,39,1233,71,4278,25,00:37:32,32,7857
259339,11084,Margit,Vanek,HUN,42,1175,71,4145,23,00:41:03,33,7875
259339,5560,Mateja,Šimic,SLO,35,1216,75,4156,26,00:41:19,34,7950
259339,5312,Anja,Dittmer,GER,19,1231,69,4285,26,00:39:08,35,7956
259339,15946,Elena,Danilova,RUS,29,1220,71,4291,27,00:39:40,36,7987
259339,55693,Grace,Musgrove,AUS,36,1205,73,4307,29,00:40:18,37,8030
259339,39909,Tamara,Gomez Garrido,ESP,50,1220,70,4385,28,00:40:41,38,8142
259339,14196,Mariya,Shorets,RUS,38,1210,73,4301,25,00:42:21,39,8148
259339,31827,Anna,Godoy Contreras,ESP,49,1175,68,4558,28,00:42:03,40,8351
