program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
259113,11378,Jonathan,Brownlee,GBR,19,1050,66,3403,22,00:29:21,1,6299
259113,5695,Javier,Gomez Noya,ESP,2,1062,60,3397,20,00:29:46,2,6323
259113,10539,Joao,Silva,POR,1,1054,63,3402,20,00:30:39,3,6376
259113,5651,Ivan,Vasiliev,RUS,6,1053,63,3403,23,00:30:45,4,6385
259113,16392,Richard,Murray,RSA,3,1100,61,3486,19,00:29:39,5,6443
259113,30433,Henri,Schoeman,RSA,33,1051,68,3402,19,00:31:47,6,6446
259113,7822,Andrew,Mccartney,CAN,34,1045,66,3411,20,00:31:53,7,6451
259113,32470,Adam,Bowden,GBR,4,1067,64,3475,24,00:30:35,8,6463
259113,12431,David,Mcnamee,GBR,9,1081,63,3501,21,00:30:12,9,6476
259113,28500,Ryan,Bailie,AUS,7,1070,62,3476,21,00:30:51,10,6477
259113,10017,Cameron,Good,AUS,10,1079,65,3465,20,00:30:52,11,6478
259113,6442,Jarrod,Shoemaker,USA,20,1073,72,3503,22,00:30:12,12,6479
259113,39206,Benjamin,Shaw,IRL,11,1058,66,3394,19,00:32:24,13,6480
259113,11818,Ryan,Sissons,NZL,8,1123,59,3499,23,00:29:58,14,6500
259113,39875,Mark,Buckingham,GBR,18,1128,61,3487,21,00:30:09,15,6504
259113,11293,Denis,Vasiliev,RUS,16,1048,71,3490,25,00:31:17,16,6508
259113,14190,Andrey,Bryukhankov,RUS,15,1060,62,3485,25,00:31:26,17,6515
259113,41276,Marco,Van Der Stel,NED,17,1055,64,3400,22,00:33:03,18,6522
259113,6084,Dan,Wilson,AUS,24,1077,63,3466,21,00:31:45,19,6529
259113,6236,Premysl,Svarc,CZE,28,1081,66,3497,22,00:31:17,20,6542
259113,14181,Igor,Polyanskiy,RUS,12,1074,68,3503,20,00:31:32,21,6555
259113,5327,Hirokatsu,Tayama,JPN,22,1058,73,3475,23,00:32:14,22,6561
259113,6086,Martin,Van Barneveld,NZL,31,1117,64,3497,19,00:31:15,23,6570
259113,17584,Aaron,Harris,GBR,26,1076,66,3505,21,00:31:54,24,6580
259113,7453,Peter,Kerr,AUS,21,1120,64,3498,24,00:31:22,25,6586
259113,5654,Ryosuke,Yamamoto,JPN,25,1116,68,3498,20,00:31:30,26,6591
259113,5551,Bryan,Keane,IRL,27,1127,65,3491,25,00:31:36,27,6601
259113,5851,Tony,Moulai,FRA,14,1123,65,3489,20,00:32:19,28,6634
259113,6899,Ákos,Vanek,HUN,29,1068,66,3472,21,00:33:33,29,6638
259113,12749,Ji Hwan,Kim,KOR,30,1120,64,3498,20,00:32:41,30,6661
259113,30058,Andreas,Schilling,DEN,36,1120,66,3544,24,00:32:13,31,6685
259113,31439,Philip,Wolfe,GBR,32,1120,66,3496,24,00:33:34,32,6718
259113,17346,Jae Hun,Choi,KOR,35,1122,67,3496,22,00:34:32,33,6777
259113,5742,Yuichi,Hosoda,JPN,23,1131,63,3708,22,00:32:32,34,6874
259113,47012,Jørgen,Gundersen,NOR,39,1072,70,3506,23,00:38:41,35,6990
