time,player1,player2,result
68,40887,5573,1
68,40887,12785,1
68,40887,7773,1
68,40887,7771,1
68,40887,5526,1
68,40887,7825,1
68,40887,5467,1
68,40887,11879,1
68,40887,10077,1
68,40887,21486,1
68,40887,7646,1
68,40887,6069,1
68,40887,30295,1
68,40887,39450,1
68,40887,17670,1
68,40887,44045,1
68,40887,7776,1
68,40887,18592,1
68,40887,11141,1
68,40887,30090,1
68,40887,21841,1
68,40887,17285,1
68,40887,5576,1
68,40887,12786,1
68,40887,7436,1
68,40887,68979,1
68,40887,72769,1
68,40887,29235,1
68,40887,14196,1
68,40887,8739,1
68,40887,39874,1
68,40887,11133,1
68,40887,11343,1
68,40887,9345,1
68,40887,21487,1
68,40887,81334,1
68,40887,15346,1
68,40887,55941,1
68,40887,31827,1
68,40887,40284,1
68,40887,67321,1
68,40887,46037,1
68,40887,5943,1
68,40887,69762,1
68,40887,78478,1
68,40887,71982,1
68,40887,75637,1
68,40887,39687,1
68,40887,16211,1
68,5573,12785,1
68,5573,7773,1
68,5573,7771,1
68,5573,5526,1
68,5573,7825,1
68,5573,5467,1
68,5573,11879,1
68,5573,10077,1
68,5573,21486,1
68,5573,7646,1
68,5573,6069,1
68,5573,30295,1
68,5573,39450,1
68,5573,17670,1
68,5573,44045,1
68,5573,7776,1
68,5573,18592,1
68,5573,11141,1
68,5573,30090,1
68,5573,21841,1
68,5573,17285,1
68,5573,5576,1
68,5573,12786,1
68,5573,7436,1
68,5573,68979,1
68,5573,72769,1
68,5573,29235,1
68,5573,14196,1
68,5573,8739,1
68,5573,39874,1
68,5573,11133,1
68,5573,11343,1
68,5573,9345,1
68,5573,21487,1
68,5573,81334,1
68,5573,15346,1
68,5573,55941,1
68,5573,31827,1
68,5573,40284,1
68,5573,67321,1
68,5573,46037,1
68,5573,5943,1
68,5573,69762,1
68,5573,78478,1
68,5573,71982,1
68,5573,75637,1
68,5573,39687,1
68,5573,16211,1
68,12785,7773,1
68,12785,7771,1
68,12785,5526,1
68,12785,7825,1
68,12785,5467,1
68,12785,11879,1
68,12785,10077,1
68,12785,21486,1
68,12785,7646,1
68,12785,6069,1
68,12785,30295,1
68,12785,39450,1
68,12785,17670,1
68,12785,44045,1
68,12785,7776,1
68,12785,18592,1
68,12785,11141,1
68,12785,30090,1
68,12785,21841,1
68,12785,17285,1
68,12785,5576,1
68,12785,12786,1
68,12785,7436,1
68,12785,68979,1
68,12785,72769,1
68,12785,29235,1
68,12785,14196,1
68,12785,8739,1
68,12785,39874,1
68,12785,11133,1
68,12785,11343,1
68,12785,9345,1
68,12785,21487,1
68,12785,81334,1
68,12785,15346,1
68,12785,55941,1
68,12785,31827,1
68,12785,40284,1
68,12785,67321,1
68,12785,46037,1
68,12785,5943,1
68,12785,69762,1
68,12785,78478,1
68,12785,71982,1
68,12785,75637,1
68,12785,39687,1
68,12785,16211,1
68,7773,7771,1
68,7773,5526,1
68,7773,7825,1
68,7773,5467,1
68,7773,11879,1
68,7773,10077,1
68,7773,21486,1
68,7773,7646,1
68,7773,6069,1
68,7773,30295,1
68,7773,39450,1
68,7773,17670,1
68,7773,44045,1
68,7773,7776,1
68,7773,18592,1
68,7773,11141,1
68,7773,30090,1
68,7773,21841,1
68,7773,17285,1
68,7773,5576,1
68,7773,12786,1
68,7773,7436,1
68,7773,68979,1
68,7773,72769,1
68,7773,29235,1
68,7773,14196,1
68,7773,8739,1
68,7773,39874,1
68,7773,11133,1
68,7773,11343,1
68,7773,9345,1
68,7773,21487,1
68,7773,81334,1
68,7773,15346,1
68,7773,55941,1
68,7773,31827,1
68,7773,40284,1
68,7773,67321,1
68,7773,46037,1
68,7773,5943,1
68,7773,69762,1
68,7773,78478,1
68,7773,71982,1
68,7773,75637,1
68,7773,39687,1
68,7773,16211,1
68,7771,5526,1
68,7771,7825,1
68,7771,5467,1
68,7771,11879,1
68,7771,10077,1
68,7771,21486,1
68,7771,7646,1
68,7771,6069,1
68,7771,30295,1
68,7771,39450,1
68,7771,17670,1
68,7771,44045,1
68,7771,7776,1
68,7771,18592,1
68,7771,11141,1
68,7771,30090,1
68,7771,21841,1
68,7771,17285,1
68,7771,5576,1
68,7771,12786,1
68,7771,7436,1
68,7771,68979,1
68,7771,72769,1
68,7771,29235,1
68,7771,14196,1
68,7771,8739,1
68,7771,39874,1
68,7771,11133,1
68,7771,11343,1
68,7771,9345,1
68,7771,21487,1
68,7771,81334,1
68,7771,15346,1
68,7771,55941,1
68,7771,31827,1
68,7771,40284,1
68,7771,67321,1
68,7771,46037,1
68,7771,5943,1
68,7771,69762,1
68,7771,78478,1
68,7771,71982,1
68,7771,75637,1
68,7771,39687,1
68,7771,16211,1
68,5526,7825,1
68,5526,5467,1
68,5526,11879,1
68,5526,10077,1
68,5526,21486,1
68,5526,7646,1
68,5526,6069,1
68,5526,30295,1
68,5526,39450,1
68,5526,17670,1
68,5526,44045,1
68,5526,7776,1
68,5526,18592,1
68,5526,11141,1
68,5526,30090,1
68,5526,21841,1
68,5526,17285,1
68,5526,5576,1
68,5526,12786,1
68,5526,7436,1
68,5526,68979,1
68,5526,72769,1
68,5526,29235,1
68,5526,14196,1
68,5526,8739,1
68,5526,39874,1
68,5526,11133,1
68,5526,11343,1
68,5526,9345,1
68,5526,21487,1
68,5526,81334,1
68,5526,15346,1
68,5526,55941,1
68,5526,31827,1
68,5526,40284,1
68,5526,67321,1
68,5526,46037,1
68,5526,5943,1
68,5526,69762,1
68,5526,78478,1
68,5526,71982,1
68,5526,75637,1
68,5526,39687,1
68,5526,16211,1
68,7825,5467,1
68,7825,11879,1
68,7825,10077,1
68,7825,21486,1
68,7825,7646,1
68,7825,6069,1
68,7825,30295,1
68,7825,39450,1
68,7825,17670,1
68,7825,44045,1
68,7825,7776,1
68,7825,18592,1
68,7825,11141,1
68,7825,30090,1
68,7825,21841,1
68,7825,17285,1
68,7825,5576,1
68,7825,12786,1
68,7825,7436,1
68,7825,68979,1
68,7825,72769,1
68,7825,29235,1
68,7825,14196,1
68,7825,8739,1
68,7825,39874,1
68,7825,11133,1
68,7825,11343,1
68,7825,9345,1
68,7825,21487,1
68,7825,81334,1
68,7825,15346,1
68,7825,55941,1
68,7825,31827,1
68,7825,40284,1
68,7825,67321,1
68,7825,46037,1
68,7825,5943,1
68,7825,69762,1
68,7825,78478,1
68,7825,71982,1
68,7825,75637,1
68,7825,39687,1
68,7825,16211,1
68,5467,11879,1
68,5467,10077,1
68,5467,21486,1
68,5467,7646,1
68,5467,6069,1
68,5467,30295,1
68,5467,39450,1
68,5467,17670,1
68,5467,44045,1
68,5467,7776,1
68,5467,18592,1
68,5467,11141,1
68,5467,30090,1
68,5467,21841,1
68,5467,17285,1
68,5467,5576,1
68,5467,12786,1
68,5467,7436,1
68,5467,68979,1
68,5467,72769,1
68,5467,29235,1
68,5467,14196,1
68,5467,8739,1
68,5467,39874,1
68,5467,11133,1
68,5467,11343,1
68,5467,9345,1
68,5467,21487,1
68,5467,81334,1
68,5467,15346,1
68,5467,55941,1
68,5467,31827,1
68,5467,40284,1
68,5467,67321,1
68,5467,46037,1
68,5467,5943,1
68,5467,69762,1
68,5467,78478,1
68,5467,71982,1
68,5467,75637,1
68,5467,39687,1
68,5467,16211,1
68,11879,10077,1
68,11879,21486,1
68,11879,7646,1
68,11879,6069,1
68,11879,30295,1
68,11879,39450,1
68,11879,17670,1
68,11879,44045,1
68,11879,7776,1
68,11879,18592,1
68,11879,11141,1
68,11879,30090,1
68,11879,21841,1
68,11879,17285,1
68,11879,5576,1
68,11879,12786,1
68,11879,7436,1
68,11879,68979,1
68,11879,72769,1
68,11879,29235,1
68,11879,14196,1
68,11879,8739,1
68,11879,39874,1
68,11879,11133,1
68,11879,11343,1
68,11879,9345,1
68,11879,21487,1
68,11879,81334,1
68,11879,15346,1
68,11879,55941,1
68,11879,31827,1
68,11879,40284,1
68,11879,67321,1
68,11879,46037,1
68,11879,5943,1
68,11879,69762,1
