time,player1,player2,result
67,11402,16392,1
67,11402,10536,1
67,11402,7788,1
67,11402,11378,1
67,11402,5695,1
67,11402,28500,1
67,11402,10539,1
67,11402,11143,1
67,11402,5320,1
67,11402,11162,1
67,11402,10858,1
67,11402,11333,1
67,11402,17584,1
67,11402,6202,1
67,11402,47188,1
67,11402,32470,1
67,11402,32766,1
67,11402,39908,1
67,11402,7747,1
67,11402,29395,1
67,11402,30058,1
67,11402,7702,1
67,11402,6084,1
67,11402,5551,1
67,11402,7742,1
67,11402,18714,1
67,11402,28201,1
67,11402,5306,1
67,11402,10141,1
67,11402,5747,1
67,11402,5742,1
67,11402,10017,1
67,11402,11064,1
67,11402,11060,1
67,11402,39206,1
67,11402,7796,1
67,11402,39875,1
67,11402,14190,1
67,11402,11092,1
67,11402,21622,1
67,11402,10166,1
67,11402,11979,1
67,11402,5327,1
67,11402,49390,1
67,11402,10842,1
67,11402,67535,1
67,11402,30433,1
67,11402,41276,1
67,11402,5929,1
67,11402,7822,1
67,11402,12157,1
67,11402,41060,1
67,11402,40458,1
67,11402,29442,1
67,11402,11095,1
67,11402,11155,1
67,11402,6236,1
67,11402,40452,1
67,11402,47178,1
67,11402,15838,1
67,11402,14181,1
67,11402,7150,1
67,11402,30579,1
67,11402,45919,1
67,16392,10536,1
67,16392,7788,1
67,16392,11378,1
67,16392,5695,1
67,16392,28500,1
67,16392,10539,1
67,16392,11143,1
67,16392,5320,1
67,16392,11162,1
67,16392,10858,1
67,16392,11333,1
67,16392,17584,1
67,16392,6202,1
67,16392,47188,1
67,16392,32470,1
67,16392,32766,1
67,16392,39908,1
67,16392,7747,1
67,16392,29395,1
67,16392,30058,1
67,16392,7702,1
67,16392,6084,1
67,16392,5551,1
67,16392,7742,1
67,16392,18714,1
67,16392,28201,1
67,16392,5306,1
67,16392,10141,1
67,16392,5747,1
67,16392,5742,1
67,16392,10017,1
67,16392,11064,1
67,16392,11060,1
67,16392,39206,1
67,16392,7796,1
67,16392,39875,1
67,16392,14190,1
67,16392,11092,1
67,16392,21622,1
67,16392,10166,1
67,16392,11979,1
67,16392,5327,1
67,16392,49390,1
67,16392,10842,1
67,16392,67535,1
67,16392,30433,1
67,16392,41276,1
67,16392,5929,1
67,16392,7822,1
67,16392,12157,1
67,16392,41060,1
67,16392,40458,1
