time,player1,player2,result
65,11385,5573,1
65,11385,40887,1
65,11385,6246,1
65,11385,5376,1
65,11385,15515,1
65,11385,7825,1
65,11385,7795,1
65,11385,5526,1
65,11385,15747,1
65,11385,21486,1
65,11385,12785,1
65,11385,39688,1
65,11385,11141,1
65,11385,9345,1
65,11385,21978,1
65,11385,94438,1
65,11385,7771,1
65,11385,11503,1
65,11385,16211,1
65,11385,10077,1
65,11385,7781,1
65,11385,5467,1
65,11385,18721,1
65,11385,15744,1
65,11385,11084,1
65,11385,6144,1
65,11385,30295,1
65,11385,18592,1
65,11385,12804,1
65,11385,39876,1
65,11385,12786,1
65,11385,49169,1
65,11385,39687,1
65,11385,17670,1
65,11385,5943,1
65,11385,7773,1
65,11385,30090,1
65,11385,17984,1
65,11385,121633,1
65,11385,11133,1
65,11385,40284,1
65,11385,22170,1
65,11385,22174,1
65,11385,6852,1
65,11385,12805,1
65,11385,68698,1
65,11385,7803,1
65,11385,30832,1
65,11385,30415,1
65,5573,40887,1
65,5573,6246,1
65,5573,5376,1
65,5573,15515,1
65,5573,7825,1
65,5573,7795,1
65,5573,5526,1
65,5573,15747,1
65,5573,21486,1
65,5573,12785,1
65,5573,39688,1
65,5573,11141,1
65,5573,9345,1
65,5573,21978,1
65,5573,94438,1
65,5573,7771,1
65,5573,11503,1
65,5573,16211,1
65,5573,10077,1
65,5573,7781,1
65,5573,5467,1
65,5573,18721,1
65,5573,15744,1
65,5573,11084,1
65,5573,6144,1
65,5573,30295,1
65,5573,18592,1
65,5573,12804,1
65,5573,39876,1
65,5573,12786,1
65,5573,49169,1
65,5573,39687,1
65,5573,17670,1
65,5573,5943,1
65,5573,7773,1
65,5573,30090,1
65,5573,17984,1
65,5573,121633,1
65,5573,11133,1
65,5573,40284,1
65,5573,22170,1
65,5573,22174,1
65,5573,6852,1
65,5573,12805,1
65,5573,68698,1
65,5573,7803,1
65,5573,30832,1
65,5573,30415,1
65,40887,6246,1
65,40887,5376,1
65,40887,15515,1
65,40887,7825,1
65,40887,7795,1
65,40887,5526,1
