program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
264330,5695,Javier,Gomez Noya,ESP,1,00:17:53,00:00:53,01:04:15,00:00:28,00:30:42,1,01:54:13
264330,11378,Jonathan,Brownlee,GBR,2,00:17:51,00:00:52,01:04:19,00:00:26,00:31:03,2,01:54:33
264330,10141,Aaron,Royle,AUS,9,00:18:02,00:00:54,01:04:07,00:00:29,00:32:16,3,01:55:49
264330,6084,Dan,Wilson,AUS,22,00:18:04,00:00:52,01:04:04,00:00:26,00:32:24,4,01:55:52
264330,28500,Ryan,Bailie,AUS,14,00:18:03,00:00:54,01:04:05,00:00:27,00:32:27,5,01:55:59
264330,11818,Ryan,Sissons,NZL,11,00:18:46,00:00:54,01:03:24,00:00:29,00:32:48,6,01:56:23
264330,11143,Vincent,Luis,FRA,8,00:18:02,00:00:53,01:04:08,00:00:29,00:32:55,7,01:56:30
264330,11402,Mario,Mola,ESP,3,00:18:24,00:00:51,01:05:43,00:00:27,00:31:09,8,01:56:36
264330,11092,Richard,Varga,SVK,16,00:17:47,00:00:55,01:04:20,00:00:30,00:33:02,9,01:56:37
264330,10858,Gregor,Buchholz,GER,24,00:18:49,00:00:51,01:05:18,00:00:26,00:31:12,10,01:56:39
264330,29442,Fernando,Alarza,ESP,44,00:18:22,00:00:55,01:05:44,00:00:31,00:31:16,11,01:56:49
264330,49237,Grant,Sheldon,GBR,61,00:18:45,00:00:57,01:05:13,00:00:27,00:31:30,12,01:56:54
264330,5747,Steffen,Justus,GER,19,00:18:05,00:00:51,01:06:00,00:00:27,00:31:34,13,01:57:00
264330,7743,Alexander,Bryukhankov,RUS,32,00:18:00,00:01:01,01:06:00,00:00:35,00:31:30,14,01:57:09
264330,12157,Matthew,Sharp,GBR,21,00:18:26,00:00:54,01:05:38,00:00:30,00:31:46,15,01:57:15
264330,11095,Franz,Loeschke,GER,17,00:18:46,00:00:51,01:05:22,00:00:28,00:32:07,16,01:57:36
