program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
264325,11402,Mario,Mola,ESP,3,00:08:39,00:00:41,00:25:42,00:00:29,00:14:18,1,00:49:46
264325,16392,Richard,Murray,RSA,5,00:08:55,00:00:38,00:25:28,00:00:28,00:14:20,2,00:49:47
264325,10536,Joao,Pereira,POR,14,00:08:39,00:00:42,00:25:41,00:00:29,00:14:19,3,00:49:49
264325,7788,Alistair,Brownlee,GBR,15,00:08:33,00:00:42,00:25:45,00:00:27,00:14:27,4,00:49:52
264325,11378,Jonathan,Brownlee,GBR,2,00:08:33,00:00:38,00:25:49,00:00:27,00:14:32,5,00:49:58
264325,5695,Javier,Gomez Noya,ESP,1,00:08:35,00:00:37,00:25:48,00:00:27,00:14:34,6,00:50:00
264325,28500,Ryan,Bailie,AUS,6,00:08:44,00:00:41,00:25:37,00:00:31,00:14:34,7,00:50:04
264325,10539,Joao,Silva,POR,49,00:08:35,00:00:46,00:25:43,00:00:28,00:14:44,8,00:50:14
264325,11143,Vincent,Luis,FRA,8,00:08:39,00:00:39,00:25:43,00:00:29,00:14:48,9,00:50:16
264325,5320,Sven,Riederer,SUI,34,00:08:45,00:00:44,00:25:33,00:00:28,00:14:49,10,00:50:17
264325,11162,Rostislav,Pevtsov,AZE,56,00:08:48,00:00:48,00:25:29,00:00:29,00:14:46,11,00:50:17
264325,10858,Gregor,Buchholz,GER,11,00:08:47,00:00:41,00:25:35,00:00:29,00:14:49,12,00:50:18
264325,11333,Ivan,Ivanov,UKR,62,00:08:40,00:00:43,00:25:41,00:00:28,00:14:49,13,00:50:19
264325,17584,Aaron,Harris,GBR,7,00:08:42,00:00:40,00:25:40,00:00:30,00:14:50,14,00:50:19
264325,6202,Kyle,Jones,CAN,38,00:08:42,00:00:47,00:25:37,00:00:27,00:14:50,15,00:50:20
264325,47188,Gordon,Benson,GBR,42,00:08:41,00:00:48,00:25:33,00:00:30,00:14:50,16,00:50:21
264325,32470,Adam,Bowden,GBR,21,00:08:32,00:00:43,00:25:48,00:00:32,00:14:49,17,00:50:22
264325,32766,Matthias,Steinwandter,ITA,48,00:08:41,00:00:43,00:25:41,00:00:28,00:14:53,18,00:50:23
264325,39908,Vicente,Hernandez,ESP,27,00:08:42,00:00:41,00:25:41,00:00:32,00:14:52,19,00:50:25
264325,7747,Dmitry,Polyanskiy,RUS,12,00:08:13,00:00:42,00:26:06,00:00:28,00:15:00,20,00:50:26
264325,29395,Davide,Uccellari,ITA,60,00:08:50,00:00:43,00:25:31,00:00:26,00:14:59,21,00:50:28
264325,30058,Andreas,Schilling,DEN,68,00:08:50,00:00:45,00:25:30,00:00:28,00:14:58,22,00:50:29
264325,7702,Aurelien,Raphael,FRA,24,00:08:11,00:00:41,00:26:09,00:00:30,00:15:02,23,00:50:30
264325,6084,Dan,Wilson,AUS,16,00:08:42,00:00:46,00:25:32,00:00:28,00:15:06,24,00:50:33
264325,5551,Bryan,Keane,IRL,23,00:08:51,00:00:40,00:25:33,00:00:32,00:15:05,25,00:50:38
264325,7742,Miguel,Arraiolos,POR,57,00:08:44,00:00:41,00:25:40,00:00:26,00:15:13,26,00:50:42
264325,18714,Kevin,McDowell,USA,61,00:08:42,00:00:44,00:25:37,00:00:30,00:15:11,27,00:50:42
264325,28201,Ryan,Fisher,AUS,41,00:08:35,00:00:40,00:25:46,00:00:27,00:15:18,28,00:50:44
264325,5306,Ivan,Raña Fuentes,ESP,39,00:08:37,00:00:44,00:25:41,00:00:30,00:15:16,29,00:50:47
264325,10141,Aaron,Royle,AUS,4,00:08:38,00:00:38,00:25:46,00:00:30,00:15:17,30,00:50:47
264325,5747,Steffen,Justus,GER,17,00:08:39,00:00:44,00:25:38,00:00:27,00:15:23,31,00:50:48
264325,5742,Yuichi,Hosoda,JPN,19,00:08:41,00:00:43,00:25:41,00:00:30,00:15:15,32,00:50:49
264325,10017,Cameron,Good,AUS,22,00:08:53,00:00:41,00:25:31,00:00:31,00:15:16,33,00:50:50
264325,11064,Andrea,Secchiero,ITA,44,00:08:39,00:00:43,00:25:42,00:00:27,00:15:21,34,00:50:50
264325,11060,Alessandro,Fabian,ITA,40,00:08:32,00:00:41,00:25:47,00:00:26,00:15:27,35,00:50:52
264325,39206,Benjamin,Shaw,IRL,26,00:08:37,00:00:43,00:25:44,00:00:31,00:15:20,36,00:50:53
264325,7796,Francesc,Godoy Contreras,ESP,35,00:08:33,00:00:46,00:25:44,00:00:30,00:15:25,37,00:50:56
264325,39875,Mark,Buckingham,GBR,55,00:08:53,00:00:42,00:25:26,00:00:29,00:15:30,38,00:50:58
264325,14190,Andrey,Bryukhankov,RUS,46,00:08:34,00:00:56,00:25:36,00:00:32,00:15:23,39,00:50:59
264325,11092,Richard,Varga,SVK,10,00:08:09,00:00:44,00:26:08,00:00:29,00:15:33,40,00:51:02
264325,21622,Alois,Knabl,AUT,45,00:08:34,00:00:44,00:25:42,00:00:25,00:16:03,41,00:51:26
264325,10166,Simon,De Cuyper,BEL,43,00:08:39,00:00:40,00:25:42,00:00:27,00:16:02,42,00:51:29
264325,11979,Thomas,Springer,AUT,31,00:08:57,00:00:40,00:25:27,00:00:35,00:15:55,43,00:51:31
264325,5327,Hirokatsu,Tayama,JPN,18,00:08:38,00:00:48,00:25:36,00:00:29,00:16:12,44,00:51:41
264325,49390,Dorian,Coninx,FRA,66,00:08:31,00:00:45,00:25:50,00:00:23,00:16:19,45,00:51:45
264325,10842,Lawrence,Fanous,JOR,64,00:08:44,00:00:40,00:25:39,00:00:27,00:16:21,46,00:51:50
264325,67535,Jonas,Schomburg,GER,51,00:08:35,00:00:40,00:25:46,00:00:26,00:16:31,47,00:51:56
264325,30433,Henri,Schoeman,RSA,20,00:08:43,00:00:46,00:25:35,00:00:30,00:16:26,48,00:51:57
264325,41276,Marco,Van Der Stel,NED,33,00:08:37,00:00:45,00:25:39,00:00:28,00:16:33,49,00:52:00
264325,5929,Reinaldo,Colucci,BRA,53,00:08:44,00:00:48,00:25:31,00:00:27,00:16:43,50,00:52:11
264325,7822,Andrew,Mccartney,CAN,47,00:08:43,00:00:42,00:25:40,00:00:30,00:16:41,51,00:52:15
264325,12157,Matthew,Sharp,GBR,25,00:08:55,00:00:42,00:27:03,00:00:26,00:15:19,52,00:52:23
264325,41060,Justus,Nieschlag,GER,37,00:08:52,00:00:41,00:25:27,00:00:27,00:17:11,53,00:52:36
