program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
264330,5695,Javier,Gomez Noya,ESP,1,1073,53,3855,28,00:30:42,1,6853
264330,11378,Jonathan,Brownlee,GBR,2,1071,52,3859,26,00:31:03,2,6873
264330,10141,Aaron,Royle,AUS,9,1082,54,3847,29,00:32:16,3,6949
264330,6084,Dan,Wilson,AUS,22,1084,52,3844,26,00:32:24,4,6952
264330,28500,Ryan,Bailie,AUS,14,1083,54,3845,27,00:32:27,5,6959
264330,11818,Ryan,Sissons,NZL,11,1126,54,3804,29,00:32:48,6,6983
264330,11143,Vincent,Luis,FRA,8,1082,53,3848,29,00:32:55,7,6990
264330,11402,Mario,Mola,ESP,3,1104,51,3943,27,00:31:09,8,6996
264330,11092,Richard,Varga,SVK,16,1067,55,3860,30,00:33:02,9,6997
264330,10858,Gregor,Buchholz,GER,24,1129,51,3918,26,00:31:12,10,6999
264330,29442,Fernando,Alarza,ESP,44,1102,55,3944,31,00:31:16,11,7009
264330,49237,Grant,Sheldon,GBR,61,1125,57,3913,27,00:31:30,12,7014
264330,5747,Steffen,Justus,GER,19,1085,51,3960,27,00:31:34,13,7020
264330,7743,Alexander,Bryukhankov,RUS,32,1080,61,3960,35,00:31:30,14,7029
264330,12157,Matthew,Sharp,GBR,21,1106,54,3938,30,00:31:46,15,7035
264330,11095,Franz,Loeschke,GER,17,1126,51,3922,28,00:32:07,16,7056
264330,5551,Bryan,Keane,IRL,23,1119,53,3928,33,00:32:08,17,7064
264330,10536,Joao,Pereira,POR,15,1117,52,3930,29,00:32:17,18,7067
264330,41276,Marco,Van Der Stel,NED,34,1083,54,3848,28,00:34:29,19,7085
264330,5320,Sven,Riederer,SUI,6,1097,52,3945,29,00:32:54,20,7099
264330,39206,Benjamin,Shaw,IRL,28,1076,53,3857,32,00:34:43,21,7102
264330,40452,Conor,Murphy,IRL,52,1109,52,3937,31,00:32:53,22,7104
264330,11979,Thomas,Springer,AUT,37,1128,54,3920,33,00:33:02,23,7118
264330,5306,Ivan,Raña Fuentes,ESP,42,1122,54,3923,29,00:33:09,24,7119
264330,56533,Maximilian,Schwetz,GER,57,1081,52,3965,30,00:33:20,25,7130
264330,30433,Henri,Schoeman,RSA,12,1068,56,3861,28,00:35:19,26,7133
264330,11508,Andrew,Yorke,CAN,33,1107,54,3939,30,00:33:24,27,7136
264330,18719,Thomas,Bishop,GBR,64,1082,56,3844,33,00:35:21,28,7139
264330,143997,Joe,Maloy,USA,30,1088,52,3967,31,00:33:26,29,7147
264330,5742,Yuichi,Hosoda,JPN,47,1121,54,3927,29,00:33:42,30,7155
264330,45919,Declan,Wilson,AUS,50,1137,50,3798,39,00:35:34,31,7160
264330,5327,Hirokatsu,Tayama,JPN,43,1073,53,3902,31,00:35:03,32,7165
264330,10955,Ron,Darmon,ISR,62,1118,52,3930,30,00:34:22,33,7194
264330,25165,Grégory,Rouault,USA,29,1125,54,3925,32,00:34:30,34,7207
264330,5651,Ivan,Vasiliev,RUS,10,1071,56,3974,33,00:34:42,35,7219
264330,21870,Tom,Davison,NZL,65,1116,52,3813,25,00:36:54,36,7223
264330,6899,Ákos,Vanek,HUN,67,1084,51,3962,28,00:35:09,37,7236
264330,11315,Andrea,Salvisberg,SUI,54,1125,52,3925,34,00:35:25,38,7262
264330,7796,Francesc,Godoy Contreras,ESP,39,1081,56,3965,28,00:35:40,39,7272
264330,31421,Cameron,Goldsmid,NZL,66,1103,48,4079,27,00:34:11,40,7310
264330,7503,Crisanto,Grajales,MEX,18,1110,50,4173,30,00:32:34,41,7318
264330,39908,Vicente,Hernandez,ESP,53,1114,53,3934,37,00:36:27,42,7327
264330,39742,William,Huffman,USA,58,1120,54,4196,26,00:33:06,43,7384
264330,11155,Yegor,Martynenko,UKR,46,1123,55,4054,27,00:35:39,44,7400
264330,7167,Gaspar,Riveros,CHI,63,1119,50,3927,29,00:38:05,45,7412
264330,21959,Bryce,Mcmaster,AUS,51,1099,54,4214,27,00:34:35,46,7471
