program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
264459,7788,Alistair,Brownlee,GBR,6,1030,65,3551,23,00:30:57,1,6524
264459,11402,Mario,Mola,ESP,3,1070,60,3603,24,00:29:49,2,6544
264459,5695,Javier,Gomez Noya,ESP,1,1046,57,3627,23,00:29:57,3,6547
264459,11378,Jonathan,Brownlee,GBR,2,1043,62,3624,23,00:30:12,4,6562
264459,10536,Joao,Pereira,POR,4,1070,56,3604,23,00:30:34,5,6584
264459,7503,Crisanto,Grajales,MEX,51,1072,65,3595,27,00:30:31,6,6588
264459,6442,Jarrod,Shoemaker,USA,46,1055,64,3615,22,00:30:35,7,6590
264459,10539,Joao,Silva,POR,22,1076,65,3594,26,00:30:36,8,6595
264459,7747,Dmitry,Polyanskiy,RUS,8,1045,57,3630,24,00:31:05,9,6619
264459,5929,Reinaldo,Colucci,BRA,49,1076,67,3503,23,00:32:41,10,6629
264459,11143,Vincent,Luis,FRA,7,1054,56,3620,23,00:31:20,11,6631
264459,32470,Adam,Bowden,GBR,19,1068,65,3595,25,00:31:21,12,6632
264459,6084,Dan,Wilson,AUS,21,1070,66,3599,24,00:31:17,13,6633
264459,12431,David,Mcnamee,GBR,68,1079,61,3592,22,00:31:22,14,6635
264459,10166,Simon,De Cuyper,BEL,52,1045,57,3629,21,00:31:26,15,6637
264459,28500,Ryan,Bailie,AUS,12,1050,60,3623,25,00:31:24,16,6640
264459,143997,Joe,Maloy,USA,29,1049,72,3610,25,00:31:29,17,6643
264459,6202,Kyle,Jones,CAN,40,1078,66,3589,24,00:31:30,18,6644
264459,5320,Sven,Riederer,SUI,17,1056,60,3614,27,00:31:34,19,6649
264459,14181,Igor,Polyanskiy,RUS,27,1033,66,3634,25,00:31:35,20,6651
264459,10017,Cameron,Good,AUS,32,1077,64,3593,27,00:31:38,21,6657
264459,11508,Andrew,Yorke,CAN,45,1074,69,3591,25,00:31:44,22,6661
264459,29395,Davide,Uccellari,ITA,31,1075,64,3596,25,00:31:45,23,6664
264459,5747,Steffen,Justus,GER,18,1058,62,3612,24,00:31:52,24,6666
264459,6186,Irving,Perez,MEX,54,1071,63,3600,27,00:31:52,25,6671
264459,7743,Alexander,Bryukhankov,RUS,26,1059,69,3606,30,00:31:50,26,6672
264459,11092,Richard,Varga,SVK,20,1026,63,3641,24,00:32:01,27,6673
264459,5551,Bryan,Keane,IRL,35,1082,62,3587,25,00:32:02,28,6676
264459,11333,Ivan,Ivanov,UKR,41,1080,65,3590,25,00:32:11,29,6688
264459,10141,Aaron,Royle,AUS,10,1048,59,3623,23,00:32:22,30,6692
264459,17584,Aaron,Harris,GBR,14,1077,66,3586,29,00:32:18,31,6694
264459,7742,Miguel,Arraiolos,POR,30,1077,64,3582,24,00:32:31,32,6697
264459,41322,Kristian,Blummenfelt,NOR,67,1047,59,3540,24,00:33:52,33,6699
264459,12814,Tony,Dodds,NZL,25,1042,64,3626,23,00:32:32,34,6705
264459,11315,Andrea,Salvisberg,SUI,38,1040,65,3623,23,00:32:39,35,6708
264459,39908,Vicente,Hernandez,ESP,23,1057,69,3604,25,00:32:37,36,6710
264459,11060,Alessandro,Fabian,ITA,16,1031,66,3632,25,00:32:40,37,6713
264459,5327,Hirokatsu,Tayama,JPN,34,1051,62,3620,27,00:32:40,38,6718
264459,10767,Jason,Wilson,BAR,69,1067,65,3602,26,00:32:45,39,6723
264459,7796,Francesc,Godoy Contreras,ESP,47,1042,68,3623,24,00:32:57,40,6732
264459,15944,Brendan,Sexton,AUS,28,1086,60,3586,23,00:33:05,41,6737
264459,7702,Aurelien,Raphael,FRA,24,1034,59,3638,24,00:33:15,42,6748
264459,9917,Diogo,Sclebin,BRA,39,1080,65,3585,24,00:33:22,43,6753
264459,16522,Felipe,Barraza,CHI,63,1044,61,3630,24,00:33:26,44,6763
264459,21622,Alois,Knabl,AUT,37,1068,63,3599,27,00:33:43,45,6777
264459,6899,Ákos,Vanek,HUN,44,1043,63,3624,25,00:34:32,46,6825
264459,41276,Marco,Van Der Stel,NED,55,1042,62,3628,23,00:35:00,47,6854
264459,25025,Luca,Facchinetti,ITA,48,1077,65,3695,26,00:33:17,48,6856
264459,67535,Jonas,Schomburg,GER,62,1045,63,3624,25,00:35:10,49,6864
264459,12157,Matthew,Sharp,GBR,33,1082,65,3785,25,00:32:02,50,6877
264459,7167,Gaspar,Riveros,CHI,70,1073,60,3600,27,00:35:44,51,6902
264459,16392,Richard,Murray,RSA,5,1110,60,3762,23,00:33:11,52,6945
264459,39560,Juan Jose,Andrade Figueroa,ECU,66,1073,62,3800,24,00:34:08,53,7005
264459,40452,Conor,Murphy,IRL,50,1079,59,3796,23,00:34:22,54,7018
264459,34680,Martin,Oliver Rostan,URU,72,1092,63,3781,24,00:35:19,55,7077
264459,18332,Carlos Javier,Quinchara Forero,COL,57,1076,70,3787,27,00:35:23,56,7082
264459,9919,Danilo,Pimentel,BRA,61,1089,71,3775,25,00:36:05,57,7123
264459,5742,Yuichi,Hosoda,JPN,36,1058,60,3818,26,00:37:40,58,7220
