time,player1,player2,result
78,11378,5695,1
78,11378,30249,1
78,11378,29442,1
78,11378,28500,1
78,11378,30433,1
78,11378,11092,1
78,11378,7503,1
78,11378,17043,1
78,11378,12814,1
78,11378,41060,1
78,11378,11818,1
78,11378,18719,1
78,11378,40311,1
78,11378,11402,1
78,11378,10767,1
78,11378,39836,1
78,11378,6084,1
78,11378,11508,1
78,11378,143997,1
78,11378,5620,1
78,11378,21622,1
78,11378,15944,1
78,11378,18576,1
78,11378,10539,1
78,11378,5742,1
78,11378,41276,1
78,11378,18332,1
78,11378,18417,1
78,11378,10858,1
78,11378,11979,1
78,11378,17069,1
78,11378,15371,1
78,11378,41322,1
78,11378,6707,1
78,11378,16884,1
78,11378,16522,1
78,11378,45915,1
78,11378,7796,1
78,11378,71195,1
78,11378,11001,1
78,11378,5551,1
78,11378,10017,1
78,11378,39330,1
78,11378,9917,1
78,11378,11095,1
78,11378,21884,1
78,11378,40452,1
78,11378,16885,1
78,11378,41871,1
78,11378,6899,1
78,11378,39908,1
78,11378,5327,1
78,11378,11384,1
78,11378,67535,1
78,11378,39206,1
78,11378,7743,1
78,11378,85233,1
78,11378,10141,1
78,11378,11146,1
78,11378,49237,1
78,11378,22527,1
78,11378,6202,1
78,11378,10955,1
78,11378,12721,1
78,5695,30249,1
78,5695,29442,1
78,5695,28500,1
78,5695,30433,1
78,5695,11092,1
78,5695,7503,1
78,5695,17043,1
78,5695,12814,1
78,5695,41060,1
78,5695,11818,1
78,5695,18719,1
78,5695,40311,1
78,5695,11402,1
78,5695,10767,1
78,5695,39836,1
78,5695,6084,1
78,5695,11508,1
78,5695,143997,1
78,5695,5620,1
78,5695,21622,1
78,5695,15944,1
78,5695,18576,1
78,5695,10539,1
78,5695,5742,1
78,5695,41276,1
78,5695,18332,1
78,5695,18417,1
78,5695,10858,1
78,5695,11979,1
78,5695,17069,1
78,5695,15371,1
78,5695,41322,1
78,5695,6707,1
78,5695,16884,1
78,5695,16522,1
78,5695,45915,1
78,5695,7796,1
78,5695,71195,1
78,5695,11001,1
78,5695,5551,1
78,5695,10017,1
78,5695,39330,1
78,5695,9917,1
78,5695,11095,1
78,5695,21884,1
78,5695,40452,1
78,5695,16885,1
78,5695,41871,1
78,5695,6899,1
78,5695,39908,1
78,5695,5327,1
78,5695,11384,1
78,5695,67535,1
78,5695,39206,1
78,5695,7743,1
78,5695,85233,1
78,5695,10141,1
78,5695,11146,1
78,5695,49237,1
78,5695,22527,1
78,5695,6202,1
78,5695,10955,1
78,5695,12721,1
78,30249,29442,1
