time,player1,player2,result
86,11402,5695,1
86,11402,16392,1
86,11402,7503,1
86,11402,11143,1
86,11402,29442,1
86,11402,10141,1
86,11402,39974,1
86,11402,10536,1
86,11402,28500,1
86,11402,11162,1
86,11402,11378,1
86,11402,30249,1
86,11402,5320,1
86,11402,7747,1
86,11402,11060,1
86,11402,15371,1
86,11402,14181,1
86,11402,29395,1
86,11402,17043,1
86,11402,49411,1
86,11402,17069,1
86,11402,10539,1
86,11402,5591,1
86,11402,11001,1
86,11402,32470,1
86,11402,11408,1
86,11402,5747,1
86,11402,11508,1
86,11402,41060,1
86,11402,25025,1
86,11402,18714,1
86,11402,5864,1
86,11402,11818,1
86,11402,6236,1
86,11402,7742,1
86,11402,10767,1
86,11402,30433,1
86,11402,11315,1
86,11402,39330,1
86,11402,9917,1
86,11402,5718,1
86,11402,5929,1
86,11402,16315,1
86,11402,12773,1
86,11402,6707,1
86,11402,21622,1
86,11402,31810,1
86,11402,10858,1
86,11402,10166,1
86,11402,5742,1
86,11402,49390,1
86,11402,41276,1
86,11402,143997,1
86,11402,39875,1
86,11402,16522,1
86,11402,57167,1
86,11402,33841,1
86,11402,5849,1
86,11402,67535,1
86,11402,5654,1
86,11402,28201,1
86,11402,6202,1
86,11402,40311,1
86,11402,6186,1
86,11402,11064,1
86,11402,15838,1
86,11402,5551,1
86,11402,5325,1
86,11402,39908,1
86,11402,11092,1
86,11402,5620,1
86,11402,41322,1
86,11402,7743,1
86,11402,6442,1
86,5695,16392,1
86,5695,7503,1
86,5695,11143,1
86,5695,29442,1
86,5695,10141,1
86,5695,39974,1
86,5695,10536,1
86,5695,28500,1
86,5695,11162,1
86,5695,11378,1
86,5695,30249,1
86,5695,5320,1
86,5695,7747,1
86,5695,11060,1
86,5695,15371,1
86,5695,14181,1
86,5695,29395,1
86,5695,17043,1
86,5695,49411,1
86,5695,17069,1
86,5695,10539,1
86,5695,5591,1
86,5695,11001,1
86,5695,32470,1
86,5695,11408,1
86,5695,5747,1
86,5695,11508,1
86,5695,41060,1
86,5695,25025,1
86,5695,18714,1
86,5695,5864,1
86,5695,11818,1
86,5695,6236,1
86,5695,7742,1
86,5695,10767,1
86,5695,30433,1
86,5695,11315,1
86,5695,39330,1
86,5695,9917,1
86,5695,5718,1
86,5695,5929,1
86,5695,16315,1
86,5695,12773,1
86,5695,6707,1
86,5695,21622,1
86,5695,31810,1
86,5695,10858,1
86,5695,10166,1
86,5695,5742,1
86,5695,49390,1
86,5695,41276,1
86,5695,143997,1
86,5695,39875,1
86,5695,16522,1
86,5695,57167,1
86,5695,33841,1
86,5695,5849,1
86,5695,67535,1
86,5695,5654,1
86,5695,28201,1
86,5695,6202,1
86,5695,40311,1
86,5695,6186,1
86,5695,11064,1
86,5695,15838,1
86,5695,5551,1
86,5695,5325,1
86,5695,39908,1
86,5695,11092,1
86,5695,5620,1
86,5695,41322,1
86,5695,7743,1
86,5695,6442,1
86,16392,7503,1
86,16392,11143,1
86,16392,29442,1
86,16392,10141,1
86,16392,39974,1
86,16392,10536,1
86,16392,28500,1
86,16392,11162,1
86,16392,11378,1
86,16392,30249,1
86,16392,5320,1
86,16392,7747,1
86,16392,11060,1
86,16392,15371,1
86,16392,14181,1
86,16392,29395,1
86,16392,17043,1
86,16392,49411,1
86,16392,17069,1
86,16392,10539,1
86,16392,5591,1
86,16392,11001,1
86,16392,32470,1
86,16392,11408,1
86,16392,5747,1
86,16392,11508,1
86,16392,41060,1
86,16392,25025,1
86,16392,18714,1
86,16392,5864,1
86,16392,11818,1
86,16392,6236,1
86,16392,7742,1
86,16392,10767,1
86,16392,30433,1
86,16392,11315,1
86,16392,39330,1
86,16392,9917,1
86,16392,5718,1
86,16392,5929,1
86,16392,16315,1
86,16392,12773,1
86,16392,6707,1
86,16392,21622,1
86,16392,31810,1
86,16392,10858,1
86,16392,10166,1
86,16392,5742,1
86,16392,49390,1
86,16392,41276,1
86,16392,143997,1
86,16392,39875,1
86,16392,16522,1
86,16392,57167,1
86,16392,33841,1
86,16392,5849,1
86,16392,67535,1
86,16392,5654,1
86,16392,28201,1
86,16392,6202,1
86,16392,40311,1
86,16392,6186,1
86,16392,11064,1
86,16392,15838,1
86,16392,5551,1
86,16392,5325,1
86,16392,39908,1
86,16392,11092,1
86,16392,5620,1
86,16392,41322,1
86,16392,7743,1
86,16392,6442,1
86,7503,11143,1
86,7503,29442,1
86,7503,10141,1
86,7503,39974,1
86,7503,10536,1
86,7503,28500,1
86,7503,11162,1
86,7503,11378,1
86,7503,30249,1
86,7503,5320,1
86,7503,7747,1
86,7503,11060,1
86,7503,15371,1
86,7503,14181,1
86,7503,29395,1
86,7503,17043,1
86,7503,49411,1
86,7503,17069,1
86,7503,10539,1
86,7503,5591,1
86,7503,11001,1
86,7503,32470,1
86,7503,11408,1
86,7503,5747,1
86,7503,11508,1
86,7503,41060,1
86,7503,25025,1
86,7503,18714,1
86,7503,5864,1
86,7503,11818,1
86,7503,6236,1
86,7503,7742,1
86,7503,10767,1
86,7503,30433,1
86,7503,11315,1
86,7503,39330,1
86,7503,9917,1
86,7503,5718,1
86,7503,5929,1
86,7503,16315,1
86,7503,12773,1
86,7503,6707,1
86,7503,21622,1
86,7503,31810,1
86,7503,10858,1
86,7503,10166,1
86,7503,5742,1
86,7503,49390,1
86,7503,41276,1
86,7503,143997,1
86,7503,39875,1
86,7503,16522,1
86,7503,57167,1
86,7503,33841,1
86,7503,5849,1
86,7503,67535,1
86,7503,5654,1
86,7503,28201,1
86,7503,6202,1
86,7503,40311,1
86,7503,6186,1
86,7503,11064,1
86,7503,15838,1
86,7503,5551,1
86,7503,5325,1
86,7503,39908,1
