program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
272182,40887,Gwen,Jorgensen,USA,1,00:17:57,00:01:30,01:02:53,00:00:35,00:32:43,1,01:55:36
272182,31438,Non,Stanford,GBR,14,00:18:08,00:01:35,01:02:34,00:00:35,00:33:14,2,01:56:05
272182,7795,Vicky,Holland,GBR,5,00:17:54,00:01:30,01:02:53,00:00:34,00:33:32,3,01:56:20
272182,6783,Andrea,Hewitt,NZL,4,00:18:06,00:01:30,01:02:43,00:00:33,00:33:54,4,01:56:44
272182,22170,Rachel,Klamer,NED,7,00:18:04,00:01:34,01:02:39,00:00:32,00:34:03,5,01:56:50
272182,11385,Jodie,Stimpson,GBR,67,00:18:14,00:01:37,01:02:25,00:00:37,00:34:16,6,01:57:08
272182,6246,Sarah,True,USA,3,00:17:54,00:01:29,01:02:55,00:00:35,00:34:28,7,01:57:19
272182,5576,Ai,Ueda,JPN,26,00:18:51,00:01:36,01:02:38,00:00:35,00:33:51,8,01:57:29
272182,21978,Aileen,Reid,IRL,11,00:18:05,00:01:39,01:02:33,00:00:34,00:34:49,9,01:57:37
272182,12785,Juri,Ide,JPN,52,00:18:02,00:01:35,01:02:41,00:00:33,00:34:50,10,01:57:39
272182,5573,Helen,Jenkins,GBR,53,00:18:03,00:01:33,01:02:42,00:00:34,00:34:56,11,01:57:46
272182,5526,Emma,Moffatt,AUS,8,00:17:57,00:01:37,01:02:45,00:00:35,00:35:07,12,01:57:58
272182,10077,Charlotte,McShane,AUS,25,00:18:05,00:01:34,01:02:39,00:00:30,00:35:19,13,01:58:05
272182,15744,Ashleigh,Gentle,AUS,12,00:18:54,00:01:35,01:02:35,00:00:33,00:34:35,14,01:58:10
272182,49169,Hanna,Philippin,GER,24,00:18:50,00:01:33,01:02:40,00:00:36,00:34:37,15,01:58:15
272182,6150,Barbara,Riveros,CHI,9,00:18:54,00:01:27,01:02:44,00:00:35,00:34:42,16,01:58:19
272182,7776,Flora,Duffy,BER,6,00:17:52,00:01:34,01:02:49,00:00:34,00:35:37,17,01:58:24
272182,7781,Rebecca,Robisch,GER,10,00:18:08,00:01:29,01:02:41,00:00:33,00:35:41,18,01:58:29
272182,7773,Annamaria,Mazzetti,ITA,31,00:18:19,00:01:28,01:02:32,00:00:33,00:35:52,19,01:58:42
272182,11133,Agnieszka,Jerzyk,POL,58,00:19:05,00:01:32,01:02:28,00:00:33,00:35:26,20,01:59:02
272182,56527,Sophia,Saller,GER,19,00:18:57,00:01:34,01:02:37,00:00:35,00:35:26,21,01:59:07
272182,45790,Jolanda,Annen,SUI,38,00:18:22,00:01:35,01:03:08,00:00:31,00:35:41,22,01:59:15
272182,58503,Yurie,Kato,JPN,56,00:18:13,00:01:37,01:02:31,00:00:32,00:36:25,23,01:59:16
272182,68698,Katie,Zaferes,USA,2,00:17:50,00:01:35,01:03:00,00:00:36,00:36:25,24,01:59:25
272182,11879,Lisa,Perterer,AUT,17,00:00:00,00:00:00,01:02:44,00:00:35,00:35:47,25,01:59:25
272182,21841,Simone,Ackermann,RSA,45,00:18:04,00:01:34,01:02:43,00:00:34,00:36:45,26,01:59:38
272182,39450,Gillian,Backhouse,AUS,22,00:18:47,00:01:34,01:02:42,00:00:32,00:36:07,27,01:59:40
272182,46579,Anastasia,Abrosimova,RUS,51,00:17:55,00:01:35,01:02:55,00:00:37,00:36:58,28,01:59:58
272182,21486,Pamella,Oliveira,BRA,40,00:18:16,00:01:35,01:02:30,00:00:34,00:37:13,29,02:00:07
272182,7646,Claudia,Rivas,MEX,20,00:17:58,00:01:36,01:02:48,00:00:34,00:37:19,30,02:00:14
272182,18592,Yuka,Sato,JPN,30,00:18:03,00:01:37,01:02:40,00:00:32,00:37:36,31,02:00:25
272182,89532,Kirsten,Kasper,USA,15,00:18:01,00:01:38,01:02:44,00:00:37,00:37:36,32,02:00:34
272182,30090,Lindsey,Jerdonek,USA,21,00:18:54,00:01:37,01:02:36,00:00:31,00:37:01,33,02:00:36
272182,39683,Alice,Betto,ITA,69,00:17:55,00:01:34,01:02:53,00:00:31,00:37:49,34,02:00:40
272182,15515,Anne,Haug,GER,27,00:19:11,00:01:32,01:04:40,00:00:33,00:34:56,35,02:00:50
272182,94438,Anja,Knapp,GER,23,00:18:46,00:01:35,01:02:45,00:00:33,00:37:27,36,02:01:04
272182,39909,Tamara,Gomez Garrido,ESP,41,00:19:13,00:01:34,01:05:49,00:00:34,00:34:05,37,02:01:14
272182,17670,Sara,Vilic,AUT,50,00:18:48,00:01:37,01:02:41,00:00:34,00:37:38,38,02:01:16
272182,12786,Mariko,Adachi,JPN,71,00:18:13,00:01:36,01:03:17,00:00:32,00:37:42,39,02:01:18
272182,11084,Margit,Vanek,HUN,36,00:18:16,00:01:39,01:02:28,00:00:36,00:38:42,40,02:01:40
272182,9345,Gillian,Sanders,RSA,37,00:18:51,00:01:32,01:02:44,00:00:35,00:38:03,41,02:01:44
272182,50312,Line,Thams,DEN,61,00:18:09,00:01:32,01:02:40,00:00:31,00:39:00,42,02:01:50
272182,7730,Rebecca,Spence,NZL,55,00:18:54,00:01:31,01:02:41,00:00:36,00:38:34,43,02:02:13
272182,14196,Mariya,Shorets,RUS,49,00:18:57,00:01:41,01:04:47,00:00:33,00:36:23,44,02:02:19
272182,51437,Rebecca,Clarke,NZL,59,00:17:57,00:01:34,01:02:49,00:00:33,00:39:51,45,02:02:43
272182,39687,Carolina,Routier,ESP,33,00:17:52,00:01:34,01:02:55,00:00:40,00:39:52,46,02:02:51
272182,17984,Arina,Shulgina,ITU,48,00:19:25,00:01:35,01:05:36,00:00:32,00:35:47,47,02:02:54
272182,46680,Valentina,Carvallo,CHI,60,00:19:12,00:01:36,01:05:46,00:00:35,00:35:54,48,02:03:01
272182,81334,Taylor,Spivey,USA,72,00:18:53,00:01:36,01:02:37,00:00:37,00:39:33,49,02:03:13
272182,5454,Erin,Densham,AUS,28,00:19:27,00:01:35,01:05:30,00:00:36,00:36:14,50,02:03:19
272182,85453,Renee,Tomlin,USA,18,00:19:08,00:01:32,01:04:44,00:00:38,00:37:33,51,02:03:33
272182,72769,Claire,Michel,BEL,63,00:18:52,00:01:36,01:06:11,00:00:34,00:36:34,52,02:03:44
272182,7757,Zsófia,Kovács,HUN,43,00:19:27,00:01:35,01:05:34,00:00:31,00:36:50,53,02:03:55
272182,39382,Amelie,Kretz,CAN,32,00:18:15,00:01:37,01:02:30,00:00:36,00:41:24,54,02:04:19
272182,5560,Mateja,Šimic,SLO,46,00:19:07,00:01:40,01:05:44,00:00:33,00:37:19,55,02:04:22
272182,70613,India,Lee,GBR,73,00:19:24,00:01:44,01:05:29,00:00:34,00:37:53,56,02:05:02
272182,15346,Romina,Palacio Balena,ARG,62,00:19:23,00:01:36,01:05:35,00:00:37,00:38:08,57,02:05:17
272182,25176,Cecilia,Perez,MEX,66,00:18:48,00:01:41,01:04:58,00:00:33,00:39:26,58,02:05:24
272182,17285,Yuko,Takahashi,JPN,39,00:19:30,00:01:46,01:06:17,00:00:31,00:37:24,59,02:05:26
272182,15747,Emma,Jackson,AUS,29,00:18:49,00:01:31,01:05:06,00:00:35,00:39:36,60,02:05:35
272182,11343,Maaike,Caelers,NED,34,00:19:47,00:01:33,01:06:12,00:00:33,00:37:55,61,02:05:57
272182,21487,Romina,Biagioli,ARG,70,00:18:48,00:01:35,01:05:03,00:00:37,00:40:16,62,02:06:18
272182,9852,Alexandra,Razarenova,RUS,35,00:19:33,00:01:41,01:05:19,00:00:32,00:39:28,63,02:06:31
272182,32831,Adriana,Barraza,MEX,74,00:19:25,00:01:46,01:06:22,00:00:34,00:38:40,64,02:06:45
272182,7915,Long,Hoi,MAC,75,00:19:48,00:01:36,01:06:09,00:00:34,00:38:41,65,02:06:45
272182,26478,Petra,Kurikova,CZE,68,00:19:23,00:01:35,01:05:38,00:00:34,00:39:46,66,02:06:54
272182,7436,Erin,Storie,USA,54,00:19:12,00:01:40,01:05:46,00:00:34,00:39:58,67,02:07:08
272182,23920,Jessica,Broderick,USA,47,00:19:00,00:01:34,00:00:00,00:00:00,00:00:00,LAP,LAP
272182,47782,Luisa,Baptista,BRA,76,00:19:49,00:01:33,00:00:00,00:00:00,00:00:00,LAP,LAP
272182,92721,Julie,Stupp,USA,77,00:17:56,00:01:47,01:06:56,00:00:40,00:00:00,DNF,DNF
272182,15946,Elena,Danilova,RUS,64,00:19:33,00:01:44,01:06:17,00:00:37,00:00:00,DNF,DNF
272182,5467,Vendula,Frintova,CZE,16,00:18:14,00:01:30,00:00:00,00:00:00,00:00:00,DNF,DNF
272182,11503,Sarah-Anne,Brault,CAN,42,00:19:29,00:01:36,00:00:00,00:00:00,00:00:00,DNF,DNF
272182,30295,Katrien,Verstuyft,BEL,44,00:19:28,00:01:41,00:00:00,00:00:00,00:00:00,DNF,DNF
272182,7825,Kirsten,Sweetland,CAN,57,00:19:10,00:01:49,00:00:00,00:00:00,00:00:00,DNF,DNF
