program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
270966,11143,Vincent,Luis,FRA,7,00:09:11,00:00:29,00:27:39,00:00:20,00:14:17,1,00:51:54
270966,5695,Javier,Gomez Noya,ESP,1,00:09:07,00:00:29,00:27:44,00:00:19,00:14:21,2,00:51:58
270966,11402,Mario,Mola,ESP,2,00:09:32,00:00:29,00:28:04,00:00:22,00:13:55,3,00:52:20
270966,49390,Dorian,Coninx,FRA,19,00:09:10,00:00:28,00:27:41,00:00:23,00:14:50,4,00:52:30
270966,10141,Aaron,Royle,AUS,29,00:09:11,00:00:30,00:27:39,00:00:20,00:14:59,5,00:52:37
270966,30433,Henri,Schoeman,RSA,9,00:09:08,00:00:33,00:27:39,00:00:20,00:15:02,6,00:52:40
270966,33841,Anthony,Pujades,FRA,48,00:09:03,00:00:29,00:27:46,00:00:23,00:15:05,7,00:52:45
270966,11092,Richard,Varga,SVK,14,00:09:02,00:00:33,00:27:44,00:00:23,00:15:06,8,00:52:47
270966,10536,Joao,Pereira,POR,11,00:09:31,00:00:30,00:28:07,00:00:19,00:14:24,9,00:52:50
270966,41060,Justus,Nieschlag,GER,12,00:09:11,00:00:29,00:27:39,00:00:18,00:15:16,10,00:52:52
270966,16392,Richard,Murray,RSA,4,00:09:33,00:00:28,00:28:02,00:00:22,00:14:31,11,00:52:56
270966,5320,Sven,Riederer,SUI,8,00:09:32,00:00:29,00:28:02,00:00:23,00:14:38,12,00:53:02
270966,11162,Rostislav,Pevtsov,AZE,33,00:09:32,00:00:31,00:28:10,00:00:24,00:14:30,13,00:53:04
270966,11001,Gábor,Faldum,HUN,23,00:09:20,00:00:29,00:28:20,00:00:19,00:14:40,14,00:53:05
270966,28500,Ryan,Bailie,AUS,6,00:09:37,00:00:30,00:28:04,00:00:26,00:14:32,15,00:53:07
270966,30058,Andreas,Schilling,DEN,66,00:09:34,00:00:31,00:27:59,00:00:22,00:14:43,16,00:53:08
270966,10539,Joao,Silva,POR,15,00:09:16,00:00:30,00:28:27,00:00:25,00:14:33,17,00:53:09
270966,10858,Gregor,Buchholz,GER,31,00:09:35,00:00:31,00:28:05,00:00:20,00:14:41,18,00:53:10
270966,7743,Alexander,Bryukhankov,RUS,21,00:09:15,00:00:29,00:28:28,00:00:24,00:14:37,19,00:53:11
270966,41322,Kristian,Blummenfelt,NOR,43,00:09:29,00:00:31,00:28:05,00:00:22,00:14:48,20,00:53:13
270966,11408,Tamás,Tóth,HUN,38,00:09:21,00:00:29,00:28:22,00:00:23,00:14:43,21,00:53:15
