program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
270769,40887,Gwen,Jorgensen,USA,1,00:00:00,00:00:00,00:28:56,00:00:44,00:16:00,1,00:55:45
270769,68698,Katie,Zaferes,USA,2,00:00:00,00:00:00,00:28:56,00:00:33,00:16:32,2,00:56:06
270769,6246,Sarah,True,USA,4,00:09:22,00:00:45,00:28:56,00:00:33,00:16:33,3,00:56:07
270769,21978,Aileen,Reid,IRL,6,00:09:48,00:00:53,00:28:45,00:00:35,00:16:26,4,00:56:25
270769,7795,Vicky,Holland,GBR,15,00:10:02,00:00:44,00:28:41,00:00:34,00:16:30,5,00:56:28
270769,6783,Andrea,Hewitt,NZL,3,00:09:55,00:00:48,00:28:43,00:00:34,00:16:32,6,00:56:31
270769,6150,Barbara,Riveros,CHI,5,00:10:02,00:00:51,00:28:34,00:00:36,00:16:31,7,00:56:32
270769,12674,Paula,Findlay,CAN,40,00:10:01,00:00:50,00:28:36,00:00:31,00:16:37,8,00:56:32
270769,39382,Amelie,Kretz,CAN,34,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,9,00:56:33
270769,56527,Sophia,Saller,GER,18,00:10:02,00:00:54,00:28:29,00:00:34,00:16:36,10,00:56:33
270769,21847,Sophie,Corbidge,NZL,59,00:10:00,00:00:55,00:28:34,00:00:32,00:16:39,11,00:56:38
270769,5454,Erin,Densham,AUS,32,00:09:48,00:00:46,00:28:51,00:00:35,00:16:41,12,00:56:39
270769,22170,Rachel,Klamer,NED,12,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,13,00:56:44
270769,70413,Laura,Lindemann,GER,26,00:09:51,00:00:50,00:28:48,00:00:36,00:16:43,14,00:56:45
270769,7773,Annamaria,Mazzetti,ITA,56,00:10:01,00:00:47,00:28:39,00:00:29,00:16:53,15,00:56:47
270769,10077,Charlotte,McShane,AUS,11,00:09:56,00:00:52,00:28:38,00:00:30,00:16:53,16,00:56:47
270769,72769,Claire,Michel,BEL,61,00:09:52,00:00:48,00:28:49,00:00:35,00:16:49,17,00:56:51
270769,30295,Katrien,Verstuyft,BEL,53,00:10:00,00:00:50,00:28:39,00:00:32,00:16:56,18,00:56:56
270769,39687,Carolina,Routier,ESP,33,00:09:14,00:00:44,00:29:05,00:00:35,00:17:23,19,00:57:00
