program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
270576,7788,Alistair,Brownlee,GBR,39,00:08:39,00:00:43,00:59:35,00:00:19,00:30:05,1,01:39:19
270576,5695,Javier,Gomez Noya,ESP,1,00:08:32,00:00:42,00:59:44,00:00:18,00:30:09,2,01:39:24
270576,11143,Vincent,Luis,FRA,12,00:08:43,00:00:42,00:59:32,00:00:20,00:30:11,3,01:39:28
270576,16392,Richard,Murray,RSA,4,00:08:47,00:00:46,00:59:26,00:00:19,00:30:24,4,01:39:39
270576,29442,Fernando,Alarza,ESP,3,00:08:46,00:00:44,00:59:28,00:00:17,00:30:37,5,01:39:51
270576,5320,Sven,Riederer,SUI,17,00:08:49,00:00:50,00:59:18,00:00:20,00:30:45,6,01:40:00
270576,30249,Pierre,Le Corre,FRA,5,00:08:42,00:00:41,00:59:39,00:00:16,00:30:52,7,01:40:07
270576,11402,Mario,Mola,ESP,2,00:08:50,00:00:50,00:59:22,00:00:21,00:30:55,8,01:40:16
270576,7503,Crisanto,Grajales,MEX,7,00:08:47,00:00:44,00:59:31,00:00:21,00:31:08,9,01:40:30
270576,10536,Joao,Pereira,POR,10,00:08:49,00:00:47,00:59:28,00:00:21,00:31:10,10,01:40:32
270576,5747,Steffen,Justus,GER,41,00:08:56,00:00:49,00:59:13,00:00:20,00:31:21,11,01:40:37
270576,6442,Jarrod,Shoemaker,USA,20,00:08:52,00:00:55,00:59:22,00:00:20,00:31:15,12,01:40:43
270576,7747,Dmitry,Polyanskiy,RUS,18,00:08:35,00:00:48,00:59:39,00:00:20,00:31:27,13,01:40:47
270576,7743,Alexander,Bryukhankov,RUS,40,00:08:44,00:00:52,00:59:31,00:00:23,00:31:28,14,01:40:56
270576,15944,Brendan,Sexton,AUS,23,00:08:55,00:00:55,00:59:13,00:00:22,00:31:38,15,01:41:01
270576,18714,Kevin,McDowell,USA,29,00:08:44,00:00:45,00:59:33,00:00:22,00:31:43,16,01:41:04
270576,29395,Davide,Uccellari,ITA,42,00:08:55,00:00:55,00:59:19,00:00:20,00:31:44,17,01:41:11
270576,7702,Aurelien,Raphael,FRA,22,00:08:37,00:00:48,00:59:36,00:00:21,00:31:54,18,01:41:14
270576,49390,Dorian,Coninx,FRA,43,00:08:34,00:00:44,00:59:40,00:00:18,00:32:03,19,01:41:17
270576,7742,Miguel,Arraiolos,POR,24,00:08:53,00:00:52,00:59:21,00:00:25,00:31:54,20,01:41:23
270576,11315,Andrea,Salvisberg,SUI,34,00:08:45,00:00:45,00:59:31,00:00:22,00:32:05,21,01:41:27
270576,6084,Dan,Wilson,AUS,8,00:08:41,00:00:45,00:59:34,00:00:19,00:32:14,22,01:41:32
270576,9917,Diogo,Sclebin,BRA,30,00:09:05,00:00:48,00:59:10,00:00:23,00:32:11,23,01:41:35
270576,10554,Aurélien,Lescure,FRA,48,00:09:07,00:00:50,00:59:09,00:00:20,00:32:12,24,01:41:36
270576,41322,Kristian,Blummenfelt,NOR,37,00:08:51,00:00:48,00:59:20,00:00:21,00:32:28,25,01:41:46
270576,39330,Sean,Jefferson,USA,59,00:09:04,00:00:55,00:59:06,00:00:20,00:32:28,26,01:41:51
270576,5331,Danylo,Sapunov,UKR,49,00:08:59,00:00:53,00:59:18,00:00:23,00:32:24,27,01:41:55
270576,12721,Gregory,Billington,USA,46,00:08:44,00:00:55,00:59:23,00:00:20,00:32:41,28,01:42:01
270576,14181,Igor,Polyanskiy,RUS,16,00:08:41,00:00:47,00:59:36,00:00:22,00:32:41,29,01:42:06
270576,30433,Henri,Schoeman,RSA,9,00:08:38,00:00:49,00:59:33,00:00:19,00:32:50,30,01:42:08
270576,69759,Pablo,Dapena Gonzalez,ESP,70,00:08:38,00:00:49,00:59:39,00:00:19,00:32:49,31,01:42:11
270576,30485,Bob,Haller,LUX,60,00:09:04,00:00:51,00:59:10,00:00:20,00:32:56,32,01:42:17
270576,42038,Aurélien,Lebrun,FRA,51,00:08:52,00:00:50,00:59:24,00:00:18,00:32:57,33,01:42:19
270576,11408,Tamás,Tóth,HUN,27,00:09:08,00:00:44,00:59:16,00:00:24,00:32:52,34,01:42:21
270576,25025,Luca,Facchinetti,ITA,50,00:08:56,00:00:56,00:59:13,00:00:21,00:33:01,35,01:42:25
270576,10858,Gregor,Buchholz,GER,32,00:08:49,00:00:50,00:59:24,00:00:21,00:33:10,36,01:42:32
270576,6236,Premysl,Svarc,CZE,36,00:08:48,00:00:49,00:59:28,00:00:22,00:33:17,37,01:42:42
270576,143997,Joe,Maloy,USA,25,00:08:39,00:00:47,00:59:38,00:00:20,00:33:38,38,01:43:00
270576,39908,Vicente,Hernandez,ESP,6,00:08:50,00:00:48,00:59:24,00:00:24,00:33:43,39,01:43:07
270576,22327,Matthew,Sharpe,CAN,62,00:08:40,00:00:48,00:59:36,00:00:19,00:33:51,40,01:43:12
270576,11060,Alessandro,Fabian,ITA,21,00:08:44,00:00:46,00:59:30,00:00:20,00:34:14,41,01:43:32
270576,71195,Basson,Engelbrecht,RSA,63,00:08:55,00:00:53,00:59:14,00:00:20,00:34:16,42,01:43:35
270576,11064,Andrea,Secchiero,ITA,55,00:08:54,00:00:55,00:59:19,00:00:21,00:34:43,43,01:44:10
270576,67535,Jonas,Schomburg,GER,57,00:08:49,00:00:45,00:59:32,00:00:19,00:34:55,44,01:44:17
270576,40710,Russell,White,IRL,65,00:08:49,00:00:48,00:59:29,00:00:18,00:35:06,45,01:44:29
270576,10539,Joao,Silva,POR,11,00:08:45,00:00:46,00:59:31,00:00:24,00:35:08,46,01:44:31
