program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
272182,40887,Gwen,Jorgensen,USA,1,1077,90,3773,35,00:32:43,1,6936
272182,31438,Non,Stanford,GBR,14,1088,95,3754,35,00:33:14,2,6965
272182,7795,Vicky,Holland,GBR,5,1074,90,3773,34,00:33:32,3,6980
272182,6783,Andrea,Hewitt,NZL,4,1086,90,3763,33,00:33:54,4,7004
272182,22170,Rachel,Klamer,NED,7,1084,94,3759,32,00:34:03,5,7010
272182,11385,Jodie,Stimpson,GBR,67,1094,97,3745,37,00:34:16,6,7028
272182,6246,Sarah,True,USA,3,1074,89,3775,35,00:34:28,7,7039
272182,5576,Ai,Ueda,JPN,26,1131,96,3758,35,00:33:51,8,7049
272182,21978,Aileen,Reid,IRL,11,1085,99,3753,34,00:34:49,9,7057
272182,12785,Juri,Ide,JPN,52,1082,95,3761,33,00:34:50,10,7059
272182,5573,Helen,Jenkins,GBR,53,1083,93,3762,34,00:34:56,11,7066
272182,5526,Emma,Moffatt,AUS,8,1077,97,3765,35,00:35:07,12,7078
272182,10077,Charlotte,McShane,AUS,25,1085,94,3759,30,00:35:19,13,7085
272182,15744,Ashleigh,Gentle,AUS,12,1134,95,3755,33,00:34:35,14,7090
272182,49169,Hanna,Philippin,GER,24,1130,93,3760,36,00:34:37,15,7095
272182,6150,Barbara,Riveros,CHI,9,1134,87,3764,35,00:34:42,16,7099
272182,7776,Flora,Duffy,BER,6,1072,94,3769,34,00:35:37,17,7104
272182,7781,Rebecca,Robisch,GER,10,1088,89,3761,33,00:35:41,18,7109
272182,7773,Annamaria,Mazzetti,ITA,31,1099,88,3752,33,00:35:52,19,7122
272182,11133,Agnieszka,Jerzyk,POL,58,1145,92,3748,33,00:35:26,20,7142
272182,56527,Sophia,Saller,GER,19,1137,94,3757,35,00:35:26,21,7147
272182,45790,Jolanda,Annen,SUI,38,1102,95,3788,31,00:35:41,22,7155
272182,58503,Yurie,Kato,JPN,56,1093,97,3751,32,00:36:25,23,7156
272182,68698,Katie,Zaferes,USA,2,1070,95,3780,36,00:36:25,24,7165
272182,11879,Lisa,Perterer,AUT,17,0,0,3764,35,00:35:47,25,7165
272182,21841,Simone,Ackermann,RSA,45,1084,94,3763,34,00:36:45,26,7178
272182,39450,Gillian,Backhouse,AUS,22,1127,94,3762,32,00:36:07,27,7180
272182,46579,Anastasia,Abrosimova,RUS,51,1075,95,3775,37,00:36:58,28,7198
