program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
272181,11402,Mario,Mola,ESP,2,993,64,3470,29,00:28:59,1,6293
272181,5695,Javier,Gomez Noya,ESP,1,996,64,3466,28,00:29:06,2,6297
272181,16392,Richard,Murray,RSA,4,1039,65,3422,31,00:29:40,3,6335
272181,7503,Crisanto,Grajales,MEX,15,1001,67,3460,31,00:29:42,4,6340
272181,11143,Vincent,Luis,FRA,3,990,64,3471,28,00:29:53,5,6344
272181,29442,Fernando,Alarza,ESP,5,995,64,3471,29,00:29:55,6,6352
272181,10141,Aaron,Royle,AUS,11,986,68,3471,30,00:30:11,7,6363
272181,39974,Jelle,Geens,BEL,52,1039,65,3423,30,00:30:15,8,6370
272181,10536,Joao,Pereira,POR,8,1009,66,3449,30,00:30:18,9,6370
272181,28500,Ryan,Bailie,AUS,6,1008,66,3452,31,00:30:18,10,6373
272181,11162,Rostislav,Pevtsov,AZE,32,1042,66,3422,32,00:30:14,11,6375
272181,11378,Jonathan,Brownlee,GBR,12,989,63,3471,30,00:30:27,12,6379
272181,30249,Pierre,Le Corre,FRA,10,993,66,3471,29,00:30:26,13,6382
272181,5320,Sven,Riederer,SUI,14,1006,69,3449,31,00:30:32,14,6385
272181,7747,Dmitry,Polyanskiy,RUS,41,999,69,3461,32,00:30:29,15,6388
272181,11060,Alessandro,Fabian,ITA,25,989,69,3467,30,00:30:37,16,6390
272181,15371,Gonzalo Raul,Tellechea,ARG,45,1046,70,3413,32,00:30:34,17,6393
272181,14181,Igor,Polyanskiy,RUS,16,987,69,3472,32,00:30:39,18,6396
272181,29395,Davide,Uccellari,ITA,56,1027,66,3438,31,00:30:41,19,6401
272181,17043,Ben,Kanute,USA,36,997,65,3424,31,00:31:26,20,6402
272181,49411,Tyler,Mislawchuk,CAN,30,996,64,3467,30,00:30:48,21,6403
272181,17069,Luciano,Taccone,ARG,64,1037,71,3421,32,00:30:47,22,6407
272181,10539,Joao,Silva,POR,23,998,67,3463,31,00:30:59,23,6416
272181,5591,Courtney,Atkinson,AUS,60,1004,68,3452,30,00:31:07,24,6420
272181,11001,Gábor,Faldum,HUN,20,999,66,3460,28,00:31:17,25,6428
272181,32470,Adam,Bowden,GBR,33,1033,71,3423,37,00:31:08,26,6431
272181,11408,Tamás,Tóth,HUN,47,1041,73,3418,32,00:31:13,27,6433
272181,5747,Steffen,Justus,GER,22,1019,69,3437,32,00:31:20,28,6436
272181,11508,Andrew,Yorke,CAN,26,1030,70,3429,31,00:31:19,29,6437
272181,41060,Justus,Nieschlag,GER,21,1001,65,3459,28,00:31:36,30,6447
272181,25025,Luca,Facchinetti,ITA,66,1018,68,3441,30,00:31:36,31,6451
272181,18714,Kevin,McDowell,USA,27,1004,68,3455,31,00:31:36,32,6452
272181,5864,Manuel,Huerta,PUR,67,1036,69,3424,29,00:31:40,33,6456
272181,11818,Ryan,Sissons,NZL,24,1024,63,3438,29,00:31:46,34,6458
272181,6236,Premysl,Svarc,CZE,63,1025,77,3428,31,00:31:40,35,6461
272181,7742,Miguel,Arraiolos,POR,35,1042,65,3419,30,00:31:52,36,6465
272181,10767,Jason,Wilson,BAR,29,997,67,3466,36,00:31:44,37,6467
272181,30433,Henri,Schoeman,RSA,7,990,73,3467,30,00:31:51,38,6469
272181,11315,Andrea,Salvisberg,SUI,28,989,70,3428,31,00:32:37,39,6473
272181,39330,Sean,Jefferson,USA,77,1042,65,3423,28,00:31:58,40,6475
272181,9917,Diogo,Sclebin,BRA,55,1031,75,3423,33,00:32:01,41,6481
272181,5718,David,Hauss,FRA,54,1031,71,3427,32,00:32:10,42,6489
272181,5929,Reinaldo,Colucci,BRA,71,1039,71,3380,29,00:33:00,43,6497
272181,16315,Kohei,Tsubaki,JPN,73,1033,67,3431,29,00:32:27,44,6505
272181,12773,Rodrigo,Gonzalez,MEX,49,1042,67,3423,32,00:32:27,45,6508
272181,6707,Jan,Celustka,CZE,59,1029,70,3429,30,00:32:46,46,6522
272181,21622,Alois,Knabl,AUT,53,999,69,3462,31,00:32:50,47,6528
272181,31810,Jumpei,Furuya,JPN,74,1038,66,3424,28,00:33:08,48,6542
272181,10858,Gregor,Buchholz,GER,48,1037,66,3540,30,00:31:37,49,6568
272181,10166,Simon,De Cuyper,BEL,72,1038,64,3426,28,00:33:38,50,6572
272181,5742,Yuichi,Hosoda,JPN,50,1037,70,3425,31,00:33:40,51,6581
272181,49390,Dorian,Coninx,FRA,17,992,66,3469,28,00:34:21,52,6613
272181,41276,Marco,Van Der Stel,NED,61,1007,69,3412,29,00:35:10,53,6626
272181,143997,Joe,Maloy,USA,40,993,73,3463,30,00:34:36,54,6633
272181,39875,Mark,Buckingham,GBR,42,1033,64,3598,30,00:32:02,55,6644
272181,16522,Felipe,Barraza,CHI,58,1002,70,3457,32,00:34:55,56,6655
272181,57167,Cesar,Saracho,MEX,70,1046,72,3577,33,00:32:20,57,6665
272181,33841,Anthony,Pujades,FRA,31,1008,67,3452,29,00:35:13,58,6667
272181,5849,Sergio,Sarmiento,MEX,69,1062,70,3561,28,00:32:46,59,6685
272181,67535,Jonas,Schomburg,GER,68,992,68,3599,33,00:33:20,60,6690
272181,5654,Ryosuke,Yamamoto,JPN,75,1047,73,3575,29,00:33:25,61,6727
