program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
270294,40887,Gwen,Jorgensen,USA,1,608,33,1907,31,00:15:57,1,3539
270294,68698,Katie,Zaferes,USA,11,582,38,1891,28,00:16:53,2,3555
270294,7776,Flora,Duffy,BER,37,602,31,1855,28,00:17:23,3,3563
270294,6150,Barbara,Riveros,CHI,17,607,34,1902,28,00:16:43,4,3577
270294,6783,Andrea,Hewitt,NZL,3,603,35,1903,26,00:16:48,5,3578
270294,30090,Lindsey,Jerdonek,USA,18,587,34,1869,25,00:17:41,6,3580
270294,10077,Charlotte,McShane,AUS,24,595,35,1914,25,00:16:53,7,3584
270294,18592,Yuka,Sato,JPN,21,579,36,1899,25,00:17:27,8,3588
270294,6246,Sarah,True,USA,2,580,37,1895,29,00:17:27,9,3591
270294,44045,Kaitlin,Donner,USA,28,602,38,1909,27,00:16:54,10,3593
270294,7781,Rebecca,Robisch,GER,16,606,32,1904,28,00:17:01,11,3594
270294,49169,Hanna,Philippin,GER,34,605,35,1904,29,00:16:58,12,3595
270294,70413,Laura,Lindemann,GER,65,590,34,1922,28,00:16:59,13,3595
270294,63163,Cassandre,Beaugrand,FRA,59,587,33,1926,27,00:17:00,14,3597
270294,17285,Yuko,Takahashi,JPN,32,579,34,1900,23,00:17:41,15,3600
270294,15515,Anne,Haug,GER,22,613,33,1896,25,00:17:16,16,3606
270294,11385,Jodie,Stimpson,GBR,4,603,34,1905,30,00:17:14,17,3611
270294,39909,Tamara,Gomez Garrido,ESP,60,605,35,1908,28,00:17:13,18,3612
270294,39687,Carolina,Routier,ESP,27,570,35,1909,28,00:17:50,19,3615
270294,22170,Rachel,Klamer,NED,9,604,34,1906,28,00:17:20,20,3616
270294,6120,Lisa,Norden,SWE,50,593,35,1860,27,00:18:20,21,3617
270294,11343,Maaike,Caelers,NED,31,618,34,1934,26,00:16:49,22,3623
270294,5526,Emma,Moffatt,AUS,12,610,37,1897,27,00:17:38,23,3632
270294,21978,Aileen,Reid,IRL,5,583,41,1919,30,00:17:38,24,3633
270294,5467,Vendula,Frintova,CZE,8,610,35,1940,25,00:17:03,25,3636
270294,5576,Ai,Ueda,JPN,14,617,35,1935,24,00:17:03,26,3637
270294,17984,Arina,Shulgina,ITU,42,611,36,1944,27,00:16:58,27,3639
270294,30383,Miriam,Casillas García,ESP,62,613,35,1899,27,00:17:49,28,3645
270294,7436,Erin,Storie,USA,48,577,37,1900,27,00:18:23,29,3647
270294,47174,Ditte,Kristensen,DEN,43,600,38,1911,26,00:17:53,30,3651
270294,11879,Lisa,Perterer,AUT,25,610,43,1932,28,00:17:15,31,3652
270294,56556,Audrey,Merle,FRA,61,593,35,1963,26,00:17:12,32,3653
270294,56527,Sophia,Saller,GER,49,606,34,1909,26,00:17:55,33,3654
270294,5376,Ainhoa,Murua Zubizarreta,ESP,20,597,35,1913,29,00:17:58,34,3655
270294,18721,Lucy,Hall,GBR,19,577,35,1877,31,00:18:53,35,3656
270294,39371,Ellen,Pennock,CAN,38,588,34,1927,29,00:17:58,36,3659
270294,50312,Line,Thams,DEN,46,603,36,1904,25,00:18:09,37,3660
270294,14196,Mariya,Shorets,RUS,36,605,37,1906,28,00:18:12,38,3670
270294,45790,Jolanda,Annen,SUI,58,599,35,1910,28,00:18:16,39,3670
270294,7771,Charlotte,Bonin,ITA,15,600,35,1915,27,00:18:11,40,3671
270294,7646,Claudia,Rivas,MEX,10,613,36,1901,30,00:18:12,41,3673
270294,66129,Heather,Sellars,GBR,63,602,40,1949,31,00:17:34,42,3678
270294,30295,Katrien,Verstuyft,BEL,30,620,34,1934,23,00:17:46,43,3680
270294,58503,Yurie,Kato,JPN,33,598,35,1955,27,00:17:53,44,3690
270294,9852,Alexandra,Razarenova,RUS,29,613,34,1942,27,00:17:52,45,3692
270294,11292,Sofie,Hooghe,BEL,51,611,35,1940,32,00:17:56,46,3697
270294,121633,Oleksandra,Kokhan,UKR,55,616,36,1936,29,00:17:58,47,3698
270294,11316,Celine,Schaerer,SUI,47,574,43,1894,29,00:19:34,48,3717
270294,6144,Mari,Rabie,RSA,39,588,35,1923,27,00:19:08,49,3724
270294,68330,Emma,Pallant,GBR,53,635,34,1978,29,00:17:26,50,3725
270294,12804,Carlyn,Fischer,RSA,57,620,34,1990,24,00:17:41,51,3733
270294,12785,Juri,Ide,JPN,7,613,37,1997,27,00:17:51,52,3748
270294,7817,Yuliya,Yelistratova,UKR,44,612,40,1996,30,00:18:00,53,3761
270294,15946,Elena,Danilova,RUS,41,620,35,1993,30,00:18:03,54,3764
270294,11133,Agnieszka,Jerzyk,POL,26,623,32,1990,27,00:18:12,55,3767
270294,26478,Petra,Kurikova,CZE,54,615,41,1993,26,00:18:23,56,3780
270294,6386,Aoi,Kuramoto,JPN,52,609,33,2005,30,00:18:54,57,3814
270294,47942,Melanie,Santos,POR,56,590,37,1964,27,00:20:26,58,3847
270294,39913,Gaia,Peron,TUR,40,574,45,2031,29,00:20:02,59,3883
270294,22174,Melina,Alonso Aradas,ESP,64,621,34,1992,28,00:20:32,60,3911
