program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
270293,11402,Mario,Mola,ESP,2,543,27,1701,36,00:14:03,1,3152
270293,11143,Vincent,Luis,FRA,5,546,31,1703,23,00:14:19,2,3165
270293,16392,Richard,Murray,RSA,7,552,33,1694,22,00:14:26,3,3170
270293,10539,Joao,Silva,POR,12,543,31,1703,25,00:14:37,4,3182
270293,11378,Jonathan,Brownlee,GBR,3,549,30,1704,23,00:14:35,5,3183
270293,5695,Javier,Gomez Noya,ESP,1,539,31,1713,23,00:14:43,6,3192
270293,29442,Fernando,Alarza,ESP,11,537,32,1713,24,00:14:47,7,3197
270293,14181,Igor,Polyanskiy,RUS,22,533,30,1718,25,00:14:49,8,3198
270293,39908,Vicente,Hernandez,ESP,21,544,32,1705,26,00:14:50,9,3200
270293,5320,Sven,Riederer,SUI,14,548,32,1697,24,00:15:04,10,3208
270293,11001,Gábor,Faldum,HUN,43,549,29,1705,21,00:15:03,11,3211
270293,6084,Dan,Wilson,AUS,16,533,34,1711,25,00:15:07,12,3213
270293,10536,Joao,Pereira,POR,4,544,31,1706,24,00:15:07,13,3215
270293,28500,Ryan,Bailie,AUS,8,540,33,1712,26,00:15:02,14,3216
270293,30433,Henri,Schoeman,RSA,34,530,34,1714,23,00:15:12,15,3216
270293,11060,Alessandro,Fabian,ITA,17,535,32,1713,23,00:15:15,16,3221
270293,7702,Aurelien,Raphael,FRA,23,529,32,1721,24,00:15:15,17,3224
270293,10141,Aaron,Royle,AUS,9,535,32,1714,27,00:15:15,18,3225
270293,7503,Crisanto,Grajales,MEX,20,549,32,1701,26,00:15:16,19,3228
270293,32470,Adam,Bowden,GBR,15,543,35,1703,27,00:15:19,20,3229
270293,41060,Justus,Nieschlag,GER,51,546,33,1701,21,00:15:28,21,3231
270293,40311,Marten,Van Riel,BEL,53,535,29,1719,24,00:15:26,22,3235
270293,11408,Tamás,Tóth,HUN,54,550,31,1703,24,00:15:27,23,3239
270293,11092,Richard,Varga,SVK,18,529,35,1719,25,00:15:29,24,3241
270293,11162,Rostislav,Pevtsov,AZE,25,560,32,1728,25,00:14:54,25,3242
270293,6442,Jarrod,Shoemaker,USA,19,559,34,1729,25,00:14:55,26,3245
270293,47188,Gordon,Benson,GBR,46,544,33,1708,25,00:15:38,27,3252
270293,33841,Anthony,Pujades,FRA,39,527,32,1720,24,00:15:49,28,3255
270293,11095,Franz,Loeschke,GER,45,541,31,1707,27,00:15:47,29,3256
270293,40452,Conor,Murphy,IRL,41,551,32,1702,24,00:15:44,30,3257
270293,39875,Mark,Buckingham,GBR,40,555,32,1733,25,00:15:11,31,3259
270293,49385,Raphael,Montoya,FRA,58,554,33,1737,25,00:15:11,32,3262
270293,11315,Andrea,Salvisberg,SUI,32,539,33,1713,25,00:15:50,33,3262
270293,11508,Andrew,Yorke,CAN,30,560,32,1729,26,00:15:15,34,3265
270293,10842,Lawrence,Fanous,JOR,56,547,31,1703,25,00:15:59,35,3268
270293,6236,Premysl,Svarc,CZE,48,557,31,1730,27,00:15:23,36,3272
270293,5551,Bryan,Keane,IRL,29,560,34,1726,26,00:15:26,37,3274
270293,21622,Alois,Knabl,AUT,33,533,33,1719,26,00:16:02,38,3275
270293,23544,Andrea,De Ponti,ITA,36,552,30,1698,27,00:16:05,39,3276
270293,18332,Carlos Javier,Quinchara Forero,COL,49,547,33,1704,23,00:16:14,40,3286
270293,31824,David,Castro Fajardo,ESP,55,553,31,1734,26,00:15:45,41,3291
270293,7742,Miguel,Arraiolos,POR,28,560,31,1731,25,00:15:42,42,3293
270293,7796,Francesc,Godoy Contreras,ESP,35,531,33,1719,22,00:16:26,43,3294
270293,6202,Kyle,Jones,CAN,27,557,33,1732,24,00:15:46,44,3295
270293,11064,Andrea,Secchiero,ITA,50,543,31,1712,26,00:16:24,45,3299
270293,5331,Danylo,Sapunov,UKR,37,560,34,1728,26,00:15:50,46,3301
270293,30058,Andreas,Schilling,DEN,47,547,32,1736,26,00:16:04,47,3309
270293,31992,Filipe,Azevedo,POR,63,553,32,1738,25,00:16:00,48,3312
270293,15838,Lukas,Hollaus,AUT,44,557,33,1728,27,00:16:07,49,3315
270293,29395,Davide,Uccellari,ITA,24,558,33,1733,23,00:16:10,50,3320
270293,49390,Dorian,Coninx,FRA,38,531,33,1718,25,00:16:53,51,3323
270293,7167,Gaspar,Riveros,CHI,59,556,34,1731,26,00:16:15,52,3325
270293,29226,Matthew,Wright,BAR,64,562,32,1728,26,00:16:21,53,3331
270293,11936,Neil,Peters,LUX,65,558,32,1730,24,00:17:16,54,3383
270293,41871,Amitai,Yonah,ISR,61,565,32,1909,28,00:15:02,55,3439
270293,82410,Alan,Webb,USA,60,564,36,1908,25,00:15:04,56,3440
270293,15944,Brendan,Sexton,AUS,26,556,33,1846,26,00:16:39,57,3462
270293,33941,Travis,Johnston,RSA,57,634,34,1840,24,00:16:39,58,3534
270293,23826,Tomas,Renc,CZE,62,573,34,2032,33,00:18:14,59,3769
