program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
270769,40887,Gwen,Jorgensen,USA,1,0,0,1736,44,00:16:00,1,3345
270769,68698,Katie,Zaferes,USA,2,0,0,1736,33,00:16:32,2,3366
270769,6246,Sarah,True,USA,4,562,45,1736,33,00:16:33,3,3367
270769,21978,Aileen,Reid,IRL,6,588,53,1725,35,00:16:26,4,3385
270769,7795,Vicky,Holland,GBR,15,602,44,1721,34,00:16:30,5,3388
270769,6783,Andrea,Hewitt,NZL,3,595,48,1723,34,00:16:32,6,3391
270769,6150,Barbara,Riveros,CHI,5,602,51,1714,36,00:16:31,7,3392
270769,12674,Paula,Findlay,CAN,40,601,50,1716,31,00:16:37,8,3392
270769,39382,Amelie,Kretz,CAN,34,0,0,0,0,00:00:00,9,3393
270769,56527,Sophia,Saller,GER,18,602,54,1709,34,00:16:36,10,3393
270769,21847,Sophie,Corbidge,NZL,59,600,55,1714,32,00:16:39,11,3398
270769,5454,Erin,Densham,AUS,32,588,46,1731,35,00:16:41,12,3399
270769,22170,Rachel,Klamer,NED,12,0,0,0,0,00:00:00,13,3404
270769,70413,Laura,Lindemann,GER,26,591,50,1728,36,00:16:43,14,3405
270769,7773,Annamaria,Mazzetti,ITA,56,601,47,1719,29,00:16:53,15,3407
270769,10077,Charlotte,McShane,AUS,11,596,52,1718,30,00:16:53,16,3407
270769,72769,Claire,Michel,BEL,61,592,48,1729,35,00:16:49,17,3411
270769,30295,Katrien,Verstuyft,BEL,53,600,50,1719,32,00:16:56,18,3416
270769,39687,Carolina,Routier,ESP,33,554,44,1745,35,00:17:23,19,3420
270769,5376,Ainhoa,Murua Zubizarreta,ESP,19,0,0,1736,33,00:17:28,20,3422
270769,49169,Hanna,Philippin,GER,16,597,49,1719,34,00:17:07,21,3424
270769,7730,Rebecca,Spence,NZL,67,590,46,1732,33,00:17:05,22,3425
270769,11084,Margit,Vanek,HUN,31,557,51,1736,35,00:17:30,23,3427
270769,17670,Sara,Vilic,AUT,35,576,45,1745,31,00:17:19,24,3434
270769,45790,Jolanda,Annen,SUI,39,576,51,1741,34,00:17:21,25,3441
270769,45907,Natalie,Van Coevorden,AUS,46,572,0,0,0,00:00:00,26,3446
270769,50760,Sophie,Coldwell,GBR,65,561,49,1734,30,00:17:59,27,3450
270769,94438,Anja,Knapp,GER,57,577,46,1745,38,00:17:33,28,3457
270769,18592,Yuka,Sato,JPN,10,564,49,1754,36,00:17:35,29,3457
270769,5576,Ai,Ueda,JPN,14,613,47,1767,32,00:16:42,30,3460
270769,56556,Audrey,Merle,FRA,51,596,56,1776,32,00:16:45,31,3463
270769,9345,Gillian,Sanders,RSA,21,598,45,1724,35,00:17:51,32,3471
270769,50312,Line,Thams,DEN,44,595,52,1722,38,00:17:46,33,3471
270769,47174,Ditte,Kristensen,DEN,49,0,0,0,0,00:00:00,34,3479
270769,5467,Vendula,Frintova,CZE,7,609,45,1773,33,00:17:01,35,3479
270769,31438,Non,Stanford,GBR,28,608,50,1769,34,00:17:00,36,3479
270769,11503,Sarah-Anne,Brault,CAN,23,587,54,1728,37,00:17:56,37,3479
270769,7757,Zsófia,Kovács,HUN,58,608,49,1771,30,00:17:11,38,3487
270769,15747,Emma,Jackson,AUS,55,589,63,1776,31,00:17:15,39,3492
270769,90199,Emma,Bilham,SUI,64,591,48,1727,34,00:18:16,40,3493
270769,39913,Gaia,Peron,TUR,62,564,50,1756,34,00:18:19,41,3500
270769,6144,Mari,Rabie,RSA,45,602,44,1721,33,00:18:23,42,3501
270769,11133,Agnieszka,Jerzyk,POL,42,610,46,1772,31,00:17:31,43,3507
270769,21841,Simone,Ackermann,RSA,27,578,54,1737,38,00:18:28,44,3512
270769,39909,Tamara,Gomez Garrido,ESP,38,609,53,1827,33,00:16:37,45,3517
270769,12785,Juri,Ide,JPN,22,603,54,1768,35,00:17:44,46,3523
270769,39450,Gillian,Backhouse,AUS,60,588,48,1730,51,00:18:42,47,3536
270769,68330,Emma,Pallant,GBR,30,618,49,1823,37,00:16:55,48,3539
270769,39371,Ellen,Pennock,CAN,54,581,48,1739,36,00:18:58,49,3541
270769,7771,Charlotte,Bonin,ITA,41,609,53,1766,32,00:18:11,50,3550
270769,30090,Lindsey,Jerdonek,USA,8,614,47,1827,31,00:17:18,51,3555
270769,51437,Rebecca,Clarke,NZL,48,585,49,1734,34,00:19:18,52,3559
270769,11343,Maaike,Caelers,NED,24,618,48,1822,34,00:17:32,53,3573
270769,11316,Celine,Schaerer,SUI,63,594,51,1724,33,00:19:38,54,3577
270769,41079,Julia,Hauser,AUT,52,621,0,0,0,00:00:00,55,3590
270769,44045,Kaitlin,Donner,USA,25,606,49,1835,33,00:18:03,56,3604
270769,11292,Sofie,Hooghe,BEL,47,606,53,1828,32,00:18:32,57,3630
270769,30383,Miriam,Casillas García,ESP,29,619,48,1822,35,00:19:05,58,3667
270769,17984,Arina,Shulgina,ITU,43,632,53,1925,35,00:17:07,59,3670
270769,7781,Rebecca,Robisch,GER,9,577,53,1976,37,00:17:12,60,3673
270769,71982,Chelsea,Burns,USA,17,616,63,1929,39,00:17:09,61,3675
270769,17285,Yuko,Takahashi,JPN,20,606,61,1941,34,00:18:21,62,3741
270769,22340,Michelle,Flipo,MEX,50,606,52,2050,40,00:19:17,63,3902
