time,player1,player2,result
100,7776,40887,1
100,7776,10077,1
100,7776,5573,1
100,7776,5576,1
100,7776,5467,1
100,7776,6246,1
100,7776,31438,1
100,7776,14196,1
100,7776,15744,1
100,7776,6144,1
100,7776,7773,1
100,7776,68698,1
100,7776,46579,1
100,7776,7646,1
100,7776,22170,1
100,7776,6783,1
100,7776,85453,1
100,7776,21841,1
100,7776,94438,1
100,7776,9852,1
100,7776,17670,1
100,7776,18721,1
100,7776,6120,1
100,7776,18592,1
100,7776,45907,1
100,7776,39687,1
100,7776,6386,1
100,7776,89532,1
100,7776,78775,1
100,7776,7771,1
100,7776,11503,1
100,7776,11133,1
100,7776,39450,1
100,7776,17285,1
100,7776,74986,1
100,7776,7757,1
100,7776,39381,1
100,7776,12785,1
100,7776,25176,1
100,7776,7436,1
100,7776,72769,1
100,7776,7915,1
100,7776,15747,1
100,7776,7730,1
100,7776,49169,1
100,7776,21486,1
100,7776,30383,1
100,7776,58503,1
100,7776,6069,1
100,7776,7795,1
100,7776,83096,1
100,7776,30090,1
100,7776,5526,1
100,7776,45790,1
100,7776,9345,1
100,40887,10077,1
100,40887,5573,1
100,40887,5576,1
100,40887,5467,1
100,40887,6246,1
100,40887,31438,1
100,40887,14196,1
100,40887,15744,1
100,40887,6144,1
100,40887,7773,1
100,40887,68698,1
100,40887,46579,1
100,40887,7646,1
100,40887,22170,1
100,40887,6783,1
100,40887,85453,1
100,40887,21841,1
100,40887,94438,1
100,40887,9852,1
100,40887,17670,1
100,40887,18721,1
100,40887,6120,1
100,40887,18592,1
100,40887,45907,1
100,40887,39687,1
100,40887,6386,1
100,40887,89532,1
100,40887,78775,1
100,40887,7771,1
100,40887,11503,1
100,40887,11133,1
100,40887,39450,1
100,40887,17285,1
100,40887,74986,1
100,40887,7757,1
100,40887,39381,1
100,40887,12785,1
100,40887,25176,1
100,40887,7436,1
100,40887,72769,1
100,40887,7915,1
100,40887,15747,1
100,40887,7730,1
100,40887,49169,1
100,40887,21486,1
100,40887,30383,1
100,40887,58503,1
100,40887,6069,1
100,40887,7795,1
100,40887,83096,1
100,40887,30090,1
100,40887,5526,1
100,40887,45790,1
100,40887,9345,1
100,10077,5573,1
100,10077,5576,1
100,10077,5467,1
100,10077,6246,1
100,10077,31438,1
100,10077,14196,1
100,10077,15744,1
100,10077,6144,1
100,10077,7773,1
100,10077,68698,1
100,10077,46579,1
100,10077,7646,1
100,10077,22170,1
100,10077,6783,1
100,10077,85453,1
100,10077,21841,1
100,10077,94438,1
100,10077,9852,1
100,10077,17670,1
100,10077,18721,1
100,10077,6120,1
100,10077,18592,1
100,10077,45907,1
100,10077,39687,1
100,10077,6386,1
100,10077,89532,1
100,10077,78775,1
100,10077,7771,1
100,10077,11503,1
100,10077,11133,1
100,10077,39450,1
100,10077,17285,1
100,10077,74986,1
100,10077,7757,1
100,10077,39381,1
100,10077,12785,1
100,10077,25176,1
100,10077,7436,1
100,10077,72769,1
100,10077,7915,1
100,10077,15747,1
100,10077,7730,1
100,10077,49169,1
100,10077,21486,1
100,10077,30383,1
100,10077,58503,1
100,10077,6069,1
100,10077,7795,1
100,10077,83096,1
100,10077,30090,1
100,10077,5526,1
100,10077,45790,1
100,10077,9345,1
100,5573,5576,1
100,5573,5467,1
100,5573,6246,1
100,5573,31438,1
100,5573,14196,1
100,5573,15744,1
100,5573,6144,1
100,5573,7773,1
100,5573,68698,1
100,5573,46579,1
100,5573,7646,1
100,5573,22170,1
100,5573,6783,1
100,5573,85453,1
100,5573,21841,1
100,5573,94438,1
100,5573,9852,1
100,5573,17670,1
100,5573,18721,1
100,5573,6120,1
100,5573,18592,1
100,5573,45907,1
100,5573,39687,1
100,5573,6386,1
100,5573,89532,1
100,5573,78775,1
100,5573,7771,1
100,5573,11503,1
100,5573,11133,1
100,5573,39450,1
100,5573,17285,1
100,5573,74986,1
100,5573,7757,1
100,5573,39381,1
100,5573,12785,1
100,5573,25176,1
100,5573,7436,1
100,5573,72769,1
100,5573,7915,1
100,5573,15747,1
100,5573,7730,1
100,5573,49169,1
100,5573,21486,1
100,5573,30383,1
100,5573,58503,1
100,5573,6069,1
100,5573,7795,1
100,5573,83096,1
100,5573,30090,1
100,5573,5526,1
100,5573,45790,1
100,5573,9345,1
100,5576,5467,1
100,5576,6246,1
100,5576,31438,1
100,5576,14196,1
100,5576,15744,1
100,5576,6144,1
100,5576,7773,1
100,5576,68698,1
100,5576,46579,1
100,5576,7646,1
100,5576,22170,1
100,5576,6783,1
100,5576,85453,1
100,5576,21841,1
100,5576,94438,1
100,5576,9852,1
100,5576,17670,1
100,5576,18721,1
100,5576,6120,1
100,5576,18592,1
100,5576,45907,1
100,5576,39687,1
100,5576,6386,1
100,5576,89532,1
100,5576,78775,1
100,5576,7771,1
100,5576,11503,1
100,5576,11133,1
100,5576,39450,1
100,5576,17285,1
100,5576,74986,1
100,5576,7757,1
100,5576,39381,1
100,5576,12785,1
100,5576,25176,1
100,5576,7436,1
100,5576,72769,1
100,5576,7915,1
100,5576,15747,1
100,5576,7730,1
100,5576,49169,1
100,5576,21486,1
100,5576,30383,1
100,5576,58503,1
100,5576,6069,1
100,5576,7795,1
100,5576,83096,1
100,5576,30090,1
100,5576,5526,1
100,5576,45790,1
100,5576,9345,1
100,5467,6246,1
100,5467,31438,1
100,5467,14196,1
100,5467,15744,1
100,5467,6144,1
100,5467,7773,1
100,5467,68698,1
100,5467,46579,1
100,5467,7646,1
100,5467,22170,1
100,5467,6783,1
100,5467,85453,1
100,5467,21841,1
100,5467,94438,1
100,5467,9852,1
100,5467,17670,1
100,5467,18721,1
100,5467,6120,1
100,5467,18592,1
100,5467,45907,1
100,5467,39687,1
100,5467,6386,1
100,5467,89532,1
100,5467,78775,1
