time,player1,player2,result
99,83096,6246,1
99,83096,68698,1
99,83096,7776,1
99,83096,7795,1
99,83096,89532,1
99,83096,31438,1
99,83096,15747,1
99,83096,9345,1
99,83096,45790,1
99,83096,81334,1
99,83096,39687,1
99,83096,7730,1
99,83096,30090,1
99,83096,6069,1
99,83096,47942,1
99,83096,29235,1
99,83096,6144,1
99,83096,22170,1
99,83096,17670,1
99,83096,39450,1
99,83096,49169,1
99,83096,6783,1
99,83096,78775,1
99,83096,7436,1
99,83096,21841,1
99,83096,94438,1
99,83096,64750,1
99,83096,85453,1
99,83096,23920,1
99,83096,6120,1
99,83096,12674,1
99,83096,7646,1
99,83096,69055,1
99,83096,39381,1
99,83096,17285,1
99,83096,25176,1
99,83096,54913,1
99,83096,98486,1
99,83096,51439,1
99,83096,28114,1
99,83096,18721,1
99,83096,11385,1
99,83096,21847,1
99,83096,5467,1
99,6246,68698,1
99,6246,7776,1
99,6246,7795,1
99,6246,89532,1
99,6246,31438,1
99,6246,15747,1
99,6246,9345,1
99,6246,45790,1
99,6246,81334,1
99,6246,39687,1
99,6246,7730,1
99,6246,30090,1
99,6246,6069,1
99,6246,47942,1
99,6246,29235,1
99,6246,6144,1
99,6246,22170,1
99,6246,17670,1
99,6246,39450,1
99,6246,49169,1
99,6246,6783,1
99,6246,78775,1
99,6246,7436,1
99,6246,21841,1
99,6246,94438,1
99,6246,64750,1
99,6246,85453,1
99,6246,23920,1
99,6246,6120,1
99,6246,12674,1
99,6246,7646,1
99,6246,69055,1
99,6246,39381,1
99,6246,17285,1
99,6246,25176,1
99,6246,54913,1
99,6246,98486,1
99,6246,51439,1
99,6246,28114,1
99,6246,18721,1
99,6246,11385,1
99,6246,21847,1
99,6246,5467,1
99,68698,7776,1
99,68698,7795,1
99,68698,89532,1
99,68698,31438,1
99,68698,15747,1
99,68698,9345,1
99,68698,45790,1
99,68698,81334,1
99,68698,39687,1
99,68698,7730,1
99,68698,30090,1
99,68698,6069,1
99,68698,47942,1
99,68698,29235,1
99,68698,6144,1
99,68698,22170,1
99,68698,17670,1
99,68698,39450,1
99,68698,49169,1
99,68698,6783,1
99,68698,78775,1
99,68698,7436,1
99,68698,21841,1
99,68698,94438,1
99,68698,64750,1
99,68698,85453,1
99,68698,23920,1
99,68698,6120,1
99,68698,12674,1
99,68698,7646,1
99,68698,69055,1
99,68698,39381,1
99,68698,17285,1
99,68698,25176,1
99,68698,54913,1
99,68698,98486,1
99,68698,51439,1
99,68698,28114,1
99,68698,18721,1
99,68698,11385,1
99,68698,21847,1
99,68698,5467,1
99,7776,7795,1
99,7776,89532,1
99,7776,31438,1
99,7776,15747,1
99,7776,9345,1
99,7776,45790,1
99,7776,81334,1
99,7776,39687,1
99,7776,7730,1
99,7776,30090,1
99,7776,6069,1
99,7776,47942,1
99,7776,29235,1
99,7776,6144,1
99,7776,22170,1
99,7776,17670,1
99,7776,39450,1
99,7776,49169,1
99,7776,6783,1
99,7776,78775,1
99,7776,7436,1
99,7776,21841,1
99,7776,94438,1
99,7776,64750,1
99,7776,85453,1
99,7776,23920,1
99,7776,6120,1
99,7776,12674,1
99,7776,7646,1
99,7776,69055,1
99,7776,39381,1
99,7776,17285,1
99,7776,25176,1
99,7776,54913,1
99,7776,98486,1
99,7776,51439,1
99,7776,28114,1
99,7776,18721,1
99,7776,11385,1
99,7776,21847,1
99,7776,5467,1
99,7795,89532,1
99,7795,31438,1
99,7795,15747,1
99,7795,9345,1
99,7795,45790,1
99,7795,81334,1
99,7795,39687,1
99,7795,7730,1
99,7795,30090,1
99,7795,6069,1
99,7795,47942,1
99,7795,29235,1
99,7795,6144,1
99,7795,22170,1
99,7795,17670,1
99,7795,39450,1
99,7795,49169,1
99,7795,6783,1
99,7795,78775,1
99,7795,7436,1
99,7795,21841,1
99,7795,94438,1
99,7795,64750,1
99,7795,85453,1
99,7795,23920,1
99,7795,6120,1
99,7795,12674,1
99,7795,7646,1
99,7795,69055,1
99,7795,39381,1
99,7795,17285,1
99,7795,25176,1
99,7795,54913,1
99,7795,98486,1
99,7795,51439,1
99,7795,28114,1
99,7795,18721,1
99,7795,11385,1
99,7795,21847,1
99,7795,5467,1
99,89532,31438,1
99,89532,15747,1
99,89532,9345,1
99,89532,45790,1
99,89532,81334,1
99,89532,39687,1
99,89532,7730,1
99,89532,30090,1
99,89532,6069,1
99,89532,47942,1
99,89532,29235,1
99,89532,6144,1
99,89532,22170,1
99,89532,17670,1
99,89532,39450,1
99,89532,49169,1
99,89532,6783,1
99,89532,78775,1
99,89532,7436,1
99,89532,21841,1
99,89532,94438,1
99,89532,64750,1
99,89532,85453,1
99,89532,23920,1
99,89532,6120,1
99,89532,12674,1
99,89532,7646,1
99,89532,69055,1
99,89532,39381,1
99,89532,17285,1
99,89532,25176,1
99,89532,54913,1
99,89532,98486,1
99,89532,51439,1
99,89532,28114,1
99,89532,18721,1
99,89532,11385,1
99,89532,21847,1
99,89532,5467,1
99,31438,15747,1
99,31438,9345,1
99,31438,45790,1
99,31438,81334,1
99,31438,39687,1
99,31438,7730,1
99,31438,30090,1
99,31438,6069,1
99,31438,47942,1
99,31438,29235,1
99,31438,6144,1
99,31438,22170,1
99,31438,17670,1
99,31438,39450,1
99,31438,49169,1
99,31438,6783,1
99,31438,78775,1
99,31438,7436,1
99,31438,21841,1
99,31438,94438,1
99,31438,64750,1
99,31438,85453,1
