time,player1,player2,result
99,11378,11402,1
99,11378,16392,1
99,11378,49237,1
99,11378,18719,1
99,11378,5747,1
99,11378,32470,1
99,11378,7778,1
99,11378,41870,1
99,11378,10536,1
99,11378,22327,1
99,11378,30249,1
99,11378,11001,1
99,11378,40710,1
99,11378,46686,1
99,11378,70410,1
99,11378,6186,1
99,11378,18714,1
99,11378,69054,1
99,11378,7503,1
99,11378,6084,1
99,11378,39908,1
99,11378,49084,1
99,11378,24199,1
99,11378,22527,1
99,11378,11818,1
99,11378,11092,1
99,11378,10141,1
99,11378,67535,1
99,11378,10539,1
99,11378,56550,1
99,11378,18417,1
99,11378,55504,1
99,11378,6899,1
99,11378,12773,1
99,11378,55820,1
99,11378,5742,1
99,11378,11095,1
99,11378,51350,1
99,11378,7742,1
99,11378,10166,1
99,11378,47901,1
99,11378,55495,1
99,11378,63402,1
99,11378,29628,1
99,11378,55763,1
99,11378,93752,1
99,11378,30485,1
99,11402,16392,1
99,11402,49237,1
99,11402,18719,1
99,11402,5747,1
99,11402,32470,1
99,11402,7778,1
99,11402,41870,1
99,11402,10536,1
99,11402,22327,1
99,11402,30249,1
99,11402,11001,1
99,11402,40710,1
99,11402,46686,1
99,11402,70410,1
99,11402,6186,1
99,11402,18714,1
99,11402,69054,1
99,11402,7503,1
99,11402,6084,1
99,11402,39908,1
99,11402,49084,1
99,11402,24199,1
99,11402,22527,1
99,11402,11818,1
99,11402,11092,1
99,11402,10141,1
99,11402,67535,1
99,11402,10539,1
99,11402,56550,1
99,11402,18417,1
99,11402,55504,1
99,11402,6899,1
99,11402,12773,1
99,11402,55820,1
99,11402,5742,1
99,11402,11095,1
99,11402,51350,1
99,11402,7742,1
99,11402,10166,1
99,11402,47901,1
99,11402,55495,1
99,11402,63402,1
99,11402,29628,1
99,11402,55763,1
99,11402,93752,1
99,11402,30485,1
99,16392,49237,1
99,16392,18719,1
99,16392,5747,1
99,16392,32470,1
99,16392,7778,1
99,16392,41870,1
99,16392,10536,1
99,16392,22327,1
99,16392,30249,1
99,16392,11001,1
99,16392,40710,1
99,16392,46686,1
99,16392,70410,1
99,16392,6186,1
99,16392,18714,1
99,16392,69054,1
99,16392,7503,1
99,16392,6084,1
99,16392,39908,1
99,16392,49084,1
99,16392,24199,1
99,16392,22527,1
99,16392,11818,1
99,16392,11092,1
99,16392,10141,1
99,16392,67535,1
99,16392,10539,1
99,16392,56550,1
99,16392,18417,1
99,16392,55504,1
99,16392,6899,1
99,16392,12773,1
99,16392,55820,1
99,16392,5742,1
99,16392,11095,1
99,16392,51350,1
99,16392,7742,1
99,16392,10166,1
99,16392,47901,1
99,16392,55495,1
99,16392,63402,1
99,16392,29628,1
99,16392,55763,1
99,16392,93752,1
99,16392,30485,1
99,49237,18719,1
99,49237,5747,1
99,49237,32470,1
99,49237,7778,1
99,49237,41870,1
99,49237,10536,1
99,49237,22327,1
99,49237,30249,1
99,49237,11001,1
99,49237,40710,1
99,49237,46686,1
99,49237,70410,1
99,49237,6186,1
99,49237,18714,1
99,49237,69054,1
99,49237,7503,1
99,49237,6084,1
99,49237,39908,1
99,49237,49084,1
99,49237,24199,1
99,49237,22527,1
99,49237,11818,1
99,49237,11092,1
99,49237,10141,1
99,49237,67535,1
99,49237,10539,1
99,49237,56550,1
99,49237,18417,1
99,49237,55504,1
99,49237,6899,1
99,49237,12773,1
99,49237,55820,1
99,49237,5742,1
99,49237,11095,1
99,49237,51350,1
99,49237,7742,1
99,49237,10166,1
99,49237,47901,1
99,49237,55495,1
99,49237,63402,1
99,49237,29628,1
99,49237,55763,1
99,49237,93752,1
99,49237,30485,1
99,18719,5747,1
99,18719,32470,1
99,18719,7778,1
99,18719,41870,1
99,18719,10536,1
99,18719,22327,1
99,18719,30249,1
99,18719,11001,1
99,18719,40710,1
99,18719,46686,1
99,18719,70410,1
99,18719,6186,1
99,18719,18714,1
99,18719,69054,1
99,18719,7503,1
99,18719,6084,1
99,18719,39908,1
99,18719,49084,1
99,18719,24199,1
99,18719,22527,1
99,18719,11818,1
99,18719,11092,1
99,18719,10141,1
99,18719,67535,1
99,18719,10539,1
99,18719,56550,1
99,18719,18417,1
99,18719,55504,1
99,18719,6899,1
99,18719,12773,1
99,18719,55820,1
99,18719,5742,1
99,18719,11095,1
99,18719,51350,1
99,18719,7742,1
99,18719,10166,1
99,18719,47901,1
99,18719,55495,1
99,18719,63402,1
99,18719,29628,1
99,18719,55763,1
99,18719,93752,1
99,18719,30485,1
99,5747,32470,1
99,5747,7778,1
99,5747,41870,1
99,5747,10536,1
99,5747,22327,1
99,5747,30249,1
99,5747,11001,1
99,5747,40710,1
99,5747,46686,1
99,5747,70410,1
99,5747,6186,1
99,5747,18714,1
99,5747,69054,1
99,5747,7503,1
99,5747,6084,1
99,5747,39908,1
99,5747,49084,1
99,5747,24199,1
99,5747,22527,1
99,5747,11818,1
99,5747,11092,1
99,5747,10141,1
99,5747,67535,1
99,5747,10539,1
99,5747,56550,1
99,5747,18417,1
99,5747,55504,1
99,5747,6899,1
99,5747,12773,1
99,5747,55820,1
99,5747,5742,1
99,5747,11095,1
99,5747,51350,1
99,5747,7742,1
99,5747,10166,1
99,5747,47901,1
99,5747,55495,1
99,5747,63402,1
99,5747,29628,1
99,5747,55763,1
99,5747,93752,1
99,5747,30485,1
99,32470,7778,1
99,32470,41870,1
99,32470,10536,1
99,32470,22327,1
99,32470,30249,1
99,32470,11001,1
99,32470,40710,1
99,32470,46686,1
99,32470,70410,1
99,32470,6186,1
99,32470,18714,1
99,32470,69054,1
99,32470,7503,1
99,32470,6084,1
99,32470,39908,1
99,32470,49084,1
99,32470,24199,1
99,32470,22527,1
99,32470,11818,1
99,32470,11092,1
99,32470,10141,1
99,32470,67535,1
99,32470,10539,1
99,32470,56550,1
99,32470,18417,1
99,32470,55504,1
99,32470,6899,1
99,32470,12773,1
99,32470,55820,1
99,32470,5742,1
99,32470,11095,1
99,32470,51350,1
99,32470,7742,1
99,32470,10166,1
99,32470,47901,1
99,32470,55495,1
99,32470,63402,1
99,32470,29628,1
99,32470,55763,1
99,32470,93752,1
99,32470,30485,1
99,7778,41870,1
99,7778,10536,1
99,7778,22327,1
99,7778,30249,1
99,7778,11001,1
99,7778,40710,1
99,7778,46686,1
99,7778,70410,1
99,7778,6186,1
99,7778,18714,1
99,7778,69054,1
99,7778,7503,1
99,7778,6084,1
99,7778,39908,1
99,7778,49084,1
99,7778,24199,1
99,7778,22527,1
99,7778,11818,1
99,7778,11092,1
99,7778,10141,1
99,7778,67535,1
99,7778,10539,1
99,7778,56550,1
99,7778,18417,1
99,7778,55504,1
99,7778,6899,1
99,7778,12773,1
99,7778,55820,1
99,7778,5742,1
99,7778,11095,1
99,7778,51350,1
99,7778,7742,1
99,7778,10166,1
99,7778,47901,1
99,7778,55495,1
99,7778,63402,1
99,7778,29628,1
99,7778,55763,1
99,7778,93752,1
99,7778,30485,1
99,41870,10536,1
99,41870,22327,1
99,41870,30249,1
99,41870,11001,1
99,41870,40710,1
99,41870,46686,1
99,41870,70410,1
99,41870,6186,1
99,41870,18714,1
99,41870,69054,1
99,41870,7503,1
99,41870,6084,1
99,41870,39908,1
99,41870,49084,1
99,41870,24199,1
99,41870,22527,1
99,41870,11818,1
99,41870,11092,1
99,41870,10141,1
99,41870,67535,1
99,41870,10539,1
99,41870,56550,1
99,41870,18417,1
99,41870,55504,1
99,41870,6899,1
99,41870,12773,1
99,41870,55820,1
99,41870,5742,1
99,41870,11095,1
99,41870,51350,1
99,41870,7742,1
99,41870,10166,1
99,41870,47901,1
99,41870,55495,1
99,41870,63402,1
99,41870,29628,1
99,41870,55763,1
99,41870,93752,1
99,41870,30485,1
99,10536,22327,1
99,10536,30249,1
99,10536,11001,1
99,10536,40710,1
99,10536,46686,1
99,10536,70410,1
99,10536,6186,1
99,10536,18714,1
99,10536,69054,1
99,10536,7503,1
99,10536,6084,1
99,10536,39908,1
99,10536,49084,1
99,10536,24199,1
99,10536,22527,1
99,10536,11818,1
99,10536,11092,1
99,10536,10141,1
99,10536,67535,1
99,10536,10539,1
99,10536,56550,1
99,10536,18417,1
99,10536,55504,1
99,10536,6899,1
99,10536,12773,1
99,10536,55820,1
99,10536,5742,1
99,10536,11095,1
99,10536,51350,1
99,10536,7742,1
99,10536,10166,1
99,10536,47901,1
99,10536,55495,1
99,10536,63402,1
99,10536,29628,1
99,10536,55763,1
99,10536,93752,1
99,10536,30485,1
99,22327,30249,1
99,22327,11001,1
99,22327,40710,1
99,22327,46686,1
99,22327,70410,1
99,22327,6186,1
99,22327,18714,1
99,22327,69054,1
99,22327,7503,1
99,22327,6084,1
99,22327,39908,1
99,22327,49084,1
99,22327,24199,1
99,22327,22527,1
99,22327,11818,1
99,22327,11092,1
99,22327,10141,1
99,22327,67535,1
99,22327,10539,1
99,22327,56550,1
99,22327,18417,1
99,22327,55504,1
99,22327,6899,1
99,22327,12773,1
99,22327,55820,1
99,22327,5742,1
99,22327,11095,1
99,22327,51350,1
99,22327,7742,1
99,22327,10166,1
99,22327,47901,1
99,22327,55495,1
99,22327,63402,1
99,22327,29628,1
99,22327,55763,1
99,22327,93752,1
99,22327,30485,1
99,30249,11001,1
99,30249,40710,1
99,30249,46686,1
99,30249,70410,1
99,30249,6186,1
99,30249,18714,1
99,30249,69054,1
99,30249,7503,1
99,30249,6084,1
99,30249,39908,1
99,30249,49084,1
99,30249,24199,1
99,30249,22527,1
99,30249,11818,1
99,30249,11092,1
99,30249,10141,1
99,30249,67535,1
99,30249,10539,1
99,30249,56550,1
99,30249,18417,1
99,30249,55504,1
99,30249,6899,1
99,30249,12773,1
99,30249,55820,1
99,30249,5742,1
99,30249,11095,1
99,30249,51350,1
99,30249,7742,1
99,30249,10166,1
99,30249,47901,1
99,30249,55495,1
99,30249,63402,1
99,30249,29628,1
99,30249,55763,1
99,30249,93752,1
99,30249,30485,1
99,11001,40710,1
99,11001,46686,1
99,11001,70410,1
99,11001,6186,1
99,11001,18714,1
99,11001,69054,1
99,11001,7503,1
99,11001,6084,1
99,11001,39908,1
99,11001,49084,1
99,11001,24199,1
99,11001,22527,1
99,11001,11818,1
99,11001,11092,1
99,11001,10141,1
99,11001,67535,1
99,11001,10539,1
99,11001,56550,1
99,11001,18417,1
99,11001,55504,1
99,11001,6899,1
99,11001,12773,1
99,11001,55820,1
99,11001,5742,1
99,11001,11095,1
99,11001,51350,1
99,11001,7742,1
99,11001,10166,1
99,11001,47901,1
99,11001,55495,1
99,11001,63402,1
99,11001,29628,1
99,11001,55763,1
99,11001,93752,1
99,11001,30485,1
99,40710,46686,1
99,40710,70410,1
99,40710,6186,1
99,40710,18714,1
99,40710,69054,1
99,40710,7503,1
99,40710,6084,1
99,40710,39908,1
99,40710,49084,1
99,40710,24199,1
99,40710,22527,1
99,40710,11818,1
99,40710,11092,1
99,40710,10141,1
99,40710,67535,1
99,40710,10539,1
99,40710,56550,1
99,40710,18417,1
99,40710,55504,1
99,40710,6899,1
99,40710,12773,1
99,40710,55820,1
99,40710,5742,1
99,40710,11095,1
99,40710,51350,1
99,40710,7742,1
99,40710,10166,1
99,40710,47901,1
99,40710,55495,1
99,40710,63402,1
99,40710,29628,1
99,40710,55763,1
99,40710,93752,1
99,40710,30485,1
99,46686,70410,1
99,46686,6186,1
99,46686,18714,1
99,46686,69054,1
99,46686,7503,1
99,46686,6084,1
99,46686,39908,1
99,46686,49084,1
99,46686,24199,1
99,46686,22527,1
99,46686,11818,1
99,46686,11092,1
99,46686,10141,1
99,46686,67535,1
99,46686,10539,1
99,46686,56550,1
99,46686,18417,1
99,46686,55504,1
99,46686,6899,1
99,46686,12773,1
99,46686,55820,1
99,46686,5742,1
99,46686,11095,1
99,46686,51350,1
99,46686,7742,1
99,46686,10166,1
99,46686,47901,1
99,46686,55495,1
99,46686,63402,1
99,46686,29628,1
99,46686,55763,1
99,46686,93752,1
99,46686,30485,1
99,70410,6186,1
99,70410,18714,1
99,70410,69054,1
99,70410,7503,1
99,70410,6084,1
99,70410,39908,1
99,70410,49084,1
99,70410,24199,1
99,70410,22527,1
99,70410,11818,1
99,70410,11092,1
99,70410,10141,1
99,70410,67535,1
99,70410,10539,1
99,70410,56550,1
99,70410,18417,1
99,70410,55504,1
99,70410,6899,1
99,70410,12773,1
99,70410,55820,1
99,70410,5742,1
99,70410,11095,1
99,70410,51350,1
99,70410,7742,1
99,70410,10166,1
99,70410,47901,1
99,70410,55495,1
99,70410,63402,1
99,70410,29628,1
99,70410,55763,1
99,70410,93752,1
99,70410,30485,1
99,6186,18714,1
99,6186,69054,1
99,6186,7503,1
99,6186,6084,1
99,6186,39908,1
99,6186,49084,1
99,6186,24199,1
99,6186,22527,1
99,6186,11818,1
99,6186,11092,1
99,6186,10141,1
99,6186,67535,1
99,6186,10539,1
99,6186,56550,1
99,6186,18417,1
99,6186,55504,1
99,6186,6899,1
99,6186,12773,1
99,6186,55820,1
99,6186,5742,1
99,6186,11095,1
99,6186,51350,1
99,6186,7742,1
99,6186,10166,1
99,6186,47901,1
99,6186,55495,1
99,6186,63402,1
99,6186,29628,1
99,6186,55763,1
99,6186,93752,1
99,6186,30485,1
99,18714,69054,1
99,18714,7503,1
99,18714,6084,1
99,18714,39908,1
99,18714,49084,1
99,18714,24199,1
99,18714,22527,1
99,18714,11818,1
99,18714,11092,1
99,18714,10141,1
99,18714,67535,1
99,18714,10539,1
99,18714,56550,1
99,18714,18417,1
99,18714,55504,1
99,18714,6899,1
99,18714,12773,1
99,18714,55820,1
99,18714,5742,1
99,18714,11095,1
99,18714,51350,1
99,18714,7742,1
99,18714,10166,1
99,18714,47901,1
99,18714,55495,1
99,18714,63402,1
99,18714,29628,1
99,18714,55763,1
99,18714,93752,1
99,18714,30485,1
99,69054,7503,1
99,69054,6084,1
99,69054,39908,1
99,69054,49084,1
99,69054,24199,1
99,69054,22527,1
99,69054,11818,1
99,69054,11092,1
99,69054,10141,1
99,69054,67535,1
99,69054,10539,1
99,69054,56550,1
99,69054,18417,1
99,69054,55504,1
99,69054,6899,1
99,69054,12773,1
99,69054,55820,1
99,69054,5742,1
99,69054,11095,1
99,69054,51350,1
99,69054,7742,1
99,69054,10166,1
99,69054,47901,1
99,69054,55495,1
99,69054,63402,1
99,69054,29628,1
99,69054,55763,1
99,69054,93752,1
99,69054,30485,1
99,7503,6084,1
99,7503,39908,1
99,7503,49084,1
99,7503,24199,1
99,7503,22527,1
99,7503,11818,1
99,7503,11092,1
99,7503,10141,1
99,7503,67535,1
99,7503,10539,1
99,7503,56550,1
99,7503,18417,1
99,7503,55504,1
99,7503,6899,1
99,7503,12773,1
99,7503,55820,1
99,7503,5742,1
99,7503,11095,1
99,7503,51350,1
99,7503,7742,1
99,7503,10166,1
99,7503,47901,1
99,7503,55495,1
99,7503,63402,1
99,7503,29628,1
99,7503,55763,1
99,7503,93752,1
99,7503,30485,1
99,6084,39908,1
99,6084,49084,1
99,6084,24199,1
99,6084,22527,1
99,6084,11818,1
99,6084,11092,1
99,6084,10141,1
99,6084,67535,1
99,6084,10539,1
99,6084,56550,1
99,6084,18417,1
99,6084,55504,1
99,6084,6899,1
99,6084,12773,1
99,6084,55820,1
99,6084,5742,1
99,6084,11095,1
99,6084,51350,1
99,6084,7742,1
99,6084,10166,1
99,6084,47901,1
99,6084,55495,1
99,6084,63402,1
99,6084,29628,1
99,6084,55763,1
99,6084,93752,1
99,6084,30485,1
99,39908,49084,1
99,39908,24199,1
99,39908,22527,1
99,39908,11818,1
99,39908,11092,1
99,39908,10141,1
99,39908,67535,1
99,39908,10539,1
99,39908,56550,1
99,39908,18417,1
99,39908,55504,1
99,39908,6899,1
99,39908,12773,1
99,39908,55820,1
99,39908,5742,1
99,39908,11095,1
99,39908,51350,1
99,39908,7742,1
99,39908,10166,1
99,39908,47901,1
99,39908,55495,1
99,39908,63402,1
99,39908,29628,1
99,39908,55763,1
99,39908,93752,1
99,39908,30485,1
99,49084,24199,1
99,49084,22527,1
99,49084,11818,1
99,49084,11092,1
99,49084,10141,1
99,49084,67535,1
99,49084,10539,1
99,49084,56550,1
99,49084,18417,1
99,49084,55504,1
99,49084,6899,1
99,49084,12773,1
99,49084,55820,1
99,49084,5742,1
99,49084,11095,1
99,49084,51350,1
99,49084,7742,1
99,49084,10166,1
99,49084,47901,1
99,49084,55495,1
99,49084,63402,1
99,49084,29628,1
99,49084,55763,1
99,49084,93752,1
99,49084,30485,1
99,24199,22527,1
99,24199,11818,1
99,24199,11092,1
99,24199,10141,1
99,24199,67535,1
99,24199,10539,1
99,24199,56550,1
99,24199,18417,1
99,24199,55504,1
99,24199,6899,1
99,24199,12773,1
99,24199,55820,1
99,24199,5742,1
99,24199,11095,1
99,24199,51350,1
99,24199,7742,1
99,24199,10166,1
99,24199,47901,1
99,24199,55495,1
99,24199,63402,1
99,24199,29628,1
99,24199,55763,1
99,24199,93752,1
99,24199,30485,1
99,22527,11818,1
99,22527,11092,1
99,22527,10141,1
99,22527,67535,1
99,22527,10539,1
99,22527,56550,1
99,22527,18417,1
99,22527,55504,1
99,22527,6899,1
99,22527,12773,1
99,22527,55820,1
99,22527,5742,1
99,22527,11095,1
99,22527,51350,1
99,22527,7742,1
99,22527,10166,1
99,22527,47901,1
99,22527,55495,1
99,22527,63402,1
99,22527,29628,1
99,22527,55763,1
99,22527,93752,1
99,22527,30485,1
99,11818,11092,1
99,11818,10141,1
99,11818,67535,1
99,11818,10539,1
99,11818,56550,1
99,11818,18417,1
99,11818,55504,1
99,11818,6899,1
99,11818,12773,1
99,11818,55820,1
99,11818,5742,1
99,11818,11095,1
99,11818,51350,1
99,11818,7742,1
99,11818,10166,1
99,11818,47901,1
99,11818,55495,1
99,11818,63402,1
99,11818,29628,1
99,11818,55763,1
99,11818,93752,1
99,11818,30485,1
99,11092,10141,1
99,11092,67535,1
99,11092,10539,1
99,11092,56550,1
99,11092,18417,1
99,11092,55504,1
99,11092,6899,1
99,11092,12773,1
99,11092,55820,1
99,11092,5742,1
99,11092,11095,1
99,11092,51350,1
99,11092,7742,1
99,11092,10166,1
99,11092,47901,1
99,11092,55495,1
