time,player1,player2,result
97,7776,6783,1
97,7776,5573,1
97,7776,7795,1
97,7776,5576,1
97,7776,6246,1
97,7776,10077,1
97,7776,6069,1
97,7776,5467,1
97,7776,68698,1
97,7776,80643,1
97,7776,12785,1
97,7776,18592,1
97,7776,6144,1
97,7776,45907,1
97,7776,70413,1
97,7776,72769,1
97,7776,15747,1
97,7776,45790,1
97,7776,17670,1
97,7776,21978,1
97,7776,58503,1
97,7776,17285,1
97,7776,85453,1
97,7776,14196,1
97,7776,70613,1
97,7776,21841,1
97,7776,7771,1
97,7776,39450,1
97,7776,6386,1
97,7776,11084,1
97,7776,56518,1
97,7776,11385,1
97,7776,31438,1
97,7776,56527,1
97,7776,12674,1
97,6783,5573,1
97,6783,7795,1
97,6783,5576,1
97,6783,6246,1
97,6783,10077,1
97,6783,6069,1
97,6783,5467,1
97,6783,68698,1
97,6783,80643,1
97,6783,12785,1
97,6783,18592,1
97,6783,6144,1
97,6783,45907,1
97,6783,70413,1
97,6783,72769,1
97,6783,15747,1
97,6783,45790,1
97,6783,17670,1
97,6783,21978,1
97,6783,58503,1
97,6783,17285,1
97,6783,85453,1
97,6783,14196,1
97,6783,70613,1
97,6783,21841,1
97,6783,7771,1
97,6783,39450,1
97,6783,6386,1
97,6783,11084,1
97,6783,56518,1
97,6783,11385,1
97,6783,31438,1
97,6783,56527,1
97,6783,12674,1
97,5573,7795,1
97,5573,5576,1
97,5573,6246,1
97,5573,10077,1
97,5573,6069,1
97,5573,5467,1
97,5573,68698,1
97,5573,80643,1
97,5573,12785,1
97,5573,18592,1
97,5573,6144,1
97,5573,45907,1
97,5573,70413,1
97,5573,72769,1
97,5573,15747,1
97,5573,45790,1
97,5573,17670,1
97,5573,21978,1
97,5573,58503,1
97,5573,17285,1
97,5573,85453,1
97,5573,14196,1
97,5573,70613,1
97,5573,21841,1
97,5573,7771,1
97,5573,39450,1
97,5573,6386,1
97,5573,11084,1
97,5573,56518,1
97,5573,11385,1
97,5573,31438,1
97,5573,56527,1
97,5573,12674,1
97,7795,5576,1
97,7795,6246,1
97,7795,10077,1
97,7795,6069,1
97,7795,5467,1
97,7795,68698,1
97,7795,80643,1
97,7795,12785,1
97,7795,18592,1
97,7795,6144,1
97,7795,45907,1
97,7795,70413,1
97,7795,72769,1
97,7795,15747,1
97,7795,45790,1
97,7795,17670,1
97,7795,21978,1
97,7795,58503,1
97,7795,17285,1
97,7795,85453,1
97,7795,14196,1
97,7795,70613,1
97,7795,21841,1
97,7795,7771,1
97,7795,39450,1
97,7795,6386,1
97,7795,11084,1
97,7795,56518,1
97,7795,11385,1
97,7795,31438,1
97,7795,56527,1
97,7795,12674,1
97,5576,6246,1
97,5576,10077,1
97,5576,6069,1
97,5576,5467,1
97,5576,68698,1
97,5576,80643,1
97,5576,12785,1
97,5576,18592,1
97,5576,6144,1
97,5576,45907,1
97,5576,70413,1
97,5576,72769,1
97,5576,15747,1
97,5576,45790,1
97,5576,17670,1
97,5576,21978,1
97,5576,58503,1
97,5576,17285,1
97,5576,85453,1
97,5576,14196,1
97,5576,70613,1
97,5576,21841,1
97,5576,7771,1
97,5576,39450,1
97,5576,6386,1
97,5576,11084,1
97,5576,56518,1
97,5576,11385,1
97,5576,31438,1
97,5576,56527,1
97,5576,12674,1
97,6246,10077,1
97,6246,6069,1
97,6246,5467,1
97,6246,68698,1
97,6246,80643,1
97,6246,12785,1
97,6246,18592,1
97,6246,6144,1
97,6246,45907,1
97,6246,70413,1
97,6246,72769,1
97,6246,15747,1
