time,player1,player2,result
94,29442,11378,1
94,29442,49390,1
94,29442,11402,1
94,29442,30249,1
94,29442,30433,1
94,29442,7702,1
94,29442,39908,1
94,29442,11092,1
94,29442,11315,1
94,29442,11408,1
94,29442,10539,1
94,29442,11060,1
94,29442,30058,1
94,29442,10536,1
94,29442,32470,1
94,29442,56550,1
94,29442,10955,1
94,29442,7743,1
94,29442,10858,1
94,29442,11979,1
94,29442,30485,1
94,29442,7778,1
94,29442,10767,1
94,29442,5320,1
94,29442,6707,1
94,29442,18417,1
94,29442,11001,1
94,29442,39206,1
94,29442,30579,1
94,29442,18576,1
94,29442,21622,1
94,29442,12814,1
94,29442,9919,1
94,29442,67535,1
94,29442,41060,1
94,29442,58385,1
94,29442,40710,1
94,29442,18714,1
94,29442,5929,1
94,29442,7503,1
94,29442,12773,1
94,29442,15981,1
94,29442,71195,1
94,29442,11936,1
94,29442,63681,1
94,29442,9917,1
94,29442,46791,1
94,29442,19245,1
94,29442,92761,1
94,29442,6899,1
94,29442,28304,1
94,29442,7742,1
94,29442,81426,1
94,29442,49260,1
94,29442,68715,1
94,29442,88417,1
94,29442,10166,1
94,29442,41590,1
94,29442,71694,1
94,29442,25528,1
94,11378,49390,1
94,11378,11402,1
94,11378,30249,1
94,11378,30433,1
94,11378,7702,1
94,11378,39908,1
94,11378,11092,1
94,11378,11315,1
94,11378,11408,1
94,11378,10539,1
94,11378,11060,1
94,11378,30058,1
94,11378,10536,1
94,11378,32470,1
94,11378,56550,1
94,11378,10955,1
94,11378,7743,1
94,11378,10858,1
94,11378,11979,1
94,11378,30485,1
94,11378,7778,1
94,11378,10767,1
94,11378,5320,1
94,11378,6707,1
94,11378,18417,1
94,11378,11001,1
94,11378,39206,1
94,11378,30579,1
94,11378,18576,1
94,11378,21622,1
94,11378,12814,1
94,11378,9919,1
94,11378,67535,1
94,11378,41060,1
94,11378,58385,1
94,11378,40710,1
94,11378,18714,1
94,11378,5929,1
94,11378,7503,1
94,11378,12773,1
94,11378,15981,1
94,11378,71195,1
94,11378,11936,1
94,11378,63681,1
94,11378,9917,1
94,11378,46791,1
94,11378,19245,1
94,11378,92761,1
94,11378,6899,1
94,11378,28304,1
94,11378,7742,1
94,11378,81426,1
94,11378,49260,1
94,11378,68715,1
94,11378,88417,1
94,11378,10166,1
94,11378,41590,1
94,11378,71694,1
94,11378,25528,1
94,49390,11402,1
94,49390,30249,1
94,49390,30433,1
94,49390,7702,1
94,49390,39908,1
94,49390,11092,1
94,49390,11315,1
94,49390,11408,1
94,49390,10539,1
94,49390,11060,1
94,49390,30058,1
94,49390,10536,1
94,49390,32470,1
94,49390,56550,1
94,49390,10955,1
94,49390,7743,1
94,49390,10858,1
94,49390,11979,1
94,49390,30485,1
94,49390,7778,1
94,49390,10767,1
94,49390,5320,1
94,49390,6707,1
94,49390,18417,1
94,49390,11001,1
94,49390,39206,1
94,49390,30579,1
94,49390,18576,1
94,49390,21622,1
94,49390,12814,1
94,49390,9919,1
94,49390,67535,1
94,49390,41060,1
94,49390,58385,1
94,49390,40710,1
94,49390,18714,1
94,49390,5929,1
94,49390,7503,1
94,49390,12773,1
94,49390,15981,1
94,49390,71195,1
94,49390,11936,1
94,49390,63681,1
94,49390,9917,1
94,49390,46791,1
94,49390,19245,1
94,49390,92761,1
94,49390,6899,1
94,49390,28304,1
94,49390,7742,1
94,49390,81426,1
94,49390,49260,1
94,49390,68715,1
94,49390,88417,1
94,49390,10166,1
94,49390,41590,1
94,49390,71694,1
94,49390,25528,1
94,11402,30249,1
94,11402,30433,1
94,11402,7702,1
94,11402,39908,1
94,11402,11092,1
94,11402,11315,1
94,11402,11408,1
94,11402,10539,1
94,11402,11060,1
94,11402,30058,1
94,11402,10536,1
94,11402,32470,1
94,11402,56550,1
94,11402,10955,1
94,11402,7743,1
94,11402,10858,1
94,11402,11979,1
94,11402,30485,1
94,11402,7778,1
94,11402,10767,1
94,11402,5320,1
94,11402,6707,1
94,11402,18417,1
94,11402,11001,1
94,11402,39206,1
94,11402,30579,1
94,11402,18576,1
94,11402,21622,1
94,11402,12814,1
94,11402,9919,1
94,11402,67535,1
94,11402,41060,1
94,11402,58385,1
94,11402,40710,1
94,11402,18714,1
94,11402,5929,1
94,11402,7503,1
94,11402,12773,1
94,11402,15981,1
94,11402,71195,1
94,11402,11936,1
94,11402,63681,1
94,11402,9917,1
94,11402,46791,1
94,11402,19245,1
94,11402,92761,1
94,11402,6899,1
94,11402,28304,1
94,11402,7742,1
94,11402,81426,1
94,11402,49260,1
94,11402,68715,1
94,11402,88417,1
94,11402,10166,1
94,11402,41590,1
94,11402,71694,1
94,11402,25528,1
94,30249,30433,1
94,30249,7702,1
94,30249,39908,1
94,30249,11092,1
94,30249,11315,1
94,30249,11408,1
94,30249,10539,1
94,30249,11060,1
94,30249,30058,1
94,30249,10536,1
94,30249,32470,1
94,30249,56550,1
94,30249,10955,1
94,30249,7743,1
94,30249,10858,1
94,30249,11979,1
94,30249,30485,1
94,30249,7778,1
94,30249,10767,1
94,30249,5320,1
94,30249,6707,1
94,30249,18417,1
94,30249,11001,1
94,30249,39206,1
94,30249,30579,1
94,30249,18576,1
94,30249,21622,1
94,30249,12814,1
94,30249,9919,1
94,30249,67535,1
94,30249,41060,1
94,30249,58385,1
94,30249,40710,1
94,30249,18714,1
94,30249,5929,1
94,30249,7503,1
94,30249,12773,1
94,30249,15981,1
94,30249,71195,1
94,30249,11936,1
94,30249,63681,1
94,30249,9917,1
94,30249,46791,1
94,30249,19245,1
94,30249,92761,1
94,30249,6899,1
94,30249,28304,1
94,30249,7742,1
94,30249,81426,1
94,30249,49260,1
94,30249,68715,1
94,30249,88417,1
94,30249,10166,1
94,30249,41590,1
94,30249,71694,1
94,30249,25528,1
94,30433,7702,1
94,30433,39908,1
94,30433,11092,1
94,30433,11315,1
94,30433,11408,1
94,30433,10539,1
94,30433,11060,1
94,30433,30058,1
94,30433,10536,1
94,30433,32470,1
94,30433,56550,1
94,30433,10955,1
94,30433,7743,1
94,30433,10858,1
94,30433,11979,1
94,30433,30485,1
94,30433,7778,1
94,30433,10767,1
94,30433,5320,1
94,30433,6707,1
94,30433,18417,1
94,30433,11001,1
94,30433,39206,1
94,30433,30579,1
94,30433,18576,1
94,30433,21622,1
94,30433,12814,1
94,30433,9919,1
94,30433,67535,1
94,30433,41060,1
94,30433,58385,1
94,30433,40710,1
94,30433,18714,1
94,30433,5929,1
94,30433,7503,1
94,30433,12773,1
94,30433,15981,1
94,30433,71195,1
94,30433,11936,1
94,30433,63681,1
94,30433,9917,1
94,30433,46791,1
94,30433,19245,1
94,30433,92761,1
94,30433,6899,1
94,30433,28304,1
94,30433,7742,1
94,30433,81426,1
94,30433,49260,1
94,30433,68715,1
94,30433,88417,1
94,30433,10166,1
94,30433,41590,1
94,30433,71694,1
94,30433,25528,1
94,7702,39908,1
94,7702,11092,1
94,7702,11315,1
94,7702,11408,1
94,7702,10539,1
94,7702,11060,1
94,7702,30058,1
94,7702,10536,1
94,7702,32470,1
94,7702,56550,1
94,7702,10955,1
94,7702,7743,1
94,7702,10858,1
94,7702,11979,1
94,7702,30485,1
94,7702,7778,1
94,7702,10767,1
94,7702,5320,1
94,7702,6707,1
94,7702,18417,1
94,7702,11001,1
94,7702,39206,1
94,7702,30579,1
94,7702,18576,1
94,7702,21622,1
94,7702,12814,1
94,7702,9919,1
94,7702,67535,1
94,7702,41060,1
94,7702,58385,1
94,7702,40710,1
94,7702,18714,1
94,7702,5929,1
94,7702,7503,1
94,7702,12773,1
94,7702,15981,1
94,7702,71195,1
94,7702,11936,1
94,7702,63681,1
94,7702,9917,1
94,7702,46791,1
94,7702,19245,1
94,7702,92761,1
94,7702,6899,1
94,7702,28304,1
94,7702,7742,1
94,7702,81426,1
94,7702,49260,1
94,7702,68715,1
94,7702,88417,1
94,7702,10166,1
94,7702,41590,1
94,7702,71694,1
94,7702,25528,1
94,39908,11092,1
94,39908,11315,1
94,39908,11408,1
94,39908,10539,1
94,39908,11060,1
94,39908,30058,1
94,39908,10536,1
94,39908,32470,1
94,39908,56550,1
94,39908,10955,1
94,39908,7743,1
94,39908,10858,1
94,39908,11979,1
94,39908,30485,1
94,39908,7778,1
94,39908,10767,1
94,39908,5320,1
94,39908,6707,1
94,39908,18417,1
94,39908,11001,1
94,39908,39206,1
94,39908,30579,1
94,39908,18576,1
94,39908,21622,1
94,39908,12814,1
94,39908,9919,1
94,39908,67535,1
94,39908,41060,1
94,39908,58385,1
94,39908,40710,1
94,39908,18714,1
94,39908,5929,1
94,39908,7503,1
94,39908,12773,1
94,39908,15981,1
94,39908,71195,1
94,39908,11936,1
94,39908,63681,1
94,39908,9917,1
94,39908,46791,1
94,39908,19245,1
94,39908,92761,1
94,39908,6899,1
94,39908,28304,1
94,39908,7742,1
94,39908,81426,1
94,39908,49260,1
94,39908,68715,1
94,39908,88417,1
94,39908,10166,1
94,39908,41590,1
94,39908,71694,1
94,39908,25528,1
94,11092,11315,1
94,11092,11408,1
94,11092,10539,1
94,11092,11060,1
94,11092,30058,1
94,11092,10536,1
94,11092,32470,1
94,11092,56550,1
94,11092,10955,1
94,11092,7743,1
94,11092,10858,1
94,11092,11979,1
94,11092,30485,1
94,11092,7778,1
94,11092,10767,1
94,11092,5320,1
94,11092,6707,1
94,11092,18417,1
94,11092,11001,1
94,11092,39206,1
94,11092,30579,1
94,11092,18576,1
94,11092,21622,1
94,11092,12814,1
94,11092,9919,1
94,11092,67535,1
94,11092,41060,1
94,11092,58385,1
94,11092,40710,1
94,11092,18714,1
94,11092,5929,1
94,11092,7503,1
94,11092,12773,1
94,11092,15981,1
94,11092,71195,1
94,11092,11936,1
94,11092,63681,1
94,11092,9917,1
94,11092,46791,1
94,11092,19245,1
94,11092,92761,1
94,11092,6899,1
94,11092,28304,1
94,11092,7742,1
94,11092,81426,1
94,11092,49260,1
94,11092,68715,1
94,11092,88417,1
94,11092,10166,1
94,11092,41590,1
94,11092,71694,1
94,11092,25528,1
94,11315,11408,1
94,11315,10539,1
94,11315,11060,1
94,11315,30058,1
94,11315,10536,1
94,11315,32470,1
94,11315,56550,1
94,11315,10955,1
94,11315,7743,1
94,11315,10858,1
94,11315,11979,1
94,11315,30485,1
94,11315,7778,1
94,11315,10767,1
94,11315,5320,1
94,11315,6707,1
94,11315,18417,1
94,11315,11001,1
94,11315,39206,1
94,11315,30579,1
94,11315,18576,1
94,11315,21622,1
94,11315,12814,1
94,11315,9919,1
94,11315,67535,1
94,11315,41060,1
94,11315,58385,1
94,11315,40710,1
94,11315,18714,1
94,11315,5929,1
94,11315,7503,1
94,11315,12773,1
94,11315,15981,1
94,11315,71195,1
94,11315,11936,1
94,11315,63681,1
94,11315,9917,1
94,11315,46791,1
94,11315,19245,1
94,11315,92761,1
94,11315,6899,1
94,11315,28304,1
94,11315,7742,1
94,11315,81426,1
94,11315,49260,1
94,11315,68715,1
94,11315,88417,1
94,11315,10166,1
94,11315,41590,1
94,11315,71694,1
94,11315,25528,1
94,11408,10539,1
94,11408,11060,1
94,11408,30058,1
94,11408,10536,1
94,11408,32470,1
94,11408,56550,1
94,11408,10955,1
94,11408,7743,1
94,11408,10858,1
94,11408,11979,1
94,11408,30485,1
94,11408,7778,1
94,11408,10767,1
94,11408,5320,1
94,11408,6707,1
94,11408,18417,1
94,11408,11001,1
94,11408,39206,1
94,11408,30579,1
94,11408,18576,1
94,11408,21622,1
94,11408,12814,1
94,11408,9919,1
94,11408,67535,1
94,11408,41060,1
94,11408,58385,1
94,11408,40710,1
94,11408,18714,1
94,11408,5929,1
94,11408,7503,1
94,11408,12773,1
94,11408,15981,1
94,11408,71195,1
94,11408,11936,1
94,11408,63681,1
94,11408,9917,1
94,11408,46791,1
94,11408,19245,1
94,11408,92761,1
94,11408,6899,1
94,11408,28304,1
94,11408,7742,1
94,11408,81426,1
94,11408,49260,1
94,11408,68715,1
94,11408,88417,1
94,11408,10166,1
94,11408,41590,1
94,11408,71694,1
94,11408,25528,1
94,10539,11060,1
94,10539,30058,1
94,10539,10536,1
94,10539,32470,1
94,10539,56550,1
94,10539,10955,1
94,10539,7743,1
94,10539,10858,1
94,10539,11979,1
94,10539,30485,1
94,10539,7778,1
94,10539,10767,1
94,10539,5320,1
94,10539,6707,1
94,10539,18417,1
94,10539,11001,1
94,10539,39206,1
94,10539,30579,1
94,10539,18576,1
94,10539,21622,1
94,10539,12814,1
94,10539,9919,1
94,10539,67535,1
94,10539,41060,1
94,10539,58385,1
94,10539,40710,1
94,10539,18714,1
94,10539,5929,1
94,10539,7503,1
94,10539,12773,1
94,10539,15981,1
94,10539,71195,1
94,10539,11936,1
94,10539,63681,1
94,10539,9917,1
94,10539,46791,1
94,10539,19245,1
94,10539,92761,1
94,10539,6899,1
94,10539,28304,1
94,10539,7742,1
94,10539,81426,1
94,10539,49260,1
94,10539,68715,1
94,10539,88417,1
94,10539,10166,1
94,10539,41590,1
94,10539,71694,1
94,10539,25528,1
94,11060,30058,1
94,11060,10536,1
94,11060,32470,1
94,11060,56550,1
94,11060,10955,1
94,11060,7743,1
94,11060,10858,1
94,11060,11979,1
94,11060,30485,1
94,11060,7778,1
94,11060,10767,1
94,11060,5320,1
94,11060,6707,1
94,11060,18417,1
94,11060,11001,1
94,11060,39206,1
94,11060,30579,1
94,11060,18576,1
94,11060,21622,1
94,11060,12814,1
94,11060,9919,1
94,11060,67535,1
94,11060,41060,1
94,11060,58385,1
94,11060,40710,1
94,11060,18714,1
94,11060,5929,1
94,11060,7503,1
94,11060,12773,1
94,11060,15981,1
94,11060,71195,1
94,11060,11936,1
94,11060,63681,1
94,11060,9917,1
94,11060,46791,1
94,11060,19245,1
94,11060,92761,1
94,11060,6899,1
94,11060,28304,1
94,11060,7742,1
94,11060,81426,1
94,11060,49260,1
94,11060,68715,1
94,11060,88417,1
94,11060,10166,1
94,11060,41590,1
94,11060,71694,1
94,11060,25528,1
94,30058,10536,1
94,30058,32470,1
94,30058,56550,1
94,30058,10955,1
94,30058,7743,1
94,30058,10858,1
94,30058,11979,1
94,30058,30485,1
94,30058,7778,1
