program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
281502,7776,Flora,Duffy,BER,1,00:18:28,00:00:58,01:02:23,00:00:29,00:35:44,1,01:57:59
281502,40887,Gwen,Jorgensen,USA,2,00:18:38,00:00:58,01:03:22,00:00:27,00:35:53,2,01:59:16
281502,10077,Charlotte,McShane,AUS,12,00:19:12,00:00:57,01:02:50,00:00:28,00:36:01,3,01:59:25
281502,5573,Helen,Jenkins,GBR,6,00:19:04,00:01:02,01:02:54,00:00:27,00:36:04,4,01:59:28
281502,5576,Ai,Ueda,JPN,5,00:19:55,00:00:58,01:03:32,00:00:27,00:34:50,5,01:59:39
281502,5467,Vendula,Frintova,CZE,15,00:19:53,00:01:01,01:03:31,00:00:26,00:34:56,6,01:59:44
281502,6246,Sarah,True,USA,11,00:18:37,00:01:00,01:03:23,00:00:27,00:36:32,7,01:59:58
281502,31438,Non,Stanford,GBR,14,00:19:12,00:00:57,01:02:48,00:00:32,00:36:48,8,02:00:16
281502,14196,Mariya,Shorets,RUS,35,00:19:33,00:01:00,01:03:51,00:00:29,00:35:29,9,02:00:21
281502,15744,Ashleigh,Gentle,AUS,9,00:19:46,00:01:00,01:03:37,00:00:29,00:35:45,10,02:00:34
281502,6144,Mari,Rabie,RSA,18,00:18:55,00:01:04,01:02:57,00:00:27,00:37:29,11,02:00:51
281502,7773,Annamaria,Mazzetti,ITA,39,00:19:35,00:00:59,01:03:52,00:00:29,00:36:05,12,02:00:58
281502,68698,Katie,Zaferes,USA,3,00:19:09,00:01:00,01:02:51,00:00:30,00:37:31,13,02:00:59
281502,46579,Anastasia,Abrosimova,RUS,21,00:19:33,00:00:59,01:03:57,00:00:27,00:36:14,14,02:01:09
281502,7646,Claudia,Rivas,MEX,49,00:19:01,00:01:02,01:02:59,00:00:30,00:37:47,15,02:01:18
281502,22170,Rachel,Klamer,NED,8,00:19:53,00:01:02,01:03:31,00:00:28,00:36:31,16,02:01:23
281502,6783,Andrea,Hewitt,NZL,4,00:19:57,00:00:57,01:03:31,00:00:28,00:36:57,17,02:01:46
281502,85453,Renee,Tomlin,USA,20,00:19:36,00:00:57,01:03:50,00:00:28,00:37:00,18,02:01:48
281502,21841,Simone,Ackermann,RSA,42,00:19:32,00:01:02,01:03:52,00:00:29,00:37:01,19,02:01:53
281502,94438,Anja,Knapp,GER,53,00:19:09,00:00:59,01:02:51,00:00:27,00:38:35,20,02:01:59
281502,9852,Alexandra,Razarenova,RUS,36,00:19:49,00:00:57,01:03:41,00:00:30,00:37:08,21,02:02:03
281502,17670,Sara,Vilic,AUT,25,00:19:31,00:00:57,01:03:55,00:00:29,00:37:22,22,02:02:12
281502,18721,Lucy,Hall,GBR,50,00:18:25,00:00:59,01:02:27,00:00:31,00:39:59,23,02:02:19
281502,6120,Lisa,Norden,SWE,23,00:19:34,00:01:02,01:03:47,00:00:31,00:37:37,24,02:02:29
281502,18592,Yuka,Sato,JPN,26,00:18:48,00:00:58,01:03:17,00:00:28,00:39:04,25,02:02:32
281502,45907,Natalie,Van Coevorden,AUS,55,00:18:57,00:01:03,01:02:59,00:00:32,00:39:10,26,02:02:40
281502,39687,Carolina,Routier,ESP,28,00:18:36,00:01:00,01:03:25,00:00:30,00:39:13,27,02:02:42
281502,6386,Aoi,Kuramoto,JPN,57,00:19:58,00:00:58,01:03:31,00:00:27,00:37:56,28,02:02:47
281502,89532,Kirsten,Kasper,USA,10,00:19:15,00:00:58,01:04:09,00:00:29,00:37:59,29,02:02:48
281502,78775,Jessica,Learmonth,GBR,48,00:18:22,00:00:59,01:02:29,00:00:29,00:40:38,30,02:02:55
281502,7771,Charlotte,Bonin,ITA,46,00:19:06,00:01:04,01:02:53,00:00:31,00:39:37,31,02:03:09
281502,11503,Sarah-Anne,Brault,CAN,43,00:19:57,00:00:58,01:03:34,00:00:31,00:38:38,32,02:03:35
281502,11133,Agnieszka,Jerzyk,POL,38,00:19:54,00:00:58,01:03:34,00:00:31,00:39:01,33,02:03:56
281502,39450,Gillian,Backhouse,AUS,40,00:19:06,00:01:00,01:02:50,00:00:28,00:40:51,34,02:04:13
281502,17285,Yuko,Takahashi,JPN,32,00:19:52,00:01:00,01:03:33,00:00:25,00:39:55,35,02:04:43
281502,74986,Valentina,Zapatrina,RUS,45,00:19:37,00:01:00,01:03:53,00:00:28,00:40:05,36,02:05:00
281502,7757,Zsófia,Kovács,HUN,51,00:20:02,00:00:58,01:06:14,00:00:28,00:37:26,37,02:05:05
281502,39381,Dominika,Jamnicky,CAN,56,00:20:01,00:00:59,01:03:24,00:00:29,00:40:59,38,02:05:50
281502,12785,Juri,Ide,JPN,37,00:20:03,00:01:02,01:06:07,00:00:29,00:39:29,39,02:07:08
281502,25176,Cecilia,Perez,MEX,52,00:19:14,00:01:03,01:04:11,00:00:27,00:42:41,40,02:07:34
