program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
280621,11385,Jodie,Stimpson,GBR,35,00:19:19,00:00:39,01:00:37,00:00:43,00:34:53,1,01:56:10
280621,15744,Ashleigh,Gentle,AUS,6,00:19:45,00:00:38,01:00:14,00:00:40,00:35:04,2,01:56:19
280621,5573,Helen,Jenkins,GBR,31,00:18:55,00:00:40,01:01:01,00:00:36,00:35:17,3,01:56:26
280621,7776,Flora,Duffy,BER,5,00:18:56,00:00:40,01:00:55,00:00:37,00:35:38,4,01:56:44
280621,85453,Renee,Tomlin,USA,17,00:19:32,00:00:35,01:00:36,00:00:37,00:35:44,5,01:57:02
280621,11141,Emmie,Charayron,FRA,51,00:19:35,00:00:37,01:00:20,00:00:38,00:36:09,6,01:57:17
280621,17670,Sara,Vilic,AUT,45,00:19:15,00:00:37,01:00:44,00:00:42,00:36:09,7,01:57:25
280621,10077,Charlotte,McShane,AUS,9,00:19:37,00:00:38,01:00:28,00:00:36,00:36:09,8,01:57:25
280621,7773,Annamaria,Mazzetti,ITA,21,00:19:41,00:00:38,01:00:27,00:00:38,00:36:03,9,01:57:26
280621,6120,Lisa,Norden,SWE,65,00:19:18,00:00:39,01:00:37,00:00:42,00:36:14,10,01:57:27
280621,7646,Claudia,Rivas,MEX,16,00:19:17,00:00:41,01:00:42,00:00:37,00:36:12,11,01:57:28
280621,14196,Mariya,Shorets,RUS,47,00:19:24,00:00:39,01:00:34,00:00:38,00:36:17,12,01:57:30
280621,6144,Mari,Rabie,RSA,64,00:18:53,00:00:41,01:00:59,00:00:33,00:36:32,13,01:57:37
280621,5467,Vendula,Frintova,CZE,15,00:19:20,00:00:40,01:01:17,00:00:37,00:36:01,14,01:57:53
280621,46579,Anastasia,Abrosimova,RUS,42,00:18:56,00:00:38,01:01:18,00:00:36,00:36:29,15,01:57:54
280621,49169,Hanna,Philippin,GER,11,00:19:33,00:00:41,01:00:56,00:00:40,00:36:10,16,01:57:57
280621,5560,Mateja,Šimic,SLO,46,00:19:30,00:00:40,01:00:29,00:00:40,00:36:47,17,01:58:05
280621,56556,Audrey,Merle,FRA,41,00:19:22,00:00:40,01:00:46,00:00:37,00:36:45,18,01:58:08
280621,39450,Gillian,Backhouse,AUS,19,00:19:13,00:00:38,01:00:40,00:00:37,00:37:05,19,01:58:10
280621,6069,Nicky,Samuels,NZL,67,00:18:52,00:00:38,01:01:09,00:00:39,00:36:56,20,01:58:12
280621,44045,Kaitlin,Donner,USA,37,00:19:34,00:00:40,01:00:28,00:00:39,00:36:57,21,01:58:16
280621,11343,Maaike,Caelers,NED,32,00:19:47,00:00:39,01:00:44,00:00:36,00:36:39,22,01:58:23
280621,45790,Jolanda,Annen,SUI,28,00:19:41,00:00:39,01:00:46,00:00:38,00:36:45,23,01:58:26
280621,21841,Simone,Ackermann,RSA,39,00:19:14,00:00:39,01:00:49,00:00:40,00:37:33,24,01:58:53
280621,5376,Ainhoa,Murua Zubizarreta,ESP,26,00:19:27,00:00:41,01:01:06,00:00:40,00:37:07,25,01:58:59
280621,21486,Pamella,Oliveira,BRA,33,00:18:49,00:00:42,01:01:07,00:00:35,00:37:55,26,01:59:07
280621,11503,Sarah-Anne,Brault,CAN,40,00:19:14,00:00:41,01:00:50,00:00:37,00:37:56,27,01:59:16
280621,39687,Carolina,Routier,ESP,27,00:18:48,00:00:41,01:01:11,00:00:41,00:38:05,28,01:59:22
280621,94438,Anja,Knapp,GER,20,00:19:18,00:00:40,01:00:40,00:00:37,00:38:16,29,01:59:28
280621,70413,Laura,Lindemann,GER,18,00:19:17,00:00:39,01:02:24,00:00:37,00:36:33,30,01:59:28
