program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
280766,5573,Helen,Jenkins,GBR,3,00:18:22,00:00:28,01:01:43,00:00:24,00:35:08,1,01:56:03
280766,40887,Gwen,Jorgensen,USA,31,00:18:21,00:00:28,01:03:16,00:00:24,00:34:17,2,01:56:44
280766,6783,Andrea,Hewitt,NZL,33,00:18:21,00:00:08,01:02:04,00:00:26,00:35:49,3,01:56:45
280766,7776,Flora,Duffy,BER,4,00:18:25,00:00:29,01:01:39,00:00:25,00:36:02,4,01:56:58
280766,22170,Rachel,Klamer,NED,35,00:18:22,00:00:31,01:03:14,00:00:24,00:35:37,5,01:58:06
280766,68698,Katie,Zaferes,USA,34,00:18:17,00:00:32,01:03:17,00:00:26,00:35:43,6,01:58:14
280766,5526,Emma,Moffatt,AUS,36,00:18:22,00:00:30,01:03:13,00:00:25,00:36:18,7,01:58:47
280766,5467,Vendula,Frintova,CZE,14,00:18:23,00:00:34,01:04:10,00:00:22,00:35:38,8,01:59:06
280766,11879,Lisa,Perterer,AUT,26,00:19:03,00:00:31,01:03:30,00:00:28,00:35:37,9,01:59:07
280766,89532,Kirsten,Kasper,USA,37,00:18:14,00:00:27,01:03:22,00:00:24,00:36:44,10,01:59:09
280766,47942,Melanie,Santos,POR,27,00:18:25,00:00:28,01:03:16,00:00:27,00:36:39,11,01:59:13
280766,11385,Jodie,Stimpson,GBR,1,00:18:59,00:00:26,01:03:34,00:00:24,00:35:59,12,01:59:21
280766,5376,Ainhoa,Murua Zubizarreta,ESP,20,00:18:58,00:00:29,01:03:36,00:00:25,00:36:09,13,01:59:35
280766,11133,Agnieszka,Jerzyk,POL,25,00:19:04,00:00:27,01:03:32,00:00:23,00:36:18,14,01:59:42
280766,15744,Ashleigh,Gentle,AUS,2,00:19:01,00:00:29,01:03:30,00:00:24,00:36:25,15,01:59:47
280766,6144,Mari,Rabie,RSA,12,00:18:37,00:00:25,01:03:57,00:00:22,00:36:34,16,01:59:54
280766,11141,Emmie,Charayron,FRA,6,00:18:59,00:00:27,01:03:33,00:00:24,00:36:36,17,01:59:57
280766,85453,Renee,Tomlin,USA,5,00:18:59,00:00:27,01:03:36,00:00:23,00:36:42,18,02:00:05
280766,30383,Miriam,Casillas García,ESP,28,00:19:01,00:00:07,01:03:57,00:00:25,00:36:46,19,02:00:14
280766,6069,Nicky,Samuels,NZL,16,00:18:15,00:00:29,01:03:22,00:00:24,00:37:52,20,02:00:20
280766,41079,Julia,Hauser,AUT,56,00:19:03,00:00:07,01:03:56,00:00:25,00:37:02,21,02:00:31
280766,11503,Sarah-Anne,Brault,CAN,21,00:19:04,00:00:31,01:03:30,00:00:26,00:37:19,22,02:00:48
280766,30090,Lindsey,Jerdonek,USA,44,00:18:57,00:00:07,01:03:59,00:00:24,00:37:31,23,02:00:56
280766,7771,Charlotte,Bonin,ITA,59,00:18:24,00:00:07,01:03:39,00:00:28,00:38:33,24,02:01:09
280766,6246,Sarah,True,USA,32,00:18:19,00:00:31,01:03:17,00:00:26,00:38:53,25,02:01:23
280766,21841,Simone,Ackermann,RSA,19,00:18:23,00:00:31,01:03:15,00:00:26,00:39:11,26,02:01:44
280766,5943,Maria,Czesnik,POL,60,00:19:01,00:00:08,01:03:56,00:00:28,00:38:21,27,02:01:52
280766,15747,Emma,Jackson,AUS,43,00:19:00,00:00:28,01:03:39,00:00:24,00:38:26,28,02:01:56
280766,7730,Rebecca,Spence,NZL,58,00:19:03,00:00:29,01:03:31,00:00:23,00:38:33,29,02:01:58
280766,81854,Amanda,Bohlin,SWE,65,00:19:20,00:00:28,01:03:20,00:00:25,00:38:36,30,02:02:07
280766,81334,Taylor,Spivey,USA,67,00:18:21,00:00:07,01:03:39,00:00:25,00:39:43,31,02:02:15
280766,18592,Yuka,Sato,JPN,30,00:18:54,00:00:07,01:04:05,00:00:26,00:38:48,32,02:02:19
280766,17285,Yuko,Takahashi,JPN,42,00:18:20,00:00:29,01:03:18,00:00:21,00:40:05,33,02:02:31
280766,7436,Erin,Storie,USA,55,00:18:20,00:00:08,01:04:41,00:00:26,00:39:07,34,02:02:40
280766,5454,Erin,Densham,AUS,46,00:18:24,00:00:29,01:03:12,00:00:24,00:40:36,35,02:03:04
280766,7781,Rebecca,Robisch,GER,38,00:19:20,00:00:27,01:03:15,00:00:26,00:39:46,36,02:03:12
280766,72769,Claire,Michel,BEL,47,00:19:06,00:00:31,01:06:58,00:00:24,00:36:41,37,02:03:39
280766,7817,Yuliya,Yelistratova,UKR,41,00:19:18,00:00:29,01:06:46,00:00:24,00:37:09,38,02:04:04
280766,5576,Ai,Ueda,JPN,29,00:20:16,00:00:07,01:06:53,00:00:23,00:36:40,39,02:04:17
280766,10077,Charlotte,McShane,AUS,8,00:19:18,00:00:30,01:06:44,00:00:23,00:37:49,40,02:04:43
280766,26478,Petra,Kurikova,CZE,23,00:19:00,00:00:29,01:07:07,00:00:25,00:38:01,41,02:05:00
280766,30295,Katrien,Verstuyft,BEL,52,00:19:18,00:00:30,01:06:47,00:00:25,00:38:18,42,02:05:15
280766,15946,Elena,Danilova,RUS,53,00:19:21,00:00:06,01:07:09,00:00:26,00:38:26,43,02:05:27
280766,39381,Dominika,Jamnicky,CAN,50,00:19:11,00:00:29,01:03:26,00:00:27,00:42:35,44,02:06:05
280766,22340,Michelle,Flipo,MEX,64,00:18:25,00:00:07,01:08:01,00:00:27,00:39:57,45,02:06:56
280766,51437,Rebecca,Clarke,NZL,63,00:18:22,00:00:31,01:03:15,00:00:27,00:45:36,46,02:08:08
280766,15346,Romina,Palacio Balena,ARG,57,00:19:27,00:00:07,01:07:44,00:00:29,00:40:34,47,02:08:20
280766,74986,Valentina,Zapatrina,RUS,24,00:18:25,00:00:31,01:07:41,00:00:25,00:41:39,48,02:08:40
280766,7915,Long,Hoi,MAC,61,00:20:17,00:00:29,01:06:33,00:00:26,00:41:19,49,02:09:01
280766,17670,Sara,Vilic,AUT,7,00:18:57,00:00:28,00:00:00,00:00:00,00:00:00,DNF,DNF
280766,7773,Annamaria,Mazzetti,ITA,9,00:19:04,00:00:08,01:08:06,00:00:24,00:00:00,DNF,DNF
280766,6120,Lisa,Norden,SWE,10,00:18:59,00:00:29,01:03:38,00:00:31,00:00:00,DNF,DNF
280766,7646,Claudia,Rivas,MEX,11,00:18:24,00:00:28,01:03:16,00:00:29,00:00:00,DNF,DNF
280766,39450,Gillian,Backhouse,AUS,15,00:18:17,00:00:27,00:00:00,00:00:00,00:00:00,DNF,DNF
280766,44045,Kaitlin,Donner,USA,17,00:19:03,00:00:07,01:04:00,00:00:27,00:00:00,DNF,DNF
280766,11343,Maaike,Caelers,NED,18,00:19:28,00:00:07,00:00:00,00:00:00,00:00:00,DNF,DNF
280766,39687,Carolina,Routier,ESP,22,00:18:11,00:00:30,00:00:00,00:00:00,00:00:00,DNF,DNF
280766,9345,Gillian,Sanders,RSA,40,00:19:19,00:00:28,01:06:48,00:00:26,00:00:00,DNF,DNF
280766,7757,Zsófia,Kovács,HUN,45,00:19:14,00:00:30,00:00:00,00:00:00,00:00:00,DNF,DNF
280766,39382,Amelie,Kretz,CAN,48,00:19:00,00:00:29,01:03:33,00:00:25,00:00:00,DNF,DNF
280766,6122,Felicity,Sheedy-Ryan,AUS,49,00:20:20,00:00:29,00:00:00,00:00:00,00:00:00,DNF,DNF
280766,6386,Aoi,Kuramoto,JPN,51,00:19:06,00:00:30,00:00:00,00:00:00,00:00:00,DNF,DNF
280766,25176,Cecilia,Perez,MEX,54,00:18:57,00:00:28,01:07:11,00:00:27,00:00:00,DNF,DNF
280766,39913,Gaia,Peron,TUR,62,00:18:20,00:00:08,01:08:10,00:00:27,00:00:00,DNF,DNF
280766,25951,Kseniia,Levkovska,AZE,66,00:19:00,00:00:33,01:07:45,00:00:26,00:00:00,DNF,DNF
