program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
281501,30433,Henri,Schoeman,RSA,11,00:16:55,00:00:53,00:56:33,00:00:25,00:32:06,1,01:46:50
281501,11378,Jonathan,Brownlee,GBR,2,00:16:53,00:00:52,00:56:36,00:00:24,00:32:25,2,01:47:08
281501,7788,Alistair,Brownlee,GBR,18,00:16:52,00:00:55,00:56:33,00:00:27,00:32:23,3,01:47:08
281501,16392,Richard,Murray,RSA,9,00:17:22,00:00:53,00:57:41,00:00:25,00:31:17,4,01:47:35
281501,11402,Mario,Mola,ESP,1,00:17:14,00:00:52,00:57:47,00:00:24,00:31:21,5,01:47:36
281501,28500,Ryan,Bailie,AUS,7,00:17:20,00:00:54,00:57:42,00:00:24,00:31:22,6,01:47:40
281501,7503,Crisanto,Grajales,MEX,8,00:17:05,00:00:52,00:57:55,00:00:25,00:31:31,7,01:47:46
281501,39974,Jelle,Geens,BEL,36,00:17:21,00:00:53,00:57:37,00:00:23,00:31:39,8,01:47:52
281501,29442,Fernando,Alarza,ESP,3,00:17:16,00:00:54,00:57:50,00:00:27,00:31:28,9,01:47:53
281501,32470,Adam,Bowden,GBR,6,00:17:28,00:00:55,00:57:36,00:00:26,00:31:33,10,01:47:55
281501,11060,Alessandro,Fabian,ITA,31,00:16:58,00:00:51,00:56:31,00:00:27,00:33:20,11,01:48:04
281501,11315,Andrea,Salvisberg,SUI,28,00:17:01,00:00:51,00:56:28,00:00:27,00:33:25,12,01:48:10
281501,10536,Joao,Pereira,POR,12,00:16:53,00:00:52,00:58:13,00:00:25,00:32:00,13,01:48:21
281501,41322,Kristian,Blummenfelt,NOR,10,00:17:12,00:00:56,00:57:43,00:00:26,00:32:16,14,01:48:32
281501,7747,Dmitry,Polyanskiy,RUS,20,00:17:04,00:00:53,00:58:05,00:00:33,00:32:04,15,01:48:37
281501,10141,Aaron,Royle,AUS,21,00:17:00,00:00:53,00:56:28,00:00:25,00:34:02,16,01:48:45
281501,12721,Gregory,Billington,USA,40,00:17:03,00:00:54,00:56:26,00:00:25,00:34:02,17,01:48:48
281501,41060,Justus,Nieschlag,GER,63,00:17:24,00:00:54,00:57:36,00:00:26,00:32:41,18,01:48:59
281501,88417,Eder,Mejia Muñoz,MEX,60,00:17:18,00:00:55,00:57:48,00:00:29,00:32:43,19,01:49:11
281501,30633,Gregory,Barnaby,ITA,55,00:17:25,00:00:52,00:57:38,00:00:26,00:32:56,20,01:49:14
281501,7702,Aurelien,Raphael,FRA,14,00:16:50,00:00:56,00:56:37,00:00:26,00:34:40,21,01:49:27
281501,6084,Dan,Wilson,AUS,59,00:17:19,00:00:57,00:57:39,00:00:25,00:33:17,22,01:49:35
281501,39908,Vicente,Hernandez,ESP,17,00:17:22,00:00:54,00:57:44,00:00:29,00:33:12,23,01:49:40
281501,7769,Massimo,De Ponti,ITA,58,00:17:23,00:00:54,00:57:40,00:00:27,00:33:26,24,01:49:48
281501,10539,Joao,Silva,POR,29,00:17:18,00:00:53,00:57:51,00:00:31,00:33:24,25,01:49:54
281501,31810,Jumpei,Furuya,JPN,57,00:17:14,00:00:50,00:57:58,00:00:25,00:33:32,26,01:49:57
281501,17069,Luciano,Taccone,ARG,54,00:17:30,00:00:56,00:57:32,00:00:27,00:33:41,27,01:50:02
281501,11092,Richard,Varga,SVK,32,00:17:00,00:00:54,00:58:02,00:00:27,00:33:46,28,01:50:08
281501,41276,Marco,Van Der Stel,NED,52,00:17:18,00:00:56,00:57:47,00:00:26,00:33:49,29,01:50:14
281501,6707,Jan,Celustka,CZE,38,00:17:19,00:01:02,00:57:35,00:00:28,00:34:04,30,01:50:25
281501,30249,Pierre,Le Corre,FRA,4,00:17:17,00:00:58,00:57:49,00:00:29,00:34:05,31,01:50:35
281501,5551,Bryan,Keane,IRL,39,00:17:30,00:00:53,00:57:35,00:00:29,00:34:12,32,01:50:37
281501,18719,Thomas,Bishop,GBR,37,00:16:57,00:00:57,00:58:04,00:00:28,00:34:19,33,01:50:43
281501,25025,Luca,Facchinetti,ITA,46,00:17:20,00:00:52,00:57:47,00:00:25,00:34:24,34,01:50:46
281501,22327,Matthew,Sharpe,CAN,41,00:17:09,00:00:50,00:57:57,00:00:25,00:34:36,35,01:50:55
281501,40710,Russell,White,IRL,42,00:17:09,00:00:51,00:57:53,00:00:22,00:34:56,36,01:51:10
281501,9917,Diogo,Sclebin,BRA,45,00:17:41,00:00:55,01:00:04,00:00:26,00:32:33,37,01:51:37
281501,30058,Andreas,Schilling,DEN,15,00:17:33,00:00:55,00:57:33,00:00:33,00:35:13,38,01:51:45
281501,45915,Jacob,Birtwhistle,AUS,5,00:17:42,00:00:53,01:00:04,00:00:27,00:32:52,39,01:51:56
281501,12773,Rodrigo,Gonzalez,MEX,48,00:17:32,00:00:52,01:00:17,00:00:27,00:32:59,40,01:52:04
281501,6186,Irving,Perez,MEX,35,00:17:17,00:00:53,00:57:51,00:00:29,00:35:53,41,01:52:21
281501,41870,Shachar,Sagiv,ISR,43,00:17:43,00:00:54,01:00:02,00:00:24,00:33:33,42,01:52:33
281501,5747,Steffen,Justus,GER,19,00:17:19,00:00:57,01:00:23,00:00:26,00:33:41,43,01:52:44
281501,10166,Simon,De Cuyper,BEL,61,00:17:40,00:00:50,00:57:24,00:00:28,00:36:28,44,01:52:47
281501,85973,Josh,Izewski,USA,68,00:17:33,00:00:58,01:00:13,00:00:27,00:33:46,45,01:52:56
281501,6236,Premysl,Svarc,CZE,56,00:17:27,00:00:58,00:57:39,00:00:31,00:36:38,46,01:53:11
281501,143997,Joe,Maloy,USA,24,00:17:12,00:00:54,00:57:58,00:00:29,00:36:46,47,01:53:16
281501,69759,Pablo,Dapena Gonzalez,ESP,66,00:17:25,00:00:54,01:00:23,00:00:25,00:34:45,48,01:53:50
281501,14181,Igor,Polyanskiy,RUS,25,00:16:58,00:00:54,00:58:10,00:00:31,00:37:38,49,01:54:07
281501,17043,Ben,Kanute,USA,51,00:17:13,00:00:53,00:57:52,00:00:25,00:37:49,50,01:54:10
281501,9919,Danilo,Pimentel,BRA,47,00:17:24,00:00:54,01:00:26,00:00:27,00:36:07,51,01:55:15
281501,67535,Jonas,Schomburg,GER,33,00:17:21,00:00:54,00:57:41,00:00:25,00:39:01,52,01:55:21
281501,11095,Franz,Loeschke,GER,44,00:17:43,00:00:54,01:00:03,00:00:26,00:36:37,53,01:55:41
281501,22522,David,Mendoza,MEX,65,00:17:45,00:00:53,01:00:04,00:00:28,00:36:40,54,01:55:47
281501,5327,Hirokatsu,Tayama,JPN,64,00:17:08,00:00:54,01:00:43,00:00:30,00:40:31,55,01:59:44
281501,15981,Mehdi,Essadiq,MAR,67,00:18:44,00:01:00,00:00:00,00:00:00,00:00:00,LAP,LAP
281501,92568,Gergo,Simon,ROU,69,00:21:23,00:00:54,00:00:00,00:00:00,00:00:00,LAP,LAP
281501,11818,Ryan,Sissons,NZL,16,00:17:22,00:00:57,00:57:43,00:00:32,00:00:00,DNF,DNF
281501,18417,Stefan,Zachäus,LUX,34,00:17:15,00:00:53,01:00:32,00:00:27,00:00:00,DNF,DNF
281501,11001,Gábor,Faldum,HUN,23,00:17:25,00:00:52,00:00:00,00:00:00,00:00:00,DNF,DNF
281501,56550,Adrien,Briffod,SUI,49,00:17:26,00:00:53,00:00:00,00:00:00,00:00:00,DNF,DNF
281501,11408,Tamás,Tóth,HUN,30,00:17:27,00:00:53,00:00:00,00:00:00,00:00:00,DNF,DNF
281501,7742,Miguel,Arraiolos,POR,53,00:17:31,00:00:56,00:00:00,00:00:00,00:00:00,DNF,DNF
281501,22527,Pedro,Palma,POR,62,00:17:29,00:00:58,00:00:00,00:00:00,00:00:00,DNF,DNF
281501,49390,Dorian,Coninx,FRA,26,00:17:35,00:00:57,00:00:00,00:00:00,00:00:00,DNF,DNF
281501,15371,Gonzalo Raul,Tellechea,ARG,50,00:18:48,00:01:01,00:00:00,00:00:00,00:00:00,DNF,DNF
281501,10858,Gregor,Buchholz,GER,27,00:18:45,00:00:00,00:00:00,00:00:00,00:00:00,DNF,DNF
281501,7778,Jonathan,Zipf,GER,22,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNF,DNS
