program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
281454,83096,Summer,Rappaport,USA,30,00:09:04,00:01:11,00:29:13,00:00:42,00:16:38,1,00:56:49
281454,6246,Sarah,True,USA,10,00:09:10,00:01:02,00:29:04,00:00:34,00:17:01,2,00:56:52
281454,68698,Katie,Zaferes,USA,4,00:09:07,00:01:11,00:28:59,00:00:36,00:17:01,3,00:56:56
281454,7776,Flora,Duffy,BER,1,00:09:01,00:01:09,00:29:03,00:00:37,00:17:17,4,00:57:10
281454,7795,Vicky,Holland,GBR,6,00:09:40,00:01:13,00:28:56,00:00:33,00:16:50,5,00:57:15
281454,89532,Kirsten,Kasper,USA,9,00:09:05,00:01:08,00:29:02,00:00:31,00:17:32,6,00:57:19
281454,31438,Non,Stanford,GBR,11,00:09:48,00:01:09,00:28:52,00:00:42,00:16:56,7,00:57:30
281454,15747,Emma,Jackson,AUS,17,00:09:40,00:01:13,00:29:00,00:00:31,00:17:09,8,00:57:36
281454,9345,Gillian,Sanders,RSA,32,00:09:39,00:01:21,00:28:52,00:00:31,00:17:13,9,00:57:37
281454,45790,Jolanda,Annen,SUI,26,00:09:44,00:01:09,00:28:58,00:00:29,00:17:20,10,00:57:41
281454,81334,Taylor,Spivey,USA,33,00:09:09,00:01:06,00:28:59,00:00:33,00:17:54,11,00:57:45
281454,39687,Carolina,Routier,ESP,22,00:09:09,00:01:05,00:29:02,00:00:32,00:18:00,12,00:57:50
281454,7730,Rebecca,Spence,NZL,18,00:09:49,00:01:09,00:28:53,00:00:31,00:17:27,13,00:57:51
281454,30090,Lindsey,Jerdonek,USA,23,00:09:40,00:01:13,00:28:56,00:00:34,00:17:33,14,00:57:57
281454,6069,Nicky,Samuels,NZL,14,00:09:31,00:01:09,00:29:07,00:00:49,00:17:20,15,00:57:57
281454,47942,Melanie,Santos,POR,24,00:09:24,00:01:13,00:29:14,00:00:33,00:17:39,16,00:58:05
281454,29235,Joanna,Brown,CAN,39,00:09:40,00:01:16,00:28:58,00:00:34,00:17:40,17,00:58:08
281454,6144,Mari,Rabie,RSA,8,00:09:07,00:01:08,00:29:00,00:00:31,00:18:25,18,00:58:14
281454,22170,Rachel,Klamer,NED,5,00:09:32,00:01:20,00:28:58,00:00:33,00:17:51,19,00:58:16
281454,17670,Sara,Vilic,AUT,19,00:09:23,00:01:15,00:29:15,00:00:34,00:17:57,20,00:58:25
281454,39450,Gillian,Backhouse,AUS,25,00:09:11,00:01:11,00:29:25,00:00:31,00:18:08,21,00:58:28
281454,49169,Hanna,Philippin,GER,15,00:09:42,00:01:09,00:29:00,00:00:32,00:18:06,22,00:58:30
281454,6783,Andrea,Hewitt,NZL,3,00:09:37,00:01:08,00:29:05,00:00:31,00:18:09,23,00:58:32
281454,78775,Jessica,Learmonth,GBR,29,00:09:00,00:01:21,00:29:30,00:00:37,00:18:04,24,00:58:34
281454,7436,Erin,Storie,USA,37,00:09:34,00:01:17,00:29:01,00:00:32,00:18:13,25,00:58:39
281454,21841,Simone,Ackermann,RSA,21,00:09:33,00:01:15,00:29:06,00:00:39,00:18:11,26,00:58:46
281454,94438,Anja,Knapp,GER,31,00:09:26,00:01:10,00:29:13,00:00:31,00:18:27,27,00:58:50
281454,64750,Nicole,Van Der Kaay,NZL,41,00:09:45,00:01:07,00:29:01,00:00:34,00:18:24,28,00:58:53
281454,85453,Renee,Tomlin,USA,12,00:09:37,00:01:04,00:29:07,00:00:48,00:18:15,29,00:58:54
281454,23920,Jessica,Broderick,USA,45,00:09:32,00:01:22,00:28:55,00:00:43,00:18:26,30,00:59:00
281454,6120,Lisa,Norden,SWE,16,00:09:40,00:01:16,00:28:54,00:01:09,00:18:17,31,00:59:18
281454,12674,Paula,Findlay,CAN,35,00:09:31,00:01:12,00:29:08,00:00:35,00:18:55,32,00:59:23
281454,7646,Claudia,Rivas,MEX,28,00:09:20,00:01:24,00:29:07,00:00:44,00:18:55,33,00:59:33
281454,69055,Emy,Legault,CAN,42,00:09:44,00:01:13,00:28:57,00:00:32,00:20:15,34,01:00:43
281454,39381,Dominika,Jamnicky,CAN,36,00:09:55,00:01:08,00:31:27,00:00:31,00:18:38,35,01:01:40
281454,17285,Yuko,Takahashi,JPN,20,00:09:50,00:01:17,00:31:42,00:00:29,00:18:30,36,01:01:50
281454,25176,Cecilia,Perez,MEX,34,00:09:48,00:01:25,00:31:39,00:00:38,00:18:22,37,01:01:54
281454,54913,Jaz,Hedgeland,AUS,38,00:09:50,00:01:09,00:31:53,00:00:33,00:18:54,38,01:02:21
281454,98486,Megan,Foley,USA,46,00:09:51,00:01:11,00:31:29,00:00:32,00:19:31,39,01:02:37
281454,51439,Sarah,Alexander,USA,44,00:09:50,00:01:17,00:31:43,00:00:37,00:19:19,40,01:02:48
281454,28114,Yan Yin Hilda,Choi,HKG,40,00:10:17,00:01:09,00:00:00,00:00:00,00:00:00,LAP,LAP
281454,18721,Lucy,Hall,GBR,27,00:09:09,00:01:06,00:29:01,00:00:37,00:00:00,DNF,DNF
281454,11385,Jodie,Stimpson,GBR,2,00:09:37,00:01:09,00:29:07,00:00:00,00:00:00,DNF,DNF
281454,21847,Sophie,Corbidge,NZL,43,00:09:53,00:01:12,00:00:00,00:00:00,00:00:00,DNF,DNF
281454,5467,Vendula,Frintova,CZE,7,00:09:57,00:01:13,00:00:00,00:00:00,00:00:00,DNF,DNF
