program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
281315,68698,Katie,Zaferes,USA,6,00:09:41,00:00:44,00:30:00,00:00:24,00:16:17,1,00:57:03
281315,22170,Rachel,Klamer,NED,10,00:09:43,00:00:42,00:29:57,00:00:23,00:16:30,2,00:57:14
281315,40887,Gwen,Jorgensen,USA,2,00:09:52,00:00:39,00:30:50,00:00:27,00:15:44,3,00:57:29
281315,11385,Jodie,Stimpson,GBR,1,00:10:08,00:00:45,00:30:19,00:00:24,00:16:18,4,00:57:52
281315,46579,Anastasia,Abrosimova,RUS,25,00:09:39,00:00:39,00:30:08,00:00:25,00:17:10,5,00:57:58
281315,6150,Barbara,Riveros,CHI,23,00:10:00,00:00:41,00:30:32,00:00:23,00:16:27,6,00:58:01
281315,5576,Ai,Ueda,JPN,3,00:10:09,00:00:42,00:30:26,00:00:24,00:16:22,7,00:58:02
281315,6144,Mari,Rabie,RSA,9,00:09:45,00:00:39,00:29:59,00:00:24,00:17:18,8,00:58:03
281315,70413,Laura,Lindemann,GER,19,00:09:50,00:00:42,00:30:43,00:00:27,00:16:26,9,00:58:06
281315,15747,Emma,Jackson,AUS,24,00:09:59,00:00:40,00:30:43,00:00:23,00:16:24,10,00:58:07
281315,9852,Alexandra,Razarenova,RUS,51,00:10:13,00:00:48,00:30:19,00:00:23,00:16:25,11,00:58:07
281315,7773,Annamaria,Mazzetti,ITA,30,00:10:13,00:00:45,00:30:16,00:00:25,00:16:30,12,00:58:07
281315,39687,Carolina,Routier,ESP,37,00:09:41,00:00:38,00:30:05,00:00:25,00:17:22,13,00:58:08
281315,5573,Helen,Jenkins,GBR,4,00:09:58,00:00:43,00:30:31,00:00:27,00:16:36,14,00:58:14
281315,10077,Charlotte,McShane,AUS,5,00:09:53,00:00:47,00:30:35,00:00:23,00:16:43,15,00:58:19
281315,5467,Vendula,Frintova,CZE,7,00:09:56,00:00:39,00:30:44,00:00:23,00:16:41,16,00:58:21
281315,21978,Aileen,Reid,IRL,33,00:10:07,00:00:45,00:30:24,00:00:23,00:16:46,17,00:58:23
281315,49169,Hanna,Philippin,GER,18,00:10:09,00:00:42,00:30:22,00:00:26,00:16:48,18,00:58:24
281315,7771,Charlotte,Bonin,ITA,34,00:09:43,00:00:39,00:30:03,00:00:24,00:17:39,19,00:58:25
281315,18721,Lucy,Hall,GBR,36,00:09:37,00:00:39,00:30:06,00:00:26,00:17:39,20,00:58:26
281315,6069,Nicky,Samuels,NZL,12,00:10:12,00:00:43,00:30:24,00:00:27,00:16:43,21,00:58:27
281315,58503,Yurie,Kato,JPN,15,00:10:11,00:00:39,00:30:31,00:00:25,00:16:43,22,00:58:28
281315,15946,Elena,Danilova,RUS,52,00:10:04,00:00:40,00:30:36,00:00:25,00:16:48,23,00:58:30
281315,85453,Renee,Tomlin,USA,11,00:10:04,00:00:40,00:30:34,00:00:26,00:16:51,24,00:58:33
281315,18592,Yuka,Sato,JPN,16,00:09:50,00:00:44,00:30:45,00:00:24,00:16:53,25,00:58:33
281315,30295,Katrien,Verstuyft,BEL,50,00:10:10,00:00:47,00:30:19,00:00:25,00:16:56,26,00:58:35
281315,45790,Jolanda,Annen,SUI,32,00:10:09,00:00:43,00:30:22,00:00:24,00:17:04,27,00:58:39
281315,5376,Ainhoa,Murua Zubizarreta,ESP,17,00:10:09,00:00:47,00:30:20,00:00:27,00:17:00,28,00:58:40
281315,6120,Lisa,Norden,SWE,14,00:09:56,00:00:45,00:30:32,00:00:28,00:17:05,29,00:58:43
281315,89532,Kirsten,Kasper,USA,8,00:09:45,00:00:42,00:30:48,00:00:25,00:17:06,30,00:58:44
281315,7781,Rebecca,Robisch,GER,20,00:09:58,00:00:42,00:30:33,00:00:26,00:17:10,31,00:58:47
281315,30090,Lindsey,Jerdonek,USA,27,00:10:08,00:00:41,00:30:26,00:00:25,00:17:11,32,00:58:49
281315,66202,Ines,Santiago Moron,ESP,56,00:10:00,00:00:42,00:30:37,00:00:27,00:17:06,33,00:58:51
281315,56556,Audrey,Merle,FRA,41,00:10:15,00:00:45,00:30:19,00:00:23,00:17:14,34,00:58:54
281315,39382,Amelie,Kretz,CAN,29,00:10:05,00:00:42,00:30:28,00:00:25,00:17:19,35,00:58:57
281315,7646,Claudia,Rivas,MEX,31,00:10:11,00:00:48,00:30:19,00:00:26,00:17:19,36,00:59:02
281315,39450,Gillian,Backhouse,AUS,28,00:10:13,00:00:42,00:30:17,00:00:23,00:17:31,37,00:59:05
281315,12674,Paula,Findlay,CAN,49,00:10:06,00:00:43,00:30:25,00:00:26,00:17:30,38,00:59:09
281315,14196,Mariya,Shorets,RUS,21,00:10:06,00:00:45,00:30:25,00:00:26,00:17:30,39,00:59:10
281315,74986,Valentina,Zapatrina,RUS,43,00:10:11,00:00:49,00:30:21,00:00:23,00:17:33,40,00:59:15
281315,70613,India,Lee,GBR,48,00:10:12,00:00:45,00:30:26,00:00:23,00:17:36,41,00:59:20
281315,81334,Taylor,Spivey,USA,44,00:09:58,00:00:40,00:30:40,00:00:23,00:17:49,42,00:59:27
281315,56518,Angelica,Olmo,ITA,55,00:10:15,00:00:43,00:30:16,00:00:24,00:18:05,43,00:59:40
281315,50760,Sophie,Coldwell,GBR,57,00:10:11,00:00:44,00:30:19,00:00:24,00:18:09,44,00:59:45
281315,69077,Cecilia,Santamaria Surroca,ESP,58,00:10:08,00:00:44,00:30:23,00:00:24,00:18:07,45,00:59:45
281315,45907,Natalie,Van Coevorden,AUS,39,00:09:39,00:00:45,00:30:56,00:00:27,00:18:05,46,00:59:49
281315,7757,Zsófia,Kovács,HUN,46,00:10:22,00:00:43,00:32:06,00:00:22,00:16:47,47,01:00:19
281315,9345,Gillian,Sanders,RSA,40,00:10:30,00:00:43,00:31:59,00:00:26,00:16:56,48,01:00:31
281315,56527,Sophia,Saller,GER,35,00:10:17,00:00:42,00:30:19,00:00:25,00:18:52,49,01:00:32
281315,21486,Pamella,Oliveira,BRA,38,00:09:40,00:00:48,00:32:07,00:00:24,00:17:50,50,01:00:47
281315,17285,Yuko,Takahashi,JPN,22,00:10:10,00:00:43,00:32:17,00:00:21,00:17:21,51,01:00:51
281315,79065,Lisa,Tertsch,GER,61,00:10:13,00:00:41,00:32:16,00:00:21,00:17:24,52,01:00:53
281315,25176,Cecilia,Perez,MEX,47,00:10:14,00:00:46,00:32:13,00:00:26,00:17:23,53,01:01:00
281315,26478,Petra,Kurikova,CZE,45,00:10:32,00:00:45,00:31:55,00:00:25,00:17:32,54,01:01:08
281315,79059,Lena,Meißner,GER,60,00:10:31,00:00:46,00:31:53,00:00:22,00:17:43,55,01:01:13
281315,95456,Hye Rim,Jeong,KOR,59,00:10:30,00:00:48,00:31:51,00:00:22,00:18:02,56,01:01:31
281315,31827,Anna,Godoy Contreras,ESP,42,00:10:13,00:00:46,00:32:13,00:00:24,00:18:02,57,01:01:36
281315,82479,Carmen,Gomez Cortes,ESP,62,00:10:14,00:00:42,00:32:20,00:00:27,00:18:52,58,01:02:34
281315,6780,Ji Yeon,Kim,KOR,54,00:10:35,00:00:40,00:31:53,00:00:23,00:19:43,59,01:03:13
281315,30383,Miriam,Casillas García,ESP,26,00:10:34,00:00:42,00:31:58,00:00:28,00:00:00,DNF,DNF
281315,63163,Cassandre,Beaugrand,FRA,53,00:09:43,00:00:43,00:00:00,00:00:00,00:00:00,DNF,DNF
