program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
280877,31438,Non,Stanford,GBR,34,00:09:27,00:01:07,00:32:36,00:00:24,00:16:18,1,00:59:49
280877,11385,Jodie,Stimpson,GBR,2,00:09:36,00:01:07,00:32:25,00:00:24,00:16:26,2,00:59:56
280877,7776,Flora,Duffy,BER,1,00:08:55,00:01:01,00:33:10,00:00:27,00:16:29,3,00:59:59
280877,15515,Anne,Haug,GER,31,00:09:47,00:01:00,00:32:21,00:00:25,00:16:36,4,01:00:07
280877,89532,Kirsten,Kasper,USA,8,00:09:18,00:01:01,00:32:51,00:00:26,00:16:34,5,01:00:08
280877,7795,Vicky,Holland,GBR,32,00:09:22,00:01:06,00:32:41,00:00:25,00:16:44,6,01:00:15
280877,5576,Ai,Ueda,JPN,26,00:09:49,00:01:00,00:32:22,00:00:30,00:16:42,7,01:00:21
280877,58503,Yurie,Kato,JPN,38,00:09:33,00:01:04,00:32:36,00:00:24,00:16:50,8,01:00:26
280877,6246,Sarah,True,USA,20,00:09:27,00:01:09,00:32:35,00:00:26,00:16:57,9,01:00:33
280877,42267,Kaidi,Kivioja,EST,41,00:09:39,00:01:06,00:32:28,00:00:23,00:17:00,10,01:00:34
280877,5376,Ainhoa,Murua Zubizarreta,ESP,6,00:09:22,00:01:02,00:32:48,00:00:27,00:16:58,11,01:00:36
280877,6120,Lisa,Norden,SWE,9,00:09:27,00:01:12,00:32:30,00:00:26,00:17:04,12,01:00:37
280877,7730,Rebecca,Spence,NZL,24,00:09:30,00:01:15,00:32:24,00:00:29,00:17:01,13,01:00:38
280877,49169,Hanna,Philippin,GER,14,00:09:34,00:01:12,00:32:23,00:00:27,00:17:09,14,01:00:44
280877,5467,Vendula,Frintova,CZE,3,00:09:15,00:00:58,00:32:56,00:00:23,00:17:17,15,01:00:47
280877,30090,Lindsey,Jerdonek,USA,18,00:09:21,00:01:05,00:32:46,00:00:28,00:17:10,16,01:00:48
280877,6144,Mari,Rabie,RSA,5,00:09:11,00:00:58,00:33:00,00:00:23,00:17:24,17,01:00:53
280877,14196,Mariya,Shorets,RUS,11,00:09:34,00:01:12,00:32:26,00:00:28,00:17:17,18,01:00:55
280877,17285,Yuko,Takahashi,JPN,29,00:09:29,00:01:11,00:32:30,00:00:22,00:17:27,19,01:00:57
280877,81854,Amanda,Bohlin,SWE,25,00:09:52,00:01:01,00:32:19,00:00:23,00:17:25,20,01:00:58
280877,18592,Yuka,Sato,JPN,22,00:09:25,00:01:10,00:32:37,00:00:28,00:17:21,21,01:00:59
280877,22170,Rachel,Klamer,NED,4,00:09:18,00:01:04,00:32:49,00:00:26,00:17:29,22,01:01:02
280877,30383,Miriam,Casillas García,ESP,16,00:09:29,00:01:03,00:32:42,00:00:25,00:17:25,23,01:01:03
280877,47942,Melanie,Santos,POR,7,00:09:25,00:01:03,00:32:45,00:00:25,00:17:33,24,01:01:09
280877,46579,Anastasia,Abrosimova,RUS,12,00:09:24,00:01:04,00:32:48,00:00:30,00:17:31,25,01:01:15
280877,21486,Pamella,Oliveira,BRA,21,00:09:23,00:01:02,00:32:49,00:00:26,00:17:35,26,01:01:15
280877,39687,Carolina,Routier,ESP,23,00:08:57,00:01:03,00:33:14,00:00:27,00:17:48,27,01:01:26
280877,7771,Charlotte,Bonin,ITA,19,00:09:25,00:01:10,00:32:40,00:00:29,00:17:46,28,01:01:29
280877,56527,Sophia,Saller,GER,36,00:09:36,00:01:11,00:32:28,00:00:23,00:18:00,29,01:01:36
280877,6069,Nicky,Samuels,NZL,10,00:09:28,00:01:10,00:32:33,00:00:27,00:18:01,30,01:01:37
280877,21841,Simone,Ackermann,RSA,15,00:09:24,00:01:07,00:32:42,00:00:27,00:17:59,31,01:01:38
280877,81334,Taylor,Spivey,USA,28,00:09:27,00:01:07,00:32:37,00:00:25,00:18:09,32,01:01:43
280877,45790,Jolanda,Annen,SUI,17,00:09:35,00:01:09,00:32:31,00:00:25,00:18:09,33,01:01:47
280877,26478,Petra,Kurikova,CZE,27,00:09:47,00:01:03,00:32:28,00:00:24,00:18:26,34,01:02:04
280877,81882,Vittoria,Lopes,BRA,43,00:09:23,00:01:10,00:32:43,00:00:28,00:18:57,35,01:02:39
280877,5454,Erin,Densham,AUS,30,00:09:32,00:01:11,00:32:26,00:00:25,00:19:38,36,01:03:09
280877,6386,Aoi,Kuramoto,JPN,39,00:09:27,00:01:07,00:34:24,00:00:23,00:19:05,37,01:04:25
280877,31827,Anna,Godoy Contreras,ESP,42,00:09:18,00:01:08,00:34:47,00:00:27,00:18:54,38,01:04:32
280877,9345,Gillian,Sanders,RSA,35,00:09:26,00:01:07,00:36:07,00:00:24,00:18:09,39,01:05:12
280877,21978,Aileen,Reid,IRL,33,00:09:41,00:01:15,00:35:58,00:00:30,00:17:57,40,01:05:19
280877,11084,Margit,Vanek,HUN,37,00:09:31,00:01:18,00:36:04,00:00:25,00:00:00,DNF,DNF
280877,8609,Anel,Radford,RSA,40,00:09:35,00:01:17,00:36:01,00:00:28,00:00:00,DNF,DNF
