program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
281502,7776,Flora,Duffy,BER,1,1108,58,3743,29,00:35:44,1,7079
281502,40887,Gwen,Jorgensen,USA,2,1118,58,3802,27,00:35:53,2,7156
281502,10077,Charlotte,McShane,AUS,12,1152,57,3770,28,00:36:01,3,7165
281502,5573,Helen,Jenkins,GBR,6,1144,62,3774,27,00:36:04,4,7168
281502,5576,Ai,Ueda,JPN,5,1195,58,3812,27,00:34:50,5,7179
281502,5467,Vendula,Frintova,CZE,15,1193,61,3811,26,00:34:56,6,7184
281502,6246,Sarah,True,USA,11,1117,60,3803,27,00:36:32,7,7198
281502,31438,Non,Stanford,GBR,14,1152,57,3768,32,00:36:48,8,7216
281502,14196,Mariya,Shorets,RUS,35,1173,60,3831,29,00:35:29,9,7221
281502,15744,Ashleigh,Gentle,AUS,9,1186,60,3817,29,00:35:45,10,7234
281502,6144,Mari,Rabie,RSA,18,1135,64,3777,27,00:37:29,11,7251
281502,7773,Annamaria,Mazzetti,ITA,39,1175,59,3832,29,00:36:05,12,7258
281502,68698,Katie,Zaferes,USA,3,1149,60,3771,30,00:37:31,13,7259
281502,46579,Anastasia,Abrosimova,RUS,21,1173,59,3837,27,00:36:14,14,7269
281502,7646,Claudia,Rivas,MEX,49,1141,62,3779,30,00:37:47,15,7278
281502,22170,Rachel,Klamer,NED,8,1193,62,3811,28,00:36:31,16,7283
281502,6783,Andrea,Hewitt,NZL,4,1197,57,3811,28,00:36:57,17,7306
281502,85453,Renee,Tomlin,USA,20,1176,57,3830,28,00:37:00,18,7308
281502,21841,Simone,Ackermann,RSA,42,1172,62,3832,29,00:37:01,19,7313
281502,94438,Anja,Knapp,GER,53,1149,59,3771,27,00:38:35,20,7319
281502,9852,Alexandra,Razarenova,RUS,36,1189,57,3821,30,00:37:08,21,7323
281502,17670,Sara,Vilic,AUT,25,1171,57,3835,29,00:37:22,22,7332
281502,18721,Lucy,Hall,GBR,50,1105,59,3747,31,00:39:59,23,7339
281502,6120,Lisa,Norden,SWE,23,1174,62,3827,31,00:37:37,24,7349
281502,18592,Yuka,Sato,JPN,26,1128,58,3797,28,00:39:04,25,7352
281502,45907,Natalie,Van Coevorden,AUS,55,1137,63,3779,32,00:39:10,26,7360
281502,39687,Carolina,Routier,ESP,28,1116,60,3805,30,00:39:13,27,7362
281502,6386,Aoi,Kuramoto,JPN,57,1198,58,3811,27,00:37:56,28,7367
281502,89532,Kirsten,Kasper,USA,10,1155,58,3849,29,00:37:59,29,7368
281502,78775,Jessica,Learmonth,GBR,48,1102,59,3749,29,00:40:38,30,7375
281502,7771,Charlotte,Bonin,ITA,46,1146,64,3773,31,00:39:37,31,7389
281502,11503,Sarah-Anne,Brault,CAN,43,1197,58,3814,31,00:38:38,32,7415
281502,11133,Agnieszka,Jerzyk,POL,38,1194,58,3814,31,00:39:01,33,7436
281502,39450,Gillian,Backhouse,AUS,40,1146,60,3770,28,00:40:51,34,7453
281502,17285,Yuko,Takahashi,JPN,32,1192,60,3813,25,00:39:55,35,7483
281502,74986,Valentina,Zapatrina,RUS,45,1177,60,3833,28,00:40:05,36,7500
281502,7757,Zsófia,Kovács,HUN,51,1202,58,3974,28,00:37:26,37,7505
281502,39381,Dominika,Jamnicky,CAN,56,1201,59,3804,29,00:40:59,38,7550
281502,12785,Juri,Ide,JPN,37,1203,62,3967,29,00:39:29,39,7628
281502,25176,Cecilia,Perez,MEX,52,1154,63,3851,27,00:42:41,40,7654
