program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
281501,30433,Henri,Schoeman,RSA,11,1015,53,3393,25,00:32:06,1,6410
281501,11378,Jonathan,Brownlee,GBR,2,1013,52,3396,24,00:32:25,2,6428
281501,7788,Alistair,Brownlee,GBR,18,1012,55,3393,27,00:32:23,3,6428
281501,16392,Richard,Murray,RSA,9,1042,53,3461,25,00:31:17,4,6455
281501,11402,Mario,Mola,ESP,1,1034,52,3467,24,00:31:21,5,6456
281501,28500,Ryan,Bailie,AUS,7,1040,54,3462,24,00:31:22,6,6460
281501,7503,Crisanto,Grajales,MEX,8,1025,52,3475,25,00:31:31,7,6466
281501,39974,Jelle,Geens,BEL,36,1041,53,3457,23,00:31:39,8,6472
281501,29442,Fernando,Alarza,ESP,3,1036,54,3470,27,00:31:28,9,6473
281501,32470,Adam,Bowden,GBR,6,1048,55,3456,26,00:31:33,10,6475
281501,11060,Alessandro,Fabian,ITA,31,1018,51,3391,27,00:33:20,11,6484
281501,11315,Andrea,Salvisberg,SUI,28,1021,51,3388,27,00:33:25,12,6490
281501,10536,Joao,Pereira,POR,12,1013,52,3493,25,00:32:00,13,6501
281501,41322,Kristian,Blummenfelt,NOR,10,1032,56,3463,26,00:32:16,14,6512
281501,7747,Dmitry,Polyanskiy,RUS,20,1024,53,3485,33,00:32:04,15,6517
281501,10141,Aaron,Royle,AUS,21,1020,53,3388,25,00:34:02,16,6525
281501,12721,Gregory,Billington,USA,40,1023,54,3386,25,00:34:02,17,6528
281501,41060,Justus,Nieschlag,GER,63,1044,54,3456,26,00:32:41,18,6539
281501,88417,Eder,Mejia Muñoz,MEX,60,1038,55,3468,29,00:32:43,19,6551
281501,30633,Gregory,Barnaby,ITA,55,1045,52,3458,26,00:32:56,20,6554
281501,7702,Aurelien,Raphael,FRA,14,1010,56,3397,26,00:34:40,21,6567
281501,6084,Dan,Wilson,AUS,59,1039,57,3459,25,00:33:17,22,6575
281501,39908,Vicente,Hernandez,ESP,17,1042,54,3464,29,00:33:12,23,6580
281501,7769,Massimo,De Ponti,ITA,58,1043,54,3460,27,00:33:26,24,6588
281501,10539,Joao,Silva,POR,29,1038,53,3471,31,00:33:24,25,6594
281501,31810,Jumpei,Furuya,JPN,57,1034,50,3478,25,00:33:32,26,6597
281501,17069,Luciano,Taccone,ARG,54,1050,56,3452,27,00:33:41,27,6602
281501,11092,Richard,Varga,SVK,32,1020,54,3482,27,00:33:46,28,6608
281501,41276,Marco,Van Der Stel,NED,52,1038,56,3467,26,00:33:49,29,6614
281501,6707,Jan,Celustka,CZE,38,1039,62,3455,28,00:34:04,30,6625
281501,30249,Pierre,Le Corre,FRA,4,1037,58,3469,29,00:34:05,31,6635
281501,5551,Bryan,Keane,IRL,39,1050,53,3455,29,00:34:12,32,6637
281501,18719,Thomas,Bishop,GBR,37,1017,57,3484,28,00:34:19,33,6643
281501,25025,Luca,Facchinetti,ITA,46,1040,52,3467,25,00:34:24,34,6646
281501,22327,Matthew,Sharpe,CAN,41,1029,50,3477,25,00:34:36,35,6655
281501,40710,Russell,White,IRL,42,1029,51,3473,22,00:34:56,36,6670
281501,9917,Diogo,Sclebin,BRA,45,1061,55,3604,26,00:32:33,37,6697
281501,30058,Andreas,Schilling,DEN,15,1053,55,3453,33,00:35:13,38,6705
281501,45915,Jacob,Birtwhistle,AUS,5,1062,53,3604,27,00:32:52,39,6716
281501,12773,Rodrigo,Gonzalez,MEX,48,1052,52,3617,27,00:32:59,40,6724
281501,6186,Irving,Perez,MEX,35,1037,53,3471,29,00:35:53,41,6741
281501,41870,Shachar,Sagiv,ISR,43,1063,54,3602,24,00:33:33,42,6753
281501,5747,Steffen,Justus,GER,19,1039,57,3623,26,00:33:41,43,6764
281501,10166,Simon,De Cuyper,BEL,61,1060,50,3444,28,00:36:28,44,6767
281501,85973,Josh,Izewski,USA,68,1053,58,3613,27,00:33:46,45,6776
281501,6236,Premysl,Svarc,CZE,56,1047,58,3459,31,00:36:38,46,6791
281501,143997,Joe,Maloy,USA,24,1032,54,3478,29,00:36:46,47,6796
281501,69759,Pablo,Dapena Gonzalez,ESP,66,1045,54,3623,25,00:34:45,48,6830
281501,14181,Igor,Polyanskiy,RUS,25,1018,54,3490,31,00:37:38,49,6847
281501,17043,Ben,Kanute,USA,51,1033,53,3472,25,00:37:49,50,6850
281501,9919,Danilo,Pimentel,BRA,47,1044,54,3626,27,00:36:07,51,6915
281501,67535,Jonas,Schomburg,GER,33,1041,54,3461,25,00:39:01,52,6921
281501,11095,Franz,Loeschke,GER,44,1063,54,3603,26,00:36:37,53,6941
281501,22522,David,Mendoza,MEX,65,1065,53,3604,28,00:36:40,54,6947
281501,5327,Hirokatsu,Tayama,JPN,64,1028,54,3643,30,00:40:31,55,7184
