program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
281276,7788,Alistair,Brownlee,GBR,10,1060,54,3676,29,00:30:16,1,6633
281276,11378,Jonathan,Brownlee,GBR,2,1061,46,3683,28,00:30:27,2,6643
281276,30249,Pierre,Le Corre,FRA,3,1065,50,3677,27,00:31:12,3,6690
281276,30058,Andreas,Schilling,DEN,20,1094,51,3649,30,00:31:26,4,6707
281276,29442,Fernando,Alarza,ESP,1,1063,53,3677,30,00:31:27,5,6708
281276,41322,Kristian,Blummenfelt,NOR,12,1098,50,3641,29,00:31:49,6,6725
281276,67535,Jonas,Schomburg,GER,27,1062,49,3680,24,00:32:05,7,6738
281276,30433,Henri,Schoeman,RSA,5,1055,56,3680,28,00:32:04,8,6742
281276,7702,Aurelien,Raphael,FRA,9,1060,49,3682,29,00:32:40,9,6779
281276,32470,Adam,Bowden,GBR,4,1099,53,3743,28,00:31:04,10,6785
281276,10858,Gregor,Buchholz,GER,18,1116,48,3730,26,00:31:14,11,6792
281276,39974,Jelle,Geens,BEL,31,1129,49,3716,25,00:31:15,12,6793
281276,11315,Andrea,Salvisberg,SUI,11,1063,49,3678,29,00:32:56,13,6793
281276,11001,Gábor,Faldum,HUN,19,1111,52,3730,25,00:31:25,14,6801
281276,39908,Vicente,Hernandez,ESP,7,1112,55,3728,31,00:31:21,15,6805
281276,29395,Davide,Uccellari,ITA,25,1130,55,3712,26,00:31:37,16,6817
281276,45915,Jacob,Birtwhistle,AUS,8,1112,49,3731,26,00:32:02,17,6838
281276,39836,Simon,Viain,FRA,21,1138,52,3704,25,00:32:06,18,6842
281276,30633,Gregory,Barnaby,ITA,45,1133,53,3710,27,00:32:03,19,6844
281276,6707,Jan,Celustka,CZE,15,1109,52,3734,28,00:32:24,20,6865
281276,63428,Antonio,Serrat Seoane,ESP,37,1113,54,3731,30,00:32:22,21,6868
281276,9917,Diogo,Sclebin,BRA,28,1135,55,3707,30,00:32:27,22,6871
281276,11092,Richard,Varga,SVK,14,1050,60,3681,29,00:34:17,23,6876
281276,31824,David,Castro Fajardo,ESP,35,1115,53,3726,26,00:32:43,24,6881
281276,41870,Shachar,Sagiv,ISR,53,1113,51,3729,25,00:32:51,25,6887
281276,25025,Luca,Facchinetti,ITA,24,1131,53,3713,27,00:33:01,26,6902
281276,69054,Xavier,Grenier-Talavera,CAN,26,1087,55,3751,29,00:33:09,27,6910
281276,24199,Eric,Lagerstrom,USA,32,1069,52,3772,29,00:33:14,28,6914
281276,64519,Henrik,Goesch,FIN,51,1113,57,3727,28,00:33:12,29,6914
281276,41276,Marco,Van Der Stel,NED,22,1111,53,3728,27,00:33:52,30,6949
281276,72784,Gabriel,Sandör,SWE,52,1132,51,3713,27,00:34:09,31,6969
281276,6084,Dan,Wilson,AUS,43,1059,53,3680,29,00:35:57,32,6975
281276,49022,Menno,Koolhaas,NED,47,1096,53,3746,28,00:34:19,33,6980
281276,7769,Massimo,De Ponti,ITA,36,1138,54,3704,26,00:34:31,34,6991
281276,10842,Lawrence,Fanous,JOR,38,1132,50,3714,29,00:34:36,35,6999
281276,47901,Rodolphe,Von Berg,USA,42,1151,55,3838,28,00:32:40,36,7029
281276,42996,Erwin,Vanderplancke,BEL,50,1114,47,3732,25,00:35:26,37,7042
281276,31810,Jumpei,Furuya,JPN,34,1108,57,3732,25,00:35:28,38,7049
281276,58385,Sylvain,Fridelance,SUI,33,1112,54,3731,27,00:36:14,39,7095
