program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
280877,31438,Non,Stanford,GBR,34,567,67,1956,24,00:16:18,1,3589
280877,11385,Jodie,Stimpson,GBR,2,576,67,1945,24,00:16:26,2,3596
280877,7776,Flora,Duffy,BER,1,535,61,1990,27,00:16:29,3,3599
280877,15515,Anne,Haug,GER,31,587,60,1941,25,00:16:36,4,3607
280877,89532,Kirsten,Kasper,USA,8,558,61,1971,26,00:16:34,5,3608
280877,7795,Vicky,Holland,GBR,32,562,66,1961,25,00:16:44,6,3615
280877,5576,Ai,Ueda,JPN,26,589,60,1942,30,00:16:42,7,3621
280877,58503,Yurie,Kato,JPN,38,573,64,1956,24,00:16:50,8,3626
280877,6246,Sarah,True,USA,20,567,69,1955,26,00:16:57,9,3633
280877,42267,Kaidi,Kivioja,EST,41,579,66,1948,23,00:17:00,10,3634
280877,5376,Ainhoa,Murua Zubizarreta,ESP,6,562,62,1968,27,00:16:58,11,3636
280877,6120,Lisa,Norden,SWE,9,567,72,1950,26,00:17:04,12,3637
280877,7730,Rebecca,Spence,NZL,24,570,75,1944,29,00:17:01,13,3638
280877,49169,Hanna,Philippin,GER,14,574,72,1943,27,00:17:09,14,3644
280877,5467,Vendula,Frintova,CZE,3,555,58,1976,23,00:17:17,15,3647
280877,30090,Lindsey,Jerdonek,USA,18,561,65,1966,28,00:17:10,16,3648
280877,6144,Mari,Rabie,RSA,5,551,58,1980,23,00:17:24,17,3653
280877,14196,Mariya,Shorets,RUS,11,574,72,1946,28,00:17:17,18,3655
280877,17285,Yuko,Takahashi,JPN,29,569,71,1950,22,00:17:27,19,3657
280877,81854,Amanda,Bohlin,SWE,25,592,61,1939,23,00:17:25,20,3658
280877,18592,Yuka,Sato,JPN,22,565,70,1957,28,00:17:21,21,3659
280877,22170,Rachel,Klamer,NED,4,558,64,1969,26,00:17:29,22,3662
280877,30383,Miriam,Casillas García,ESP,16,569,63,1962,25,00:17:25,23,3663
280877,47942,Melanie,Santos,POR,7,565,63,1965,25,00:17:33,24,3669
280877,46579,Anastasia,Abrosimova,RUS,12,564,64,1968,30,00:17:31,25,3675
280877,21486,Pamella,Oliveira,BRA,21,563,62,1969,26,00:17:35,26,3675
280877,39687,Carolina,Routier,ESP,23,537,63,1994,27,00:17:48,27,3686
280877,7771,Charlotte,Bonin,ITA,19,565,70,1960,29,00:17:46,28,3689
280877,56527,Sophia,Saller,GER,36,576,71,1948,23,00:18:00,29,3696
280877,6069,Nicky,Samuels,NZL,10,568,70,1953,27,00:18:01,30,3697
280877,21841,Simone,Ackermann,RSA,15,564,67,1962,27,00:17:59,31,3698
280877,81334,Taylor,Spivey,USA,28,567,67,1957,25,00:18:09,32,3703
280877,45790,Jolanda,Annen,SUI,17,575,69,1951,25,00:18:09,33,3707
280877,26478,Petra,Kurikova,CZE,27,587,63,1948,24,00:18:26,34,3724
280877,81882,Vittoria,Lopes,BRA,43,563,70,1963,28,00:18:57,35,3759
280877,5454,Erin,Densham,AUS,30,572,71,1946,25,00:19:38,36,3789
280877,6386,Aoi,Kuramoto,JPN,39,567,67,2064,23,00:19:05,37,3865
280877,31827,Anna,Godoy Contreras,ESP,42,558,68,2087,27,00:18:54,38,3872
280877,9345,Gillian,Sanders,RSA,35,566,67,2167,24,00:18:09,39,3912
280877,21978,Aileen,Reid,IRL,33,581,75,2158,30,00:17:57,40,3919
