program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
280876,29442,Fernando,Alarza,ESP,2,541,55,1768,24,00:14:27,1,3252
280876,11378,Jonathan,Brownlee,GBR,5,538,57,1768,22,00:14:34,2,3257
280876,49390,Dorian,Coninx,FRA,33,536,58,1768,22,00:14:41,3,3263
280876,11402,Mario,Mola,ESP,1,563,54,1772,22,00:14:24,4,3273
280876,30249,Pierre,Le Corre,FRA,32,539,58,1766,23,00:14:53,5,3278
280876,30433,Henri,Schoeman,RSA,9,538,70,1757,24,00:14:54,6,3280
280876,7702,Aurelien,Raphael,FRA,26,537,57,1771,25,00:15:01,7,3288
280876,39908,Vicente,Hernandez,ESP,7,545,63,1781,24,00:14:42,8,3292
280876,11092,Richard,Varga,SVK,12,534,63,1767,25,00:15:06,9,3293
280876,11315,Andrea,Salvisberg,SUI,15,542,57,1765,23,00:15:11,10,3295
280876,11408,Tamás,Tóth,HUN,14,545,57,1763,23,00:15:12,11,3299
280876,10539,Joao,Silva,POR,4,579,52,1756,24,00:14:52,12,3302
280876,11060,Alessandro,Fabian,ITA,6,550,57,1756,24,00:15:19,13,3303
280876,30058,Andreas,Schilling,DEN,22,566,54,1769,24,00:14:54,14,3305
280876,10536,Joao,Pereira,POR,10,563,56,1771,26,00:14:51,15,3306
280876,32470,Adam,Bowden,GBR,8,552,59,1781,24,00:14:53,16,3306
280876,56550,Adrien,Briffod,SUI,51,560,58,1771,20,00:14:58,17,3306
280876,10955,Ron,Darmon,ISR,35,579,57,1752,26,00:14:54,18,3307
280876,7743,Alexander,Bryukhankov,RUS,23,554,61,1774,24,00:14:59,19,3310
280876,10858,Gregor,Buchholz,GER,36,576,54,1761,23,00:15:00,20,3312
280876,11979,Thomas,Springer,AUT,16,576,53,1758,24,00:15:05,21,3314
280876,30485,Bob,Haller,LUX,42,570,59,1757,23,00:15:12,22,3319
280876,7778,Jonathan,Zipf,GER,44,566,61,1763,23,00:15:11,23,3322
280876,10767,Jason,Wilson,BAR,37,572,59,1756,24,00:15:16,24,3325
280876,5320,Sven,Riederer,SUI,29,574,56,1757,27,00:15:15,25,3328
280876,6707,Jan,Celustka,CZE,11,555,58,1775,24,00:15:19,26,3330
280876,18417,Stefan,Zachäus,LUX,50,541,54,1769,22,00:15:47,27,3331
280876,11001,Gábor,Faldum,HUN,30,568,60,1761,21,00:15:30,28,3337
280876,39206,Benjamin,Shaw,IRL,49,551,61,1774,25,00:15:35,29,3343
280876,30579,Wian,Sullwald,RSA,31,558,53,1781,27,00:15:30,30,3346
280876,18576,Aleksandr,Latin,EST,17,563,60,1767,24,00:15:36,31,3348
280876,21622,Alois,Knabl,AUT,20,535,61,1768,25,00:16:03,32,3350
280876,12814,Tony,Dodds,NZL,39,543,55,1767,21,00:16:10,33,3354
280876,9919,Danilo,Pimentel,BRA,19,553,64,1774,24,00:15:43,34,3356
280876,67535,Jonas,Schomburg,GER,21,546,57,1760,22,00:16:18,35,3361
280876,41060,Justus,Nieschlag,GER,38,583,56,1750,26,00:15:53,36,3366
280876,58385,Sylvain,Fridelance,SUI,61,558,56,1779,21,00:15:59,37,3370
280876,40710,Russell,White,IRL,60,570,63,1756,24,00:16:00,38,3372
280876,18714,Kevin,McDowell,USA,18,549,58,1783,28,00:16:19,39,3395
280876,5929,Reinaldo,Colucci,BRA,46,569,65,1756,26,00:16:29,40,3403
280876,7503,Crisanto,Grajales,MEX,3,585,58,1853,24,00:14:54,41,3411
280876,12773,Rodrigo,Gonzalez,MEX,34,573,56,1832,26,00:15:32,42,3417
280876,15981,Mehdi,Essadiq,MAR,48,567,61,1833,25,00:16:10,43,3454
280876,71195,Basson,Engelbrecht,RSA,40,587,59,1850,24,00:15:54,44,3473
280876,11936,Neil,Peters,LUX,63,563,61,1768,28,00:17:39,45,3476
280876,63681,Ludwig,Fleetwood,SWE,62,566,59,1835,25,00:16:37,46,3481
280876,9917,Diogo,Sclebin,BRA,27,581,66,1852,27,00:15:57,47,3482
280876,46791,Delian,Stateff,ITA,45,581,60,1896,26,00:15:27,48,3489
280876,19245,Mateusz,Kazmierczak,POL,58,585,58,1856,23,00:16:13,49,3491
280876,92761,Robby,Webster,USA,54,607,62,1871,23,00:15:33,50,3495
280876,6899,Ákos,Vanek,HUN,52,568,65,1828,25,00:17:04,51,3508
280876,28304,James,Chronis,GRE,47,584,58,1894,26,00:15:50,52,3510
280876,7742,Miguel,Arraiolos,POR,24,583,56,1859,28,00:16:26,53,3510
280876,81426,Jean-Paul,Burger,NAM,64,593,73,1876,24,00:15:48,54,3512
280876,49260,Nan,Oliveras,ESP,41,588,59,1852,25,00:16:47,55,3529
280876,68715,Alex,Libin,USA,56,613,59,1867,24,00:16:13,56,3534
280876,88417,Eder,Mejia Muñoz,MEX,43,550,74,1914,25,00:16:19,57,3540
280876,10166,Simon,De Cuyper,BEL,53,586,59,1897,26,00:16:18,58,3544
280876,41590,Jan,Volar,CZE,59,588,81,1870,26,00:16:32,59,3554
